src_type,category,subcategory,year,em_type,tons_per_day,population,TpDpCap
STATIONARY,FUEL COMBUSTION,ELECTRIC UTILITIES,2000,co,0.0,1203.0,0.0
STATIONARY,FUEL COMBUSTION,FOOD AND AGRICULTURAL PROCESSING,2000,co,0.00300024,1203.0,2.4939650872817954e-06
STATIONARY,FUEL COMBUSTION,OTHER (FUEL COMBUSTION),2000,co,0.0,1203.0,0.0
STATIONARY,WASTE DISPOSAL,SEWAGE TREATMENT,2000,co,0.0,1203.0,0.0
STATIONARY,CLEANING AND SURFACE COATINGS,LAUNDERING,2000,co,0.0,1203.0,0.0
STATIONARY,CLEANING AND SURFACE COATINGS,DEGREASING,2000,co,0.0,1203.0,0.0
STATIONARY,CLEANING AND SURFACE COATINGS,COATINGS AND RELATED PROCESS SOLVENTS,2000,co,0.0,1203.0,0.0
STATIONARY,PETROLEUM PRODUCTION AND MARKETING,PETROLEUM MARKETING,2000,co,0.0,1203.0,0.0
STATIONARY,PETROLEUM PRODUCTION AND MARKETING,OTHER (PETROLEUM PRODUCTION AND MARKETING),2000,co,0.0,1203.0,0.0
AREAWIDE,SOLVENT EVAPORATION,CONSUMER PRODUCTS,2000,co,0.0,1203.0,0.0
AREAWIDE,SOLVENT EVAPORATION,ARCHITECTURAL COATINGS AND RELATED PROCESS SOLVENTS,2000,co,0.0,1203.0,0.0
AREAWIDE,SOLVENT EVAPORATION,PESTICIDES/FERTILIZERS,2000,co,0.0,1203.0,0.0
AREAWIDE,SOLVENT EVAPORATION,ASPHALT PAVING / ROOFING,2000,co,0.0,1203.0,0.0
AREAWIDE,MISCELLANEOUS PROCESSES,RESIDENTIAL FUEL COMBUSTION,2000,co,0.11380655,1203.0,9.46022859517872e-05
AREAWIDE,MISCELLANEOUS PROCESSES,FARMING OPERATIONS,2000,co,0.0,1203.0,0.0
AREAWIDE,MISCELLANEOUS PROCESSES,CONSTRUCTION AND DEMOLITION,2000,co,0.0,1203.0,0.0
AREAWIDE,MISCELLANEOUS PROCESSES,PAVED ROAD DUST,2000,co,0.0,1203.0,0.0
AREAWIDE,MISCELLANEOUS PROCESSES,UNPAVED ROAD DUST,2000,co,0.0,1203.0,0.0
AREAWIDE,MISCELLANEOUS PROCESSES,FUGITIVE WINDBLOWN DUST,2000,co,0.0,1203.0,0.0
AREAWIDE,MISCELLANEOUS PROCESSES,FIRES,2000,co,0.00038616,1203.0,3.2099750623441397e-07
AREAWIDE,MISCELLANEOUS PROCESSES,OTHER (MISCELLANEOUS PROCESSES),2000,co,0.0,1203.0,0.0
MOBILE,ON-ROAD MOTOR VEHICLES,LIGHT DUTY PASSENGER (LDA),2000,co,0.8617055,1203.0,0.0007162971737323359
