AREA,SRC_TYPE,CATEGORY,SUBCATEGORY,POLLUTANT,SEASON,CONTROL_TYPE,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,v1.03_RF3084
ALPINE,STATIONARY,FUEL COMBUSTION,ELECTRIC UTILITIES,PM,ANNUAL AVERAGE,GROWN AND CONTROLLED,,,,,,,,.00191495,.00191495,.00191495,.00191495,.00191495,.00191495,.00191495,0,0,0,0,0,0,0,0,v1.03_RF3084
ALPINE,STATIONARY,FUEL COMBUSTION,FOOD AND AGRICULTURAL PROCESSING,PM,ANNUAL AVERAGE,GROWN AND CONTROLLED,.00029985,.00029985,.00029985,.00029985,.0002,.0002,.0002,.0002,.0002,.0002,.0002,.00009985,.00009985,.00009985,.00009985,.00029985,.00029985,.00029985,.00029985,.00029985,.00029985,.00029985,v1.03_RF3084
ALPINE,STATIONARY,FUEL COMBUSTION,OTHER (FUEL COMBUSTION),PM,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,v1.03_RF3084
ALPINE,STATIONARY,WASTE DISPOSAL,SEWAGE TREATMENT,PM,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,v1.03_RF3084
ALPINE,STATIONARY,CLEANING AND SURFACE COATINGS,LAUNDERING,PM,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,v1.03_RF3084
ALPINE,STATIONARY,CLEANING AND SURFACE COATINGS,DEGREASING,PM,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,v1.03_RF3084
ALPINE,STATIONARY,CLEANING AND SURFACE COATINGS,COATINGS AND RELATED PROCESS SOLVENTS,PM,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,v1.03_RF3084
ALPINE,STATIONARY,PETROLEUM PRODUCTION AND MARKETING,PETROLEUM MARKETING,PM,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,v1.03_RF3084
ALPINE,STATIONARY,PETROLEUM PRODUCTION AND MARKETING,OTHER (PETROLEUM PRODUCTION AND MARKETING),PM,ANNUAL AVERAGE,GROWN AND CONTROLLED,,,,,,,,,,,0,,,,,,,,,,,,v1.03_RF3084
ALPINE,AREAWIDE,SOLVENT EVAPORATION,CONSUMER PRODUCTS,PM,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,v1.03_RF3084
ALPINE,AREAWIDE,SOLVENT EVAPORATION,ARCHITECTURAL COATINGS AND RELATED PROCESS SOLVENTS,PM,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,v1.03_RF3084
ALPINE,AREAWIDE,SOLVENT EVAPORATION,PESTICIDES/FERTILIZERS,PM,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,v1.03_RF3084
ALPINE,AREAWIDE,SOLVENT EVAPORATION,ASPHALT PAVING / ROOFING,PM,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,v1.03_RF3084
ALPINE,AREAWIDE,MISCELLANEOUS PROCESSES,RESIDENTIAL FUEL COMBUSTION,PM,ANNUAL AVERAGE,GROWN AND CONTROLLED,.01760151,.01701973,.01700919,.01785386,.01832659,.01228843,.01092645,.0119422,.01343858,.01798469,.01538825,.0156465,.01453825,.02010183,.02033496,.0151014,.01213203,.01213203,.01213203,.01213203,.01213203,.01213203,v1.03_RF3084
ALPINE,AREAWIDE,MISCELLANEOUS PROCESSES,FARMING OPERATIONS,PM,ANNUAL AVERAGE,GROWN AND CONTROLLED,.00007261,.00007261,.00007261,.00007261,.00007261,.00007261,.00008298,.00008298,.00008298,.00126547,.00126547,.00126547,.00155591,.00207455,.00259318,.00259318,.00259318,.00259318,.00259318,.00259318,.00259318,.00259318,v1.03_RF3084
ALPINE,AREAWIDE,MISCELLANEOUS PROCESSES,CONSTRUCTION AND DEMOLITION,PM,ANNUAL AVERAGE,GROWN AND CONTROLLED,1.22202122,1.22202122,1.05538192,.49991778,.46288682,1.29608313,1.18499028,1.8515473,1.2775677,.9442891,.79616538,.79616538,.51843324,.49991778,.51843324,.40734041,.37030946,.18515474,.2036702,.20985436,.21072458,.21731613,v1.03_RF3084
ALPINE,AREAWIDE,MISCELLANEOUS PROCESSES,PAVED ROAD DUST,PM,ANNUAL AVERAGE,GROWN AND CONTROLLED,.06408176,.06449411,.06789944,.06843199,.06951563,.06929284,.06871632,.06842221,.06616991,.06427035,.06524456,.06418925,.06449704,.0656403,.06742064,.06876812,.07214121,.07612109,.07571363,.07543513,.0754928,.07562567,v1.03_RF3084
