AREA,SRC_TYPE,CATEGORY,SUBCATEGORY,POLLUTANT,SEASON,CONTROL_TYPE,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,v1.03_RF3084
ALPINE,STATIONARY,FUEL COMBUSTION,ELECTRIC UTILITIES,PM10,ANNUAL AVERAGE,GROWN AND CONTROLLED,,,,,,,,.00183835,.00183835,.00183835,.00183835,.00183835,.00183835,.00183835,0,0,0,0,0,0,0,0,v1.03_RF3084
ALPINE,STATIONARY,FUEL COMBUSTION,FOOD AND AGRICULTURAL PROCESSING,PM10,ANNUAL AVERAGE,GROWN AND CONTROLLED,.00029985,.00029985,.00029985,.00029985,.0002,.0002,.0002,.0002,.0002,.0002,.0002,.00009985,.00009985,.00009985,.00009985,.00029985,.00029985,.00029985,.00029985,.00029985,.00029985,.00029985,v1.03_RF3084
ALPINE,STATIONARY,FUEL COMBUSTION,OTHER (FUEL COMBUSTION),PM10,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,v1.03_RF3084
ALPINE,STATIONARY,WASTE DISPOSAL,SEWAGE TREATMENT,PM10,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,v1.03_RF3084
ALPINE,STATIONARY,CLEANING AND SURFACE COATINGS,LAUNDERING,PM10,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,v1.03_RF3084
ALPINE,STATIONARY,CLEANING AND SURFACE COATINGS,DEGREASING,PM10,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,v1.03_RF3084
ALPINE,STATIONARY,CLEANING AND SURFACE COATINGS,COATINGS AND RELATED PROCESS SOLVENTS,PM10,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,v1.03_RF3084
ALPINE,STATIONARY,PETROLEUM PRODUCTION AND MARKETING,PETROLEUM MARKETING,PM10,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,v1.03_RF3084
ALPINE,STATIONARY,PETROLEUM PRODUCTION AND MARKETING,OTHER (PETROLEUM PRODUCTION AND MARKETING),PM10,ANNUAL AVERAGE,GROWN AND CONTROLLED,,,,,,,,,,,0,,,,,,,,,,,,v1.03_RF3084
ALPINE,AREAWIDE,SOLVENT EVAPORATION,CONSUMER PRODUCTS,PM10,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,v1.03_RF3084
ALPINE,AREAWIDE,SOLVENT EVAPORATION,ARCHITECTURAL COATINGS AND RELATED PROCESS SOLVENTS,PM10,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,v1.03_RF3084
ALPINE,AREAWIDE,SOLVENT EVAPORATION,PESTICIDES/FERTILIZERS,PM10,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,v1.03_RF3084
ALPINE,AREAWIDE,SOLVENT EVAPORATION,ASPHALT PAVING / ROOFING,PM10,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,v1.03_RF3084
ALPINE,AREAWIDE,MISCELLANEOUS PROCESSES,RESIDENTIAL FUEL COMBUSTION,PM10,ANNUAL AVERAGE,GROWN AND CONTROLLED,.01647426,.01593412,.01591377,.01670194,.01714522,.01150049,.01022704,.01117263,.01257525,.01684272,.01439914,.01463711,.01359772,.01880188,.01901987,.01412522,.01134886,.01134886,.01134886,.01134886,.01134886,.01134886,v1.03_RF3084
ALPINE,AREAWIDE,MISCELLANEOUS PROCESSES,FARMING OPERATIONS,PM10,ANNUAL AVERAGE,GROWN AND CONTROLLED,.00003298,.00003298,.00003298,.00003298,.00003298,.00003298,.0000377,.0000377,.0000377,.00057491,.00057491,.00057491,.00070685,.00094247,.00117808,.00117808,.00117808,.00117808,.00117808,.00117808,.00117808,.00117808,v1.03_RF3084
ALPINE,AREAWIDE,MISCELLANEOUS PROCESSES,CONSTRUCTION AND DEMOLITION,PM10,ANNUAL AVERAGE,GROWN AND CONTROLLED,.59793499,.59793499,.51639838,.24460976,.22649052,.63417347,.57981574,.90596209,.62511387,.46204066,.38956372,.38956372,.25366938,.24460976,.25366938,.19931166,.18119242,.09059622,.09965583,.10268174,.10310754,.10633277,v1.03_RF3084
ALPINE,AREAWIDE,MISCELLANEOUS PROCESSES,PAVED ROAD DUST,PM10,ANNUAL AVERAGE,GROWN AND CONTROLLED,.02929818,.02948671,.03104362,.0312871,.03178254,.03168068,.0314171,.03128264,.03025288,.0293844,.02982982,.02934732,.02948804,.03001074,.03082472,.03144078,.03298296,.03480256,.03461627,.03448894,.03451531,.03457605,v1.03_RF3084
ALPINE,AREAWIDE,MISCELLANEOUS PROCESSES,UNPAVED ROAD DUST,PM10,ANNUAL AVERAGE,GROWN AND CONTROLLED,1.06420923,1.06420923,1.06420923,1.06420923,1.06420923,1.06420923,1.06420989,1.06420989,1.06420989,1.06428485,1.06428485,1.06428485,1.06430326,1.06433614,1.06436901,1.06436901,1.06436901,1.06436901,1.06436901,1.06436901,1.06436901,1.06436901,v1.03_RF3084
ALPINE,AREAWIDE,MISCELLANEOUS PROCESSES,FUGITIVE WINDBLOWN DUST,PM10,ANNUAL AVERAGE,GROWN AND CONTROLLED,.023772,.023772,.023772,.023772,.023772,.023772,.023772,.023772,.023772,.023772,.023772,.023772,.023772,.023772,.023772,.023772,.023772,.023772,.023772,.023772,.023772,.023772,v1.03_RF3084
ALPINE,AREAWIDE,MISCELLANEOUS PROCESSES,FIRES,PM10,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,v1.03_RF3084
ALPINE,AREAWIDE,MISCELLANEOUS PROCESSES,OTHER (MISCELLANEOUS PROCESSES),PM10,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,v1.03_RF3084
ALPINE,MOBILE,ON-ROAD MOTOR VEHICLES,LIGHT DUTY PASSENGER (LDA),PM10,ANNUAL AVERAGE,GROWN AND CONTROLLED,.00632591,.00612365,.00619946,.0059463,.00584066,.00555964,.00529696,.00514138,.00492294,.00480132,.00483756,.00471921,.00473548,.00486295,.00494261,.00514398,.00533033,.00567633,.00570174,.00574164,.0057984,.00585326,v1.03_RF3084
ALPINE,MOBILE,ON-ROAD MOTOR VEHICLES,LIGHT DUTY TRUCKS - 1 (LDT1),PM10,ANNUAL AVERAGE,GROWN AND CONTROLLED,.00162579,.00146271,.00140468,.0012965,.00112222,.00097397,.00089999,.0008429,.00077814,.00072538,.00071479,.00066881,.00062028,.00059407,.00055826,.00053194,.00056026,.00059768,.00059665,.00059866,.00060329,.00060657,v1.03_RF3084
