AREA,SRC_TYPE,CATEGORY,SUBCATEGORY,POLLUTANT,SEASON,CONTROL_TYPE,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,v1.03_RF3084
ALPINE,STATIONARY,FUEL COMBUSTION,ELECTRIC UTILITIES,ROG,ANNUAL AVERAGE,GROWN AND CONTROLLED,,,,,,,,0,0,0,0,0,0,0,.01634246,.00058082,.00086027,.00098082,.00096632,.00095251,.00098207,.00100284,v1.03_RF3084
ALPINE,STATIONARY,FUEL COMBUSTION,FOOD AND AGRICULTURAL PROCESSING,ROG,ANNUAL AVERAGE,GROWN AND CONTROLLED,.00068329,.00068329,.00068329,.00068329,.00068329,.00063336,.00056669,.00056669,.00050002,.00050002,.00050002,.00030001,.00030001,.00023334,.00023334,.00018327,.00058329,.00058329,.00058329,.00058329,.00058329,.00058329,v1.03_RF3084
ALPINE,STATIONARY,FUEL COMBUSTION,OTHER (FUEL COMBUSTION),ROG,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.00004658,.00003014,.00001644,.00001644,.00001648,.00001662,.00001674,.00001688,v1.03_RF3084
ALPINE,STATIONARY,WASTE DISPOSAL,SEWAGE TREATMENT,ROG,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,v1.03_RF3084
ALPINE,STATIONARY,CLEANING AND SURFACE COATINGS,LAUNDERING,ROG,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,v1.03_RF3084
ALPINE,STATIONARY,CLEANING AND SURFACE COATINGS,DEGREASING,ROG,ANNUAL AVERAGE,GROWN AND CONTROLLED,.00250192,.00250192,.00139556,.00149835,.00084717,.00037813,.00034298,.00028922,.00027651,.00038827,.00042322,.00021572,.00007236,.0001039,.00011465,.00060584,.0003527,.00049151,.00050012,.00049708,.0004668,.00049093,v1.03_RF3084
ALPINE,STATIONARY,CLEANING AND SURFACE COATINGS,COATINGS AND RELATED PROCESS SOLVENTS,ROG,ANNUAL AVERAGE,GROWN AND CONTROLLED,.00069879,.00072595,.00073547,.00076414,.0007938,.00078717,.0008017,.00080804,.00080382,.00078652,.00077949,.00076803,.00077091,.00078243,.00079374,.0007795,.00079863,.00080835,.00081897,.00083215,.00084587,.00086019,v1.03_RF3084
ALPINE,STATIONARY,PETROLEUM PRODUCTION AND MARKETING,PETROLEUM MARKETING,ROG,ANNUAL AVERAGE,GROWN AND CONTROLLED,.01901213,.01621373,.01641159,.01616795,.01581964,.01368082,.01241439,.01125419,.00998442,.00920357,.00896535,.00840121,.00801366,.00768427,.00744327,.00701571,.00690156,.00678838,.00627915,.00588473,.00553396,.00523687,v1.03_RF3084
ALPINE,STATIONARY,PETROLEUM PRODUCTION AND MARKETING,OTHER (PETROLEUM PRODUCTION AND MARKETING),ROG,ANNUAL AVERAGE,GROWN AND CONTROLLED,,,,,,,,,,,.00115516,,,,,,,,,,,,v1.03_RF3084
ALPINE,AREAWIDE,SOLVENT EVAPORATION,CONSUMER PRODUCTS,ROG,ANNUAL AVERAGE,GROWN AND CONTROLLED,.00921072,.00934604,.0093805,.00828083,.00818644,.0074242,.00756156,.00749458,.00726093,.00728589,.00698428,.00740365,.00731479,.00709269,.00726103,.00727367,.00733013,.0071742,.00721915,.0072235,.00715399,.00710602,v1.03_RF3084
