AREA,SRC_TYPE,CATEGORY,SUBCATEGORY,POLLUTANT,SEASON,CONTROL_TYPE,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,v1.03_RF3084
ALPINE,STATIONARY,FUEL COMBUSTION,ELECTRIC UTILITIES,TOG,ANNUAL AVERAGE,GROWN AND CONTROLLED,,,,,,,,0,0,0,0,0,0,0,.01860269,.00066115,.00097925,.00111647,.00109997,.00108425,.00111789,.00114154,v1.03_RF3084
ALPINE,STATIONARY,FUEL COMBUSTION,FOOD AND AGRICULTURAL PROCESSING,TOG,ANNUAL AVERAGE,GROWN AND CONTROLLED,.00109985,.00109985,.00109985,.00109985,.00109985,.001,.0009,.0009,.0008,.0008,.0008,.0005,.0005,.0004,.0004,.00029985,.00089985,.00089985,.00089985,.00089985,.00089985,.00089985,v1.03_RF3084
ALPINE,STATIONARY,FUEL COMBUSTION,OTHER (FUEL COMBUSTION),TOG,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.00005302,.00003431,.00001871,.00001871,.00001876,.00001892,.00001905,.00001921,v1.03_RF3084
ALPINE,STATIONARY,WASTE DISPOSAL,SEWAGE TREATMENT,TOG,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,v1.03_RF3084
ALPINE,STATIONARY,CLEANING AND SURFACE COATINGS,LAUNDERING,TOG,ANNUAL AVERAGE,GROWN AND CONTROLLED,.00030899,.00031773,.00032055,.00032081,.00032518,.00031028,.00032235,.00032055,.00031028,.00030309,.0003018,.00030052,.00029949,.00029898,.00029821,.00029641,.00029564,.00029435,.00029153,.00028845,.00028639,.00029102,v1.03_RF3084
ALPINE,STATIONARY,CLEANING AND SURFACE COATINGS,DEGREASING,TOG,ANNUAL AVERAGE,GROWN AND CONTROLLED,.00250192,.00250192,.00139556,.00149835,.00084717,.00037813,.00034298,.00028922,.00027651,.00038827,.00042322,.00021572,.00007236,.0001039,.00011465,.00060584,.0003527,.00049151,.00050012,.00049708,.0004668,.00049093,v1.03_RF3084
ALPINE,STATIONARY,CLEANING AND SURFACE COATINGS,COATINGS AND RELATED PROCESS SOLVENTS,TOG,ANNUAL AVERAGE,GROWN AND CONTROLLED,.00072196,.00075003,.00075986,.00078948,.00082013,.00081328,.00082829,.00083484,.00083048,.0008126,.00080534,.0007935,.00079648,.00080838,.00082006,.00080535,.00082512,.00083516,.00084613,.00085975,.00087392,.00088872,v1.03_RF3084
ALPINE,STATIONARY,PETROLEUM PRODUCTION AND MARKETING,PETROLEUM MARKETING,TOG,ANNUAL AVERAGE,GROWN AND CONTROLLED,.01901213,.01621373,.01641159,.01616795,.01581964,.01368082,.01241439,.01125419,.00998442,.00920357,.00896535,.00840121,.00801366,.00768427,.00744327,.00701571,.00690156,.00678838,.00627915,.00588473,.00553396,.00523687,v1.03_RF3084
ALPINE,STATIONARY,PETROLEUM PRODUCTION AND MARKETING,OTHER (PETROLEUM PRODUCTION AND MARKETING),TOG,ANNUAL AVERAGE,GROWN AND CONTROLLED,,,,,,,,,,,.00115945,,,,,,,,,,,,v1.03_RF3084
ALPINE,AREAWIDE,SOLVENT EVAPORATION,CONSUMER PRODUCTS,TOG,ANNUAL AVERAGE,GROWN AND CONTROLLED,.01208446,.01227702,.01233303,.01097477,.0108692,.00987136,.01006539,.00990673,.00961805,.0096296,.00882748,.00932523,.00923487,.00899994,.00920228,.00921914,.00928537,.00909794,.00914786,.009149,.00906354,.00901239,v1.03_RF3084
ALPINE,AREAWIDE,SOLVENT EVAPORATION,ARCHITECTURAL COATINGS AND RELATED PROCESS SOLVENTS,TOG,ANNUAL AVERAGE,GROWN AND CONTROLLED,.0054543,.0054543,.00542048,.00554464,.00553337,.00551081,.00565761,.00558985,.00554464,.0056011,.0056124,.00558985,.00554464,.00531882,.00527363,.00525106,.00511554,.0050704,.00494618,.0048897,.004901,.00485584,v1.03_RF3084
ALPINE,AREAWIDE,SOLVENT EVAPORATION,PESTICIDES/FERTILIZERS,TOG,ANNUAL AVERAGE,GROWN AND CONTROLLED,.00004981,.00006588,.0000789,.00012443,.00007534,.00006109,.00004712,.00017891,.00026876,.00012329,.00016212,.00007872,.00007742,.00008831,.00009641,.00011501,.00008269,.0000737,.00056153,.00008206,.00008221,.0000816,v1.03_RF3084
ALPINE,AREAWIDE,SOLVENT EVAPORATION,ASPHALT PAVING / ROOFING,TOG,ANNUAL AVERAGE,GROWN AND CONTROLLED,.78330508,.78330508,.6764907,.32044299,.29670646,.83077807,.75956858,1.18682583,.81890987,.60528119,.51033516,.51033516,.33231125,.32044299,.33231125,.2611017,.23736517,.11868258,.13055085,.13451484,.13507263,.13929776,v1.03_RF3084
ALPINE,AREAWIDE,MISCELLANEOUS PROCESSES,RESIDENTIAL FUEL COMBUSTION,TOG,ANNUAL AVERAGE,GROWN AND CONTROLLED,.0428415,.0412073,.04157909,.04378735,.04495799,.03014198,.02675291,.02941209,.03303687,.0435754,.03778456,.03852185,.03582147,.04940352,.04992546,.03715035,.0298835,.0298835,.0298835,.0298835,.0298835,.0298835,v1.03_RF3084
ALPINE,AREAWIDE,MISCELLANEOUS PROCESSES,FARMING OPERATIONS,TOG,ANNUAL AVERAGE,GROWN AND CONTROLLED,.23036186,.25465504,.28139983,.21537987,.16520266,.1269994,.09812682,.07611679,.15300796,.15300271,.15299776,.15299308,.15298867,.15298449,.15298053,.15297678,.15297323,.15296987,.15296667,.15296363,.15296075,.152958,v1.03_RF3084
ALPINE,AREAWIDE,MISCELLANEOUS PROCESSES,CONSTRUCTION AND DEMOLITION,TOG,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,v1.03_RF3084
ALPINE,AREAWIDE,MISCELLANEOUS PROCESSES,PAVED ROAD DUST,TOG,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,v1.03_RF3084
ALPINE,AREAWIDE,MISCELLANEOUS PROCESSES,UNPAVED ROAD DUST,TOG,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,v1.03_RF3084
ALPINE,AREAWIDE,MISCELLANEOUS PROCESSES,FUGITIVE WINDBLOWN DUST,TOG,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,v1.03_RF3084
ALPINE,AREAWIDE,MISCELLANEOUS PROCESSES,FIRES,TOG,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,v1.03_RF3084
ALPINE,AREAWIDE,MISCELLANEOUS PROCESSES,OTHER (MISCELLANEOUS PROCESSES),TOG,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,v1.03_RF3084
