AREA,SRC_TYPE,CATEGORY,SUBCATEGORY,POLLUTANT,SEASON,CONTROL_TYPE,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,v1.03_RF3084
HUMBOLDT,STATIONARY,FUEL COMBUSTION,ELECTRIC UTILITIES,COT,ANNUAL AVERAGE,GROWN AND CONTROLLED,3.77258213,3.85465749,7.7146266,6.82032674,6.92435928,3.01358901,3.63385755,5.07296293,4.61028737,3.80183344,3.96049844,3.7639603,5.14394082,5.75179494,5.84556928,3.81561077,1.77138173,.11369598,.09283064,.09636352,.10952525,.10657631,v1.03_RF3084
HUMBOLDT,STATIONARY,FUEL COMBUSTION,COGENERATION,COT,ANNUAL AVERAGE,GROWN AND CONTROLLED,,,,,,,,.28096255,.22341909,.0854909,.18189721,.20541699,.23048794,,.0000401,.0000401,.0000401,,,,,,v1.03_RF3084
HUMBOLDT,STATIONARY,FUEL COMBUSTION,OIL AND GAS PRODUCTION (COMBUSTION),COT,ANNUAL AVERAGE,GROWN AND CONTROLLED,.01083691,.01035454,.01020369,.00980703,.00943292,.00901632,.00878847,.00857228,.00841095,.00809934,.00784667,.00763517,.00758935,.00769509,.00789249,.00751179,.00679622,.00659913,.00640775,.00622192,.0060415,.00586629,v1.03_RF3084
HUMBOLDT,STATIONARY,FUEL COMBUSTION,MANUFACTURING AND INDUSTRIAL,COT,ANNUAL AVERAGE,GROWN AND CONTROLLED,3.85474816,3.81136909,3.97384206,4.95173551,4.34342783,4.73886964,2.44173347,1.12523325,.83618204,1.12761573,1.20812664,2.27811652,2.47275121,2.65765583,2.10285164,1.85933207,4.10581902,2.47127843,2.50821446,2.4868378,2.3729477,2.50269972,v1.03_RF3084
HUMBOLDT,STATIONARY,FUEL COMBUSTION,FOOD AND AGRICULTURAL PROCESSING,COT,ANNUAL AVERAGE,GROWN AND CONTROLLED,.04539066,.04539066,.04539066,.04539066,.04428117,.04269867,.04120902,.05665971,.05403132,.05893174,.05765333,.04032671,.02699777,.03992362,.0464823,.04547726,.04337947,.03476497,.03465459,.03439966,.033967,.03400783,v1.03_RF3084
HUMBOLDT,STATIONARY,FUEL COMBUSTION,SERVICE AND COMMERCIAL,COT,ANNUAL AVERAGE,GROWN AND CONTROLLED,.05616223,.04823712,.05393134,.05586582,.05970357,.0553042,.05628704,.06880028,.0586312,.05503899,.05570981,.0771783,.05389234,.07548393,.06096259,.06062338,.06159842,.05769186,.06064253,.06182743,.06157656,.06120605,v1.03_RF3084
HUMBOLDT,STATIONARY,FUEL COMBUSTION,OTHER (FUEL COMBUSTION),COT,ANNUAL AVERAGE,GROWN AND CONTROLLED,.00061323,.00064213,.00074494,.00044654,.000461,.00038839,.00037544,.00035479,.00035035,.00035391,.00032062,.0003503,.00032062,.0003503,.00034529,.00026502,.00026502,.00024434,.00024449,.00024454,.00020419,.00020414,v1.03_RF3084
HUMBOLDT,STATIONARY,WASTE DISPOSAL,SEWAGE TREATMENT,COT,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,v1.03_RF3084
HUMBOLDT,STATIONARY,WASTE DISPOSAL,LANDFILLS,COT,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,0,0,.11426882,.11426882,.11426882,.11426882,.06689645,.06689645,.06689645,.06689645,.06689645,.06689645,0,0,0,0,0,v1.03_RF3084
HUMBOLDT,STATIONARY,WASTE DISPOSAL,INCINERATORS,COT,ANNUAL AVERAGE,GROWN AND CONTROLLED,,,,,,,,,0,0,0,0,,0,0,0,0,.00037716,.00037645,.00037425,.00037176,.00037514,v1.03_RF3084
