AREA,SRC_TYPE,CATEGORY,SUBCATEGORY,POLLUTANT,SEASON,CONTROL_TYPE,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,v1.03_RF3084
HUMBOLDT,STATIONARY,FUEL COMBUSTION,ELECTRIC UTILITIES,NOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,4.63252326,6.52580797,2.44478159,1.95916461,3.17000248,2.90493154,2.7394811,3.65545601,3.72049629,3.59370206,2.70643728,.52051526,.68690295,.79471479,.79161118,.51708697,.28265693,.09131288,.07314989,.07585207,.08797167,.08566966,v1.03_RF3084
HUMBOLDT,STATIONARY,FUEL COMBUSTION,COGENERATION,NOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,,,,,,,,.25613917,.21133772,.10567825,.2248494,.29802871,.24082193,,0,0,0,,,,,,v1.03_RF3084
HUMBOLDT,STATIONARY,FUEL COMBUSTION,OIL AND GAS PRODUCTION (COMBUSTION),NOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,.00736644,.00703855,.00693602,.00666637,.00641207,.0061289,.00597401,.00582705,.00571738,.00550557,.00533382,.00519005,.00515889,.00523078,.00536497,.00510619,.00461976,.00448579,.00435571,.00422938,.00410674,.00398763,v1.03_RF3084
HUMBOLDT,STATIONARY,FUEL COMBUSTION,MANUFACTURING AND INDUSTRIAL,NOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,2.95519527,2.94405687,2.65908579,3.29289767,3.84265502,3.34055406,3.55825177,2.24783666,1.93664726,1.75604293,1.75698987,1.58676981,1.71872456,1.96237139,1.87796467,1.64830546,1.77043952,1.5567833,1.61103705,1.60597893,1.580122,1.60516612,v1.03_RF3084
HUMBOLDT,STATIONARY,FUEL COMBUSTION,FOOD AND AGRICULTURAL PROCESSING,NOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,.12524612,.12524612,.12524612,.12524612,.12251928,.11814928,.11358593,.13733839,.12430806,.12495662,.12019317,.08162051,.06393779,.07807964,.08473667,.0669965,.05401028,.04136656,.04010829,.03861299,.03698752,.03597873,v1.03_RF3084
HUMBOLDT,STATIONARY,FUEL COMBUSTION,SERVICE AND COMMERCIAL,NOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,.28047487,.24089675,.26933378,.27899459,.29816037,.27618983,.28109813,.28547483,.28545025,.27486536,.2782155,.29335054,.26913902,.28487524,.2494111,.24772392,.25259326,.24900551,.2591818,.26604372,.26611401,.2655348,v1.03_RF3084
HUMBOLDT,STATIONARY,FUEL COMBUSTION,OTHER (FUEL COMBUSTION),NOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,.04210499,.04210499,.03398352,.0242065,.02959733,.03191558,.02985395,.02812963,.02829785,.0291263,.02646418,.02673812,.02646418,.02673812,.02669186,.02151192,.02151192,.02132099,.02132245,.0213229,.01766402,.01766358,v1.03_RF3084
HUMBOLDT,STATIONARY,WASTE DISPOSAL,SEWAGE TREATMENT,NOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,v1.03_RF3084
HUMBOLDT,STATIONARY,WASTE DISPOSAL,LANDFILLS,NOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,0,0,.03428941,.03428941,.03428941,.03428941,.02007407,.02007407,.02007407,.02007407,.02007407,.02007407,0,0,0,0,0,v1.03_RF3084
HUMBOLDT,STATIONARY,WASTE DISPOSAL,INCINERATORS,NOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,,,,,,,,,0,0,0,0,,0,0,0,0,.000441,.00044017,.00043762,.00043473,.00043866,v1.03_RF3084
