AREA,SRC_TYPE,CATEGORY,SUBCATEGORY,POLLUTANT,SEASON,CONTROL_TYPE,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,v1.03_RF3084
HUMBOLDT,STATIONARY,FUEL COMBUSTION,ELECTRIC UTILITIES,PM,ANNUAL AVERAGE,GROWN AND CONTROLLED,.29525208,.54912328,.39667616,.35164775,.36909738,.17206908,.10259102,.20075162,.19708943,.17274814,.15859492,.10016587,.16652184,.17254076,.16845994,.1054288,.05438338,.01445289,.01129393,.01178573,.01386768,.01343468,v1.03_RF3084
HUMBOLDT,STATIONARY,FUEL COMBUSTION,COGENERATION,PM,ANNUAL AVERAGE,GROWN AND CONTROLLED,,,,,,,,.02334441,.01888127,.01099169,.02338678,.04386871,.04922285,,0,0,0,,,,,,v1.03_RF3084
HUMBOLDT,STATIONARY,FUEL COMBUSTION,OIL AND GAS PRODUCTION (COMBUSTION),PM,ANNUAL AVERAGE,GROWN AND CONTROLLED,.00019962,.00019073,.00018795,.00018064,.00017375,.00016608,.00016189,.0001579,.00015493,.00014919,.00014453,.00014064,.00013979,.00014174,.00014538,.00013837,.00012519,.00012156,.00011804,.00011461,.00011129,.00010805,v1.03_RF3084
HUMBOLDT,STATIONARY,FUEL COMBUSTION,MANUFACTURING AND INDUSTRIAL,PM,ANNUAL AVERAGE,GROWN AND CONTROLLED,.6524223,.63927472,.62106857,.72965623,.85538232,.82149022,.87216001,.59812794,.54526762,.38236389,.3936799,.33379842,.35054837,.42814514,.37380948,.31227938,.3473275,.28838494,.29815339,.29711543,.29186255,.29704868,v1.03_RF3084
HUMBOLDT,STATIONARY,FUEL COMBUSTION,FOOD AND AGRICULTURAL PROCESSING,PM,ANNUAL AVERAGE,GROWN AND CONTROLLED,.00579847,.00579847,.00579847,.00579847,.00569771,.00550038,.00530042,.00539628,.00511204,.00500997,.00481001,.0031963,.00269885,.00299473,.00306614,.00266729,.00186534,.00229598,.00221373,.00209023,.00205047,.00196435,v1.03_RF3084
HUMBOLDT,STATIONARY,FUEL COMBUSTION,SERVICE AND COMMERCIAL,PM,ANNUAL AVERAGE,GROWN AND CONTROLLED,.01378833,.01184265,.01324063,.01371556,.01465776,.01357768,.01381897,.01410685,.01398114,.01351257,.01367726,.01450535,.01323105,.01408909,.01230816,.01222311,.01246249,.01240256,.01292162,.0132551,.01325311,.0132194,v1.03_RF3084
HUMBOLDT,STATIONARY,FUEL COMBUSTION,OTHER (FUEL COMBUSTION),PM,ANNUAL AVERAGE,GROWN AND CONTROLLED,.00125454,.00125454,.00078333,.00050608,.000741,.00064734,.00061636,.00060168,.00089277,.00064508,.00040449,.00040877,.00040449,.00040877,.00040805,.00040805,.00040805,.00040506,.00040507,.00040508,.00020224,.00020224,v1.03_RF3084
HUMBOLDT,STATIONARY,WASTE DISPOSAL,SEWAGE TREATMENT,PM,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,v1.03_RF3084
HUMBOLDT,STATIONARY,WASTE DISPOSAL,LANDFILLS,PM,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,0,0,.00476004,.00476004,.00476004,.00476004,.00278667,.00278667,.00278667,.00278667,.00278667,.00278667,0,0,0,0,0,v1.03_RF3084
HUMBOLDT,STATIONARY,WASTE DISPOSAL,INCINERATORS,PM,ANNUAL AVERAGE,GROWN AND CONTROLLED,,,,,,,,,.00014538,.00014555,.00014555,.00015204,,.00015204,.00013341,.00013341,.00013341,.00014498,.0001447,.00014385,.00014289,.0001442,v1.03_RF3084
HUMBOLDT,STATIONARY,WASTE DISPOSAL,OTHER (WASTE DISPOSAL),PM,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,v1.03_RF3084
HUMBOLDT,STATIONARY,CLEANING AND SURFACE COATINGS,LAUNDERING,PM,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,v1.03_RF3084
HUMBOLDT,STATIONARY,CLEANING AND SURFACE COATINGS,DEGREASING,PM,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,v1.03_RF3084
HUMBOLDT,STATIONARY,CLEANING AND SURFACE COATINGS,COATINGS AND RELATED PROCESS SOLVENTS,PM,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,v1.03_RF3084
HUMBOLDT,STATIONARY,CLEANING AND SURFACE COATINGS,ADHESIVES AND SEALANTS,PM,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,v1.03_RF3084
HUMBOLDT,STATIONARY,PETROLEUM PRODUCTION AND MARKETING,OIL AND GAS PRODUCTION,PM,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,v1.03_RF3084
HUMBOLDT,STATIONARY,PETROLEUM PRODUCTION AND MARKETING,PETROLEUM MARKETING,PM,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,v1.03_RF3084
HUMBOLDT,STATIONARY,PETROLEUM PRODUCTION AND MARKETING,OTHER (PETROLEUM PRODUCTION AND MARKETING),PM,ANNUAL AVERAGE,GROWN AND CONTROLLED,,,,,,,0,0,0,0,0,,,0,,,,,,,,,v1.03_RF3084
HUMBOLDT,STATIONARY,INDUSTRIAL PROCESSES,CHEMICAL,PM,ANNUAL AVERAGE,GROWN AND CONTROLLED,,,,,,,,,,,,.00253611,,.00253611,.00253611,.00253611,.00253611,.00009559,.00009719,.00009641,.00009297,.00008992,v1.03_RF3084
HUMBOLDT,STATIONARY,INDUSTRIAL PROCESSES,FOOD AND AGRICULTURE,PM,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,0,0,0,0,.0096854,.0096854,.01368641,0,.01368641,.00123727,.00123727,.00123727,.00913784,.00929091,.00909103,.00872037,.008808,v1.03_RF3084
