AREA,SRC_TYPE,CATEGORY,SUBCATEGORY,POLLUTANT,SEASON,CONTROL_TYPE,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,v1.03_RF3084
HUMBOLDT,STATIONARY,FUEL COMBUSTION,ELECTRIC UTILITIES,PM10,ANNUAL AVERAGE,GROWN AND CONTROLLED,.2926575,.53866552,.39539529,.35022337,.36782735,.17124305,.1020351,.19950923,.19667788,.17179351,.15836434,.09985806,.16610491,.17223596,.16814508,.10505843,.05417313,.01434822,.0112084,.01169755,.01376647,.01333563,v1.03_RF3084
HUMBOLDT,STATIONARY,FUEL COMBUSTION,COGENERATION,PM10,ANNUAL AVERAGE,GROWN AND CONTROLLED,,,,,,,,.03032677,.01882297,.01095871,.02331662,.0437371,.034456,,0,0,0,,,,,,v1.03_RF3084
HUMBOLDT,STATIONARY,FUEL COMBUSTION,OIL AND GAS PRODUCTION (COMBUSTION),PM10,ANNUAL AVERAGE,GROWN AND CONTROLLED,.00019915,.00019027,.00018751,.00018021,.00017333,.00016568,.0001615,.00015752,.00015456,.00014884,.00014419,.0001403,.00013945,.0001414,.00014503,.00013804,.0001249,.00012127,.00011776,.00011433,.00011103,.0001078,v1.03_RF3084
HUMBOLDT,STATIONARY,FUEL COMBUSTION,MANUFACTURING AND INDUSTRIAL,PM10,ANNUAL AVERAGE,GROWN AND CONTROLLED,.64930237,.63617201,.61827001,.72630354,.85125484,.81777209,.86848964,.5933478,.54113399,.37839628,.39098645,.3301175,.31754748,.41924172,.37204326,.31071316,.34565315,.28693899,.29665306,.29561882,.29038417,.29555433,v1.03_RF3084
HUMBOLDT,STATIONARY,FUEL COMBUSTION,FOOD AND AGRICULTURAL PROCESSING,PM10,ANNUAL AVERAGE,GROWN AND CONTROLLED,.00493376,.00493376,.00493376,.00493376,.00484827,.00468083,.00451032,.00467144,.00440967,.00434011,.0041696,.00276786,.00230029,.00259595,.00268028,.00234186,.00166053,.00210788,.00203981,.00193071,.00189095,.00181901,v1.03_RF3084
HUMBOLDT,STATIONARY,FUEL COMBUSTION,SERVICE AND COMMERCIAL,PM10,ANNUAL AVERAGE,GROWN AND CONTROLLED,.0137056,.01177159,.01316119,.01363327,.01456981,.01349621,.01373606,.01399643,.01389038,.01343149,.0135952,.01439864,.01315166,.0139849,.01221718,.01213275,.0123707,.01232812,.0128441,.01317559,.01317358,.01314008,v1.03_RF3084
HUMBOLDT,STATIONARY,FUEL COMBUSTION,OTHER (FUEL COMBUSTION),PM10,ANNUAL AVERAGE,GROWN AND CONTROLLED,.00124701,.00124701,.00077863,.00050304,.00073655,.00064346,.00061266,.00059807,.00088907,.00064121,.00040207,.00040624,.00040207,.00040624,.00040553,.00040553,.00040553,.00040262,.00040264,.00040265,.00020103,.00020103,v1.03_RF3084
HUMBOLDT,STATIONARY,WASTE DISPOSAL,SEWAGE TREATMENT,PM10,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,v1.03_RF3084
HUMBOLDT,STATIONARY,WASTE DISPOSAL,LANDFILLS,PM10,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,0,0,.00476004,.00476004,.00476004,.00476004,.00278667,.00278667,.00278667,.00278667,.00278667,.00278667,0,0,0,0,0,v1.03_RF3084
HUMBOLDT,STATIONARY,WASTE DISPOSAL,INCINERATORS,PM10,ANNUAL AVERAGE,GROWN AND CONTROLLED,,,,,,,,,.00010177,.00010189,.00010189,.00010643,,.00010643,.00009339,.00009339,.00009339,.0000931,.0000929,.00009227,.00009158,.00009252,v1.03_RF3084
HUMBOLDT,STATIONARY,WASTE DISPOSAL,OTHER (WASTE DISPOSAL),PM10,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,v1.03_RF3084
HUMBOLDT,STATIONARY,CLEANING AND SURFACE COATINGS,LAUNDERING,PM10,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,v1.03_RF3084
HUMBOLDT,STATIONARY,CLEANING AND SURFACE COATINGS,DEGREASING,PM10,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,v1.03_RF3084
HUMBOLDT,STATIONARY,CLEANING AND SURFACE COATINGS,COATINGS AND RELATED PROCESS SOLVENTS,PM10,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,v1.03_RF3084
HUMBOLDT,STATIONARY,CLEANING AND SURFACE COATINGS,ADHESIVES AND SEALANTS,PM10,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,v1.03_RF3084
HUMBOLDT,STATIONARY,PETROLEUM PRODUCTION AND MARKETING,OIL AND GAS PRODUCTION,PM10,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,v1.03_RF3084
HUMBOLDT,STATIONARY,PETROLEUM PRODUCTION AND MARKETING,PETROLEUM MARKETING,PM10,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,v1.03_RF3084
HUMBOLDT,STATIONARY,PETROLEUM PRODUCTION AND MARKETING,OTHER (PETROLEUM PRODUCTION AND MARKETING),PM10,ANNUAL AVERAGE,GROWN AND CONTROLLED,,,,,,,0,0,0,0,0,,,0,,,,,,,,,v1.03_RF3084
