AREA,SRC_TYPE,CATEGORY,SUBCATEGORY,POLLUTANT,SEASON,CONTROL_TYPE,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,v1.03_RF3084
HUMBOLDT,STATIONARY,FUEL COMBUSTION,ELECTRIC UTILITIES,PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,.28082322,.52231404,.37165027,.32898937,.34664697,.16249846,.09970797,.19159384,.18930689,.16746808,.15154872,.09343321,.1560391,.16039751,.15640863,.09890651,.05141845,.01423581,.01110377,.01159255,.01365548,.01322427,v1.03_RF3084
HUMBOLDT,STATIONARY,FUEL COMBUSTION,COGENERATION,PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,,,,,,,,.02166614,.0175043,.0101893,.02167955,.04066629,.0206736,,0,0,0,,,,,,v1.03_RF3084
HUMBOLDT,STATIONARY,FUEL COMBUSTION,OIL AND GAS PRODUCTION (COMBUSTION),PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,.00019899,.00019012,.00018734,.00018007,.00017319,.00016556,.00016138,.00015739,.00015444,.00014872,.00014407,.0001402,.00013935,.0001413,.00014492,.00013793,.00012479,.00012117,.00011766,.00011424,.00011094,.00010771,v1.03_RF3084
HUMBOLDT,STATIONARY,FUEL COMBUSTION,MANUFACTURING AND INDUSTRIAL,PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,.62921672,.6169754,.59608136,.7017359,.82689342,.78879056,.83142097,.56793106,.51857317,.36436852,.37646485,.32052085,.28626764,.40636299,.3611197,.30374637,.33628436,.27990148,.28950169,.2885261,.28360308,.28841956,v1.03_RF3084
HUMBOLDT,STATIONARY,FUEL COMBUSTION,FOOD AND AGRICULTURAL PROCESSING,PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,.00480655,.00480655,.00480655,.00480655,.00472411,.00456265,.00439519,.0045629,.00430832,.00424601,.00407855,.00271926,.00225488,.00255041,.00263401,.00230767,.00164759,.0020985,.00203043,.00192133,.00188159,.00180964,v1.03_RF3084
HUMBOLDT,STATIONARY,FUEL COMBUSTION,SERVICE AND COMMERCIAL,PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,.01367802,.01174791,.0131347,.01360584,.0145405,.01346906,.01370842,.01395304,.01385912,.01340447,.01356784,.01436142,.0131252,.01394852,.01218543,.01210122,.01233868,.01227771,.01278966,.01312106,.01311995,.01308732,v1.03_RF3084
HUMBOLDT,STATIONARY,FUEL COMBUSTION,OTHER (FUEL COMBUSTION),PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,.00119307,.00119307,.00074495,.00048128,.00070469,.00061562,.00058616,.0005722,.0006979,.00061348,.00038468,.00038881,.00038468,.00038881,.00038811,.00038811,.00038811,.00038521,.00038523,.00038524,.00019233,.00019233,v1.03_RF3084
HUMBOLDT,STATIONARY,WASTE DISPOSAL,SEWAGE TREATMENT,PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,v1.03_RF3084
HUMBOLDT,STATIONARY,WASTE DISPOSAL,LANDFILLS,PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,0,0,.00476004,.00476004,.00476004,.00476004,.00278667,.00278667,.00278667,.00278667,.00278667,.00278667,0,0,0,0,0,v1.03_RF3084
HUMBOLDT,STATIONARY,WASTE DISPOSAL,INCINERATORS,PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,,,,,,,,,.00006106,.00006113,.00006113,.00006386,,.00006386,.00005603,.00005603,.00005603,.00005627,.00005616,.00005578,.00005536,.00005594,v1.03_RF3084
HUMBOLDT,STATIONARY,WASTE DISPOSAL,OTHER (WASTE DISPOSAL),PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,v1.03_RF3084
HUMBOLDT,STATIONARY,CLEANING AND SURFACE COATINGS,LAUNDERING,PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,v1.03_RF3084
HUMBOLDT,STATIONARY,CLEANING AND SURFACE COATINGS,DEGREASING,PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,v1.03_RF3084
HUMBOLDT,STATIONARY,CLEANING AND SURFACE COATINGS,COATINGS AND RELATED PROCESS SOLVENTS,PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,v1.03_RF3084
HUMBOLDT,STATIONARY,CLEANING AND SURFACE COATINGS,ADHESIVES AND SEALANTS,PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,v1.03_RF3084
HUMBOLDT,STATIONARY,PETROLEUM PRODUCTION AND MARKETING,OIL AND GAS PRODUCTION,PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,v1.03_RF3084
HUMBOLDT,STATIONARY,PETROLEUM PRODUCTION AND MARKETING,PETROLEUM MARKETING,PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,v1.03_RF3084
HUMBOLDT,STATIONARY,PETROLEUM PRODUCTION AND MARKETING,OTHER (PETROLEUM PRODUCTION AND MARKETING),PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,,,,,,,0,0,0,0,0,,,0,,,,,,,,,v1.03_RF3084
HUMBOLDT,STATIONARY,INDUSTRIAL PROCESSES,CHEMICAL,PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,,,,,,,,,,,,.00225714,,.00225714,.00225714,.00225714,.00225714,.00000717,.00000729,.00000723,.00000697,.00000674,v1.03_RF3084
HUMBOLDT,STATIONARY,INDUSTRIAL PROCESSES,FOOD AND AGRICULTURE,PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,0,0,0,0,.00135596,.00135596,.0019161,0,.0019161,.00017322,.00017322,.00017322,.0012793,.00130073,.00127274,.00122085,.00123312,v1.03_RF3084
HUMBOLDT,STATIONARY,INDUSTRIAL PROCESSES,MINERAL PROCESSES,PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,.07586343,.07367002,.06884083,.06510179,.06768724,.06235917,.07825442,.06488236,.06935782,.03871716,.04139252,.03904375,.02732717,.03634443,.03476438,.03713094,.03630572,.0563618,.0572013,.057675,.05468761,.05687326,v1.03_RF3084
HUMBOLDT,STATIONARY,INDUSTRIAL PROCESSES,WOOD AND PAPER,PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,1.31346935,1.23698271,1.13093806,1.0283918,1.22801448,1.18504325,1.06901039,.9295676,.69683563,.40026865,.37194571,.38298021,.33349947,.36714596,.39672877,.40513803,.41811753,.38288854,.38840405,.38481826,.36679167,.38673114,v1.03_RF3084
HUMBOLDT,STATIONARY,INDUSTRIAL PROCESSES,OTHER (INDUSTRIAL PROCESSES),PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,.00095891,.00101377,.00104096,.00098624,.00084471,.0007917,.0007917,,,,,.00107023,,.00107023,.0009509,.0009509,.0009509,.00097216,.0009892,.00098081,.00095997,.00097344,v1.03_RF3084
HUMBOLDT,AREAWIDE,SOLVENT EVAPORATION,CONSUMER PRODUCTS,PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,v1.03_RF3084
HUMBOLDT,AREAWIDE,SOLVENT EVAPORATION,ARCHITECTURAL COATINGS AND RELATED PROCESS SOLVENTS,PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,v1.03_RF3084
HUMBOLDT,AREAWIDE,SOLVENT EVAPORATION,PESTICIDES/FERTILIZERS,PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,v1.03_RF3084
HUMBOLDT,AREAWIDE,SOLVENT EVAPORATION,ASPHALT PAVING / ROOFING,PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,v1.03_RF3084
HUMBOLDT,AREAWIDE,MISCELLANEOUS PROCESSES,RESIDENTIAL FUEL COMBUSTION,PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,1.45152187,1.39439572,1.41342819,1.48580763,1.52318016,1.02064699,.90836656,1.00032355,1.11792626,1.46439592,1.27845903,1.30665269,1.21877892,1.67474283,1.68999859,1.25935189,1.0146479,1.01594395,1.01536888,1.01580477,1.01552835,1.01514177,v1.03_RF3084
HUMBOLDT,AREAWIDE,MISCELLANEOUS PROCESSES,FARMING OPERATIONS,PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,.00777005,.00864556,.00866891,.00930629,.00930629,.00940434,.00969619,.00969619,.00969619,.01001487,.01001487,.01862416,.01827629,.01827629,.01827629,.01827629,.01827629,.01827629,.01827629,.01827629,.01827629,.01827629,v1.03_RF3084
HUMBOLDT,AREAWIDE,MISCELLANEOUS PROCESSES,CONSTRUCTION AND DEMOLITION,PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,.05451212,.05451212,.05715164,.05871528,.065974,.06961771,.07459552,.07379219,.07248677,.06677734,.06214381,.06154131,.06225858,.06116833,.06113964,.06278936,.06316231,.06370745,.06647609,.06849719,.06877711,.07092681,v1.03_RF3084
