AREA,SRC_TYPE,CATEGORY,SUBCATEGORY,POLLUTANT,SEASON,CONTROL_TYPE,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,v1.03_RF3084
HUMBOLDT,STATIONARY,FUEL COMBUSTION,ELECTRIC UTILITIES,ROG,ANNUAL AVERAGE,GROWN AND CONTROLLED,.18526234,.19899137,.3301765,.28825701,.29814776,.14635377,.07864148,.11169698,.1109433,.09980531,.09473363,.07037583,.09819086,.10098227,.097427,.06749728,.06936184,.05329122,.04271923,.04426156,.05136482,.05005358,v1.03_RF3084
HUMBOLDT,STATIONARY,FUEL COMBUSTION,COGENERATION,ROG,ANNUAL AVERAGE,GROWN AND CONTROLLED,,,,,,,,.0244112,.02087822,.01044302,.0222194,.02143488,.03831704,,0,0,0,,,,,,v1.03_RF3084
HUMBOLDT,STATIONARY,FUEL COMBUSTION,OIL AND GAS PRODUCTION (COMBUSTION),ROG,ANNUAL AVERAGE,GROWN AND CONTROLLED,.00045309,.00043292,.0004266,.00041002,.00039438,.00037696,.00036745,.0003584,.00035164,.00033863,.00032806,.00031921,.00031729,.00032172,.00032999,.00031406,.00028414,.00027591,.00026789,.00026014,.00025258,.00024526,v1.03_RF3084
HUMBOLDT,STATIONARY,FUEL COMBUSTION,MANUFACTURING AND INDUSTRIAL,ROG,ANNUAL AVERAGE,GROWN AND CONTROLLED,.29861295,.29483132,.30919648,.38163677,.39267188,.41466644,.18677219,.06897352,.05123671,.05695461,.06103849,.04855355,.07842407,.08121441,.06300927,.04594189,.07326877,.06515732,.06613284,.06556899,.06256853,.06598572,v1.03_RF3084
HUMBOLDT,STATIONARY,FUEL COMBUSTION,FOOD AND AGRICULTURAL PROCESSING,ROG,ANNUAL AVERAGE,GROWN AND CONTROLLED,.0103522,.0103522,.0103522,.0103522,.01005196,.00957668,.00909566,.00987245,.00915841,.00896211,.00848684,.00538769,.00436743,.0049672,.00533682,.00450284,.00330448,.0027638,.00265493,.00257915,.00243166,.00231997,v1.03_RF3084
HUMBOLDT,STATIONARY,FUEL COMBUSTION,SERVICE AND COMMERCIAL,ROG,ANNUAL AVERAGE,GROWN AND CONTROLLED,.01021009,.00876933,.00980452,.0101562,.01085389,.01005411,.01023278,.01054186,.01066822,.01000589,.01012785,.01132893,.00979743,.01102006,.00967095,.00960564,.0097829,.00944075,.00985506,.01009572,.01008557,.01005226,v1.03_RF3084
HUMBOLDT,STATIONARY,FUEL COMBUSTION,OTHER (FUEL COMBUSTION),ROG,ANNUAL AVERAGE,GROWN AND CONTROLLED,.0055391,.0055391,.00414325,.0024926,.00279793,.00245881,.00208893,.00208699,.00217957,.00200363,.00193841,.00194707,.00193841,.00194707,.00194561,.00129948,.00129948,.00129343,.00129348,.00129349,.00097013,.00097012,v1.03_RF3084
HUMBOLDT,STATIONARY,WASTE DISPOSAL,SEWAGE TREATMENT,ROG,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,v1.03_RF3084
HUMBOLDT,STATIONARY,WASTE DISPOSAL,LANDFILLS,ROG,ANNUAL AVERAGE,GROWN AND CONTROLLED,.16735372,.16825613,.1701151,.17199653,.17340232,.17399159,.17470109,.1769355,.17765426,.17840074,.1801659,.17987925,.17901647,.17883726,.17842769,.17888219,.17981236,.17855248,.17812704,.17680713,.17533527,.1773277,v1.03_RF3084
HUMBOLDT,STATIONARY,WASTE DISPOSAL,INCINERATORS,ROG,ANNUAL AVERAGE,GROWN AND CONTROLLED,,,,,,,,,0,0,0,0,,0,0,0,0,.00038227,.00038157,.00037932,.0003768,.00038024,v1.03_RF3084
HUMBOLDT,STATIONARY,WASTE DISPOSAL,OTHER (WASTE DISPOSAL),ROG,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,v1.03_RF3084
HUMBOLDT,STATIONARY,CLEANING AND SURFACE COATINGS,LAUNDERING,ROG,ANNUAL AVERAGE,GROWN AND CONTROLLED,.00553739,.00556725,.00562876,.00569101,.00573752,.00575702,.0057805,.00579934,.00582312,.00584782,.00590623,.00591851,.00588996,.00588262,.00586907,.00588411,.00591488,.00590793,.00589385,.00585018,.00580148,.00586741,v1.03_RF3084
HUMBOLDT,STATIONARY,CLEANING AND SURFACE COATINGS,DEGREASING,ROG,ANNUAL AVERAGE,GROWN AND CONTROLLED,.65702442,.65702442,.64806803,.67628025,.92064041,.69414612,.69764058,.67960793,.60343292,.49071495,.44039125,.39564018,.40065563,.43638026,.44643932,.46131952,.45838421,.47208154,.48024283,.48115514,.46472905,.46462564,v1.03_RF3084
HUMBOLDT,STATIONARY,CLEANING AND SURFACE COATINGS,COATINGS AND RELATED PROCESS SOLVENTS,ROG,ANNUAL AVERAGE,GROWN AND CONTROLLED,.25204303,.25435232,.24527187,.24652282,.23731918,.24069521,.24179728,.26772651,.27360961,.25423062,.25341931,.26407884,.26965432,.27338602,.26854996,.26178801,.26543727,.2434928,.24234772,.24461153,.25299739,.25640822,v1.03_RF3084
HUMBOLDT,STATIONARY,CLEANING AND SURFACE COATINGS,ADHESIVES AND SEALANTS,ROG,ANNUAL AVERAGE,GROWN AND CONTROLLED,.05006643,.05006643,.05051175,.05031179,.05158726,.04770554,.04464852,.04557577,.04258791,.03843879,.04286059,.04062826,.03783584,.03816325,.03786159,.0358994,.03580212,.0358166,.03614367,.03609262,.03474275,.03498455,v1.03_RF3084
HUMBOLDT,STATIONARY,PETROLEUM PRODUCTION AND MARKETING,OIL AND GAS PRODUCTION,ROG,ANNUAL AVERAGE,GROWN AND CONTROLLED,.54484159,.52058941,.51300572,.49306268,.47425311,.4533091,.44185285,.43098366,.42287269,.40720604,.39450257,.38386908,.38156516,.38688188,.3968065,.37766619,.34168959,.33178054,.32215897,.31281634,.30374464,.29493605,v1.03_RF3084
HUMBOLDT,STATIONARY,PETROLEUM PRODUCTION AND MARKETING,PETROLEUM MARKETING,ROG,ANNUAL AVERAGE,GROWN AND CONTROLLED,1.56945243,1.52765856,1.58050588,1.58764092,1.57482387,1.5657014,1.64501163,1.60765087,1.55796353,1.55014575,1.57144805,1.52994987,1.4296445,1.5724513,1.5490346,1.56221193,1.58910049,1.63749541,1.59614421,1.55262622,1.51208394,1.47172022,v1.03_RF3084
HUMBOLDT,STATIONARY,PETROLEUM PRODUCTION AND MARKETING,OTHER (PETROLEUM PRODUCTION AND MARKETING),ROG,ANNUAL AVERAGE,GROWN AND CONTROLLED,,,,,,,.0066036,.00005206,.0000474,.00006109,.04096053,,,.0002559,,,,,,,,,v1.03_RF3084
HUMBOLDT,STATIONARY,INDUSTRIAL PROCESSES,CHEMICAL,ROG,ANNUAL AVERAGE,GROWN AND CONTROLLED,,,,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,v1.03_RF3084
HUMBOLDT,STATIONARY,INDUSTRIAL PROCESSES,FOOD AND AGRICULTURE,ROG,ANNUAL AVERAGE,GROWN AND CONTROLLED,.06997153,.06997153,.07652654,.06756966,.06232737,.06675897,.07126144,.08742126,.07468959,.0619549,.04739759,.04824983,.0483937,.04999429,.05082833,.04865991,.05020468,.06004952,.06105552,.05974871,.05734401,.05792076,v1.03_RF3084
HUMBOLDT,STATIONARY,INDUSTRIAL PROCESSES,MINERAL PROCESSES,ROG,ANNUAL AVERAGE,GROWN AND CONTROLLED,.03843936,.03843835,.02403217,.00558909,.00994005,.00796197,.00978624,.0074829,.00439458,.00676045,.0069885,.00586811,.00514488,.00827041,.00523414,.00523414,.00654986,.00463781,.00470736,.00474826,.00450294,.00468125,v1.03_RF3084
HUMBOLDT,STATIONARY,INDUSTRIAL PROCESSES,WOOD AND PAPER,ROG,ANNUAL AVERAGE,GROWN AND CONTROLLED,.64169713,.52452162,.43461433,.40235205,.41721113,.49659515,.65663519,.85192262,.6999535,.20253632,.16569538,.0553936,.0582635,.0553936,.0553936,.03750308,.07710455,.09570695,.09708561,.09618931,.09168337,.09666745,v1.03_RF3084
HUMBOLDT,STATIONARY,INDUSTRIAL PROCESSES,OTHER (INDUSTRIAL PROCESSES),ROG,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,0,0,,,,,0,,0,0,0,0,0,0,0,0,0,v1.03_RF3084
HUMBOLDT,AREAWIDE,SOLVENT EVAPORATION,CONSUMER PRODUCTS,ROG,ANNUAL AVERAGE,GROWN AND CONTROLLED,1.00261801,1.00207014,1.01209106,.92102758,.93522762,.88762021,.89566972,.87910661,.86141159,.88783943,.87217696,.87196112,.84411083,.82408798,.83157482,.85060519,.86149406,.86351689,.87470496,.88020091,.9024853,.87825635,v1.03_RF3084
