AREA,SRC_TYPE,CATEGORY,SUBCATEGORY,POLLUTANT,SEASON,CONTROL_TYPE,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,v1.03_RF3084
HUMBOLDT,STATIONARY,FUEL COMBUSTION,ELECTRIC UTILITIES,SOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,.40610192,4.00506852,.01881217,.02364005,.01074,.00954521,.24140928,.22089923,.16835308,.16111829,.15373359,.07918971,.11248379,.12755137,.12815735,.08099181,.03800342,.00457589,.00366288,.00380679,.00440291,.00427983,v1.03_RF3084
HUMBOLDT,STATIONARY,FUEL COMBUSTION,COGENERATION,SOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,,,,,,,,.03524121,.02943708,.01526623,.03248164,.0313348,.03515918,,0,0,0,,,,,,v1.03_RF3084
HUMBOLDT,STATIONARY,FUEL COMBUSTION,OIL AND GAS PRODUCTION (COMBUSTION),SOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,.00000271,.00000259,.00000255,.00000244,.00000236,.00000225,.0000022,.00000215,.0000021,.00000202,.00000196,.0000019,.0000019,.00000193,.00000197,.00000188,.00000169,.00000164,.00000161,.00000156,.0000015,.00000147,v1.03_RF3084
HUMBOLDT,STATIONARY,FUEL COMBUSTION,MANUFACTURING AND INDUSTRIAL,SOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,.0182484,.02109342,.01377291,.01011686,.01335153,.01242347,.23119975,.10753273,.08304363,.09254529,.10033801,.0951459,.08834901,.12930695,.11602451,.09201926,.12727687,.10844726,.11013071,.10976892,.10563203,.11089062,v1.03_RF3084
HUMBOLDT,STATIONARY,FUEL COMBUSTION,FOOD AND AGRICULTURAL PROCESSING,SOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,.0006,.0006,.0006,.0006,.0006,.0006,.0006,.00163612,.00086407,.00069922,.00069922,.00039177,.0003,.00039177,.00043605,.00033605,.00073605,.00067828,.00067961,.00067783,.00067471,.00067573,v1.03_RF3084
HUMBOLDT,STATIONARY,FUEL COMBUSTION,SERVICE AND COMMERCIAL,SOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,.0010089,.00086654,.00096883,.00100358,.00107252,.00099349,.00101114,.00161686,.00130463,.00098872,.00100078,.00107786,.00096813,.00104744,.00091142,.00090567,.00092318,.00086474,.00089775,.00092319,.00092448,.0009234,v1.03_RF3084
HUMBOLDT,STATIONARY,FUEL COMBUSTION,OTHER (FUEL COMBUSTION),SOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,0,0,0,0,0,0,.0000002,0,.0000002,.00000016,.00000016,.00000016,.00000003,.00000003,.00000003,.00000003,.00000003,v1.03_RF3084
HUMBOLDT,STATIONARY,WASTE DISPOSAL,SEWAGE TREATMENT,SOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,v1.03_RF3084
HUMBOLDT,STATIONARY,WASTE DISPOSAL,LANDFILLS,SOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,0,0,.0312338,.0312338,.0312338,.0312338,.01828522,.01828522,.01828522,.01828522,.01828522,.01828522,0,0,0,0,0,v1.03_RF3084
HUMBOLDT,STATIONARY,WASTE DISPOSAL,INCINERATORS,SOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,,,,,,,,,0,0,0,0,,0,0,0,0,.00027806,.00027754,.00027592,.00027408,.00027658,v1.03_RF3084
