AREA,SRC_TYPE,CATEGORY,SUBCATEGORY,POLLUTANT,SEASON,CONTROL_TYPE,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,v1.03_RF3084
HUMBOLDT,STATIONARY,FUEL COMBUSTION,ELECTRIC UTILITIES,TOG,ANNUAL AVERAGE,GROWN AND CONTROLLED,.41312193,.42673975,.75303837,.65507307,.67836403,.33311507,.18057088,.25122656,.25097268,.2260878,.21548824,.292563,.40555341,.31908976,.27351604,.2460908,.52173695,.47082204,.35886132,.37677242,.45006038,.43390447,v1.03_RF3084
HUMBOLDT,STATIONARY,FUEL COMBUSTION,COGENERATION,TOG,ANNUAL AVERAGE,GROWN AND CONTROLLED,,,,,,,,.05859213,.04611196,.02381532,.05067137,.04888228,.05484832,,0,0,0,,,,,,v1.03_RF3084
HUMBOLDT,STATIONARY,FUEL COMBUSTION,OIL AND GAS PRODUCTION (COMBUSTION),TOG,ANNUAL AVERAGE,GROWN AND CONTROLLED,.00281588,.00269055,.00265135,.00254829,.00245108,.00234283,.00228362,.00222745,.00218552,.00210454,.00203889,.00198394,.00197204,.00199951,.00205081,.00195187,.00176594,.00171474,.001665,.00161672,.00156984,.00152431,v1.03_RF3084
HUMBOLDT,STATIONARY,FUEL COMBUSTION,MANUFACTURING AND INDUSTRIAL,TOG,ANNUAL AVERAGE,GROWN AND CONTROLLED,.68100729,.6723582,.70512857,.87028912,.89549495,.94565374,.42561563,.15689216,.11335457,.1297954,.13915647,.1106111,.11898236,.16938722,.13862811,.10105956,.16121122,.14338892,.14553624,.14429502,.13769038,.14521225,v1.03_RF3084
HUMBOLDT,STATIONARY,FUEL COMBUSTION,FOOD AND AGRICULTURAL PROCESSING,TOG,ANNUAL AVERAGE,GROWN AND CONTROLLED,.01729775,.01729775,.01729775,.01729775,.01679594,.01600174,.01519757,.01691869,.01585853,.01582264,.01502845,.00948866,.00729303,.0087868,.0095409,.00814673,.00614318,.00503717,.00486296,.0047269,.00446406,.00428347,v1.03_RF3084
HUMBOLDT,STATIONARY,FUEL COMBUSTION,SERVICE AND COMMERCIAL,TOG,ANNUAL AVERAGE,GROWN AND CONTROLLED,.02320475,.0199303,.02228301,.02308228,.02466794,.02285024,.02325632,.02318107,.02365137,.02274066,.02301783,.0242694,.02226689,.02356866,.02056668,.02042638,.02082924,.02063987,.02148632,.02205305,.02205755,.02200841,v1.03_RF3084
HUMBOLDT,STATIONARY,FUEL COMBUSTION,OTHER (FUEL COMBUSTION),TOG,ANNUAL AVERAGE,GROWN AND CONTROLLED,.00630518,.00630518,.00471627,.00283733,.0031849,.00279887,.00237784,.00237563,.00248101,.00228074,.0022065,.00221685,.0022065,.00221685,.0022147,.0014792,.0014792,.00147232,.00147237,.00147239,.0011043,.00110429,v1.03_RF3084
HUMBOLDT,STATIONARY,WASTE DISPOSAL,SEWAGE TREATMENT,TOG,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,v1.03_RF3084
HUMBOLDT,STATIONARY,WASTE DISPOSAL,LANDFILLS,TOG,ANNUAL AVERAGE,GROWN AND CONTROLLED,25.3566246,25.49335289,25.77501488,26.06007957,26.27307892,26.36236191,26.46986198,26.57127106,26.68017303,26.7932769,27.06072533,27.11560424,26.98488028,26.95124801,26.88919051,26.95805533,27.09898932,27.05340576,26.98894501,26.7889595,26.56595039,26.86783409,v1.03_RF3084
HUMBOLDT,STATIONARY,WASTE DISPOSAL,INCINERATORS,TOG,ANNUAL AVERAGE,GROWN AND CONTROLLED,,,,,,,,,0,0,0,0,,0,0,0,0,.00079606,.00079534,.00079293,.00079009,.00079404,v1.03_RF3084
HUMBOLDT,STATIONARY,WASTE DISPOSAL,OTHER (WASTE DISPOSAL),TOG,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,v1.03_RF3084
HUMBOLDT,STATIONARY,CLEANING AND SURFACE COATINGS,LAUNDERING,TOG,ANNUAL AVERAGE,GROWN AND CONTROLLED,.02934816,.02950641,.02983241,.03016235,.03040887,.03051221,.03063664,.0307365,.03086254,.03099345,.03130301,.03136811,.03121681,.03117789,.03110606,.03118577,.03134888,.03131204,.03123743,.03100596,.03074785,.03109726,v1.03_RF3084
HUMBOLDT,STATIONARY,CLEANING AND SURFACE COATINGS,DEGREASING,TOG,ANNUAL AVERAGE,GROWN AND CONTROLLED,.74508482,.74508482,.73492799,.76692147,1.04403301,.78718189,.79114471,.77069516,.68431047,.55648504,.49941648,.44866748,.45435514,.49486792,.50627516,.52314974,.51982104,.53535416,.54460936,.54564392,.52701626,.52689899,v1.03_RF3084
