src_type,category,subcategory,year,co,nh3,nox,pm,pm10,pm2_5,rog,sox,tog
STATIONARY,FUEL COMBUSTION,ELECTRIC UTILITIES,2000,0.82018247,0.28273008,0.65015642,0.2512089,0.09081163,0.23759262,0.1093318,0.16767181,0.2932056
STATIONARY,FUEL COMBUSTION,COGENERATION,2000,5.60621065,0.19333795,9.09630186,1.09420308,0.65469491,0.98689464,0.25682931,0.41161442,0.92395355
STATIONARY,FUEL COMBUSTION,OIL AND GAS PRODUCTION (COMBUSTION),2000,9.43196664,1.813e-05,15.30979333,1.5114518,1.47069463,1.50839795,1.06236572,6.87550465,10.47673635
STATIONARY,FUEL COMBUSTION,PETROLEUM REFINING (COMBUSTION),2000,0.46910802,0.0,1.48499019,0.2469718,0.20474229,0.21798887,0.0441755,1.81849258,0.18878939
STATIONARY,FUEL COMBUSTION,MANUFACTURING AND INDUSTRIAL,2000,0.49830719,0.0,1.58780893,0.16854721,0.15877241,0.14256437,0.05833805,0.29359479,0.15707217
STATIONARY,FUEL COMBUSTION,FOOD AND AGRICULTURAL PROCESSING,2000,1.46396085,0.0,4.3716319,0.18892883,0.16083593,0.15946109,0.33136999,0.0268969,0.55029532
STATIONARY,FUEL COMBUSTION,SERVICE AND COMMERCIAL,2000,2.32014195,0.0,1.77878994,0.23059746,0.21464466,0.15829376,0.24228187,0.23547246,0.52592491
STATIONARY,FUEL COMBUSTION,OTHER (FUEL COMBUSTION),2000,0.07507607,0.0,0.21131314,0.00736776,0.01057495,0.00682968,0.02727899,0.00014788,0.02677056
STATIONARY,WASTE DISPOSAL,SEWAGE TREATMENT,2000,0.0,0.0086974,0.0,0.0,0.0,0.0,0.00544384,0.0,0.00800001
STATIONARY,WASTE DISPOSAL,LANDFILLS,2000,0.0,0.08186433,0.0,0.0,0.0,0.0,0.3059393,0.0,46.35443926
