AREA,SRC_TYPE,CATEGORY,SUBCATEGORY,POLLUTANT,SEASON,CONTROL_TYPE,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,v1.03_RF3084
KERN,STATIONARY,FUEL COMBUSTION,ELECTRIC UTILITIES,COT,ANNUAL AVERAGE,GROWN AND CONTROLLED,.82018247,.75643836,.96994366,.99655312,.53167892,2.95075657,2.54043373,2.41796233,2.82493316,3.46621946,2.81878328,3.0417033,2.25991781,1.97178562,1.90558702,1.60000204,1.61340045,1.54407037,1.46542273,1.38113918,1.42935864,1.37748658,v1.03_RF3084
KERN,STATIONARY,FUEL COMBUSTION,COGENERATION,COT,ANNUAL AVERAGE,GROWN AND CONTROLLED,5.60621065,3.335726,8.66826138,3.98246168,3.68680823,1.35945876,1.81527215,1.38307192,1.57927143,1.43884905,1.50204843,1.3678819,1.24393822,1.13152974,1.41858138,1.08587268,1.0098243,1.11923067,1.07944313,1.08058967,1.08228953,1.08371205,v1.03_RF3084
KERN,STATIONARY,FUEL COMBUSTION,OIL AND GAS PRODUCTION (COMBUSTION),COT,ANNUAL AVERAGE,GROWN AND CONTROLLED,9.43196664,7.37343717,7.29248803,6.80599336,7.09752533,6.31892629,6.23700819,6.06226535,5.71328532,5.53867784,5.80906891,5.82894354,5.04369375,4.2260895,4.14242298,3.78702086,3.3706754,2.95180304,2.86620082,2.78308098,2.70237161,2.62400281,v1.03_RF3084
KERN,STATIONARY,FUEL COMBUSTION,PETROLEUM REFINING (COMBUSTION),COT,ANNUAL AVERAGE,GROWN AND CONTROLLED,.46910802,.43761646,.47310679,.11788269,.39498646,1.28045244,1.14901701,.68187758,.6051463,.28666728,.29880328,.3218465,.28081789,.30821987,.13720403,.25510899,.23571194,.30858432,.30858432,.30858432,.30858432,.30858432,v1.03_RF3084
KERN,STATIONARY,FUEL COMBUSTION,MANUFACTURING AND INDUSTRIAL,COT,ANNUAL AVERAGE,GROWN AND CONTROLLED,.49830719,.43970957,.40385684,.48658135,.58007336,1.65985237,1.72458506,.69343183,.75871454,.70175453,.67405016,.60462523,.55245121,.56324611,.58151127,2.54394163,.536065,1.3160434,1.31029158,1.30891465,1.30608523,1.30617988,v1.03_RF3084
KERN,STATIONARY,FUEL COMBUSTION,FOOD AND AGRICULTURAL PROCESSING,COT,ANNUAL AVERAGE,GROWN AND CONTROLLED,1.46396085,1.47811827,1.81810488,1.92079693,1.77602078,1.68861411,1.40500649,1.42174609,1.40578485,1.35616762,1.2971319,.99626018,1.01099063,.99658576,.87376291,.82043791,.82169325,.79654748,.79634325,.79164766,.78687409,.78775143,v1.03_RF3084
KERN,STATIONARY,FUEL COMBUSTION,SERVICE AND COMMERCIAL,COT,ANNUAL AVERAGE,GROWN AND CONTROLLED,2.32014195,2.17435119,2.34785418,2.93187912,3.51523979,2.17236911,2.40781501,2.30474432,1.88693536,1.90202503,1.74245928,2.03869101,2.03788439,2.07281176,1.86115817,1.73802525,1.49958339,1.80554695,1.83407518,1.89603634,1.91363433,1.93066319,v1.03_RF3084
KERN,STATIONARY,FUEL COMBUSTION,OTHER (FUEL COMBUSTION),COT,ANNUAL AVERAGE,GROWN AND CONTROLLED,.07507607,.07772726,.09320032,.07952068,.07170209,.0451505,.03698553,.03485576,.03466285,.03451245,.03145972,.03149141,.03147161,.0315839,.03149161,.0248497,.02802024,.10161719,.1018065,.10249046,.09898044,.09963945,v1.03_RF3084
KERN,STATIONARY,WASTE DISPOSAL,SEWAGE TREATMENT,COT,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,.00767178,.00178863,.00178863,.02471292,.02401801,.00363568,.00442233,.00333913,.00447103,.00559177,.00612712,.00965983,.00764919,.00440562,.00507759,.00512106,.00515343,.00519122,.00524523,v1.03_RF3084
KERN,STATIONARY,WASTE DISPOSAL,LANDFILLS,COT,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,.0017774,.00553854,.01783648,.05980055,.06181692,.08004772,.09217484,.11498502,.11990799,.12894925,.14087776,.13825194,.21150613,.21332502,.21463953,.21621841,.21846695,v1.03_RF3084
KERN,STATIONARY,WASTE DISPOSAL,INCINERATORS,COT,ANNUAL AVERAGE,GROWN AND CONTROLLED,.02449314,.02449314,.02276712,.02214274,.00086568,.00498676,.03227648,.04326996,.01209283,.01179017,.005167,.01278003,.02162004,.08275859,.03100727,.02474878,.01949663,.02233745,.02247004,.02214278,.02173565,.02108896,v1.03_RF3084
KERN,STATIONARY,WASTE DISPOSAL,SOIL REMEDIATION,COT,ANNUAL AVERAGE,GROWN AND CONTROLLED,.04287671,.04287671,.04287671,.00219131,.00216113,.00250571,.03344082,.01685553,.00868656,.00647018,.0048702,.00001026,.00030388,.00105827,.00079057,.00076779,.00000275,.00022046,.00022079,.00022699,.00023505,.00023882,v1.03_RF3084
KERN,STATIONARY,WASTE DISPOSAL,OTHER (WASTE DISPOSAL),COT,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.00707355,.00569133,.00574026,.00577568,.00581814,.00587867,v1.03_RF3084
KERN,STATIONARY,CLEANING AND SURFACE COATINGS,LAUNDERING,COT,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,v1.03_RF3084
KERN,STATIONARY,CLEANING AND SURFACE COATINGS,DEGREASING,COT,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,v1.03_RF3084
KERN,STATIONARY,CLEANING AND SURFACE COATINGS,COATINGS AND RELATED PROCESS SOLVENTS,COT,ANNUAL AVERAGE,GROWN AND CONTROLLED,.0000326,.0000274,.0000326,.0000326,0,0,.00419636,.00723231,0,0,0,0,0,0,0,0,0,.00186301,.00189992,.00189852,.00194537,.00199784,v1.03_RF3084
KERN,STATIONARY,CLEANING AND SURFACE COATINGS,PRINTING,COT,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,.00001793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,v1.03_RF3084
KERN,STATIONARY,CLEANING AND SURFACE COATINGS,ADHESIVES AND SEALANTS,COT,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,v1.03_RF3084
KERN,STATIONARY,CLEANING AND SURFACE COATINGS,OTHER (CLEANING AND SURFACE COATINGS),COT,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,v1.03_RF3084
KERN,STATIONARY,PETROLEUM PRODUCTION AND MARKETING,OIL AND GAS PRODUCTION,COT,ANNUAL AVERAGE,GROWN AND CONTROLLED,.19580479,.22364042,.27322861,.38078208,.44886206,.32398356,.78306666,.40518902,.29920742,.49368801,.47527195,.90873746,1.07277833,.94224003,.60320101,.76998556,.95984976,.65633275,.63729912,.61881741,.60087175,.58344645,v1.03_RF3084
KERN,STATIONARY,PETROLEUM PRODUCTION AND MARKETING,PETROLEUM REFINING,COT,ANNUAL AVERAGE,GROWN AND CONTROLLED,.31698629,.42254793,.05622343,.07011297,.19851863,.25778257,.34219557,.2959955,.19093096,.12950069,.1053618,.13027007,.03049072,.04032917,.03704094,.04094481,.06606122,.04396831,.04396831,.04396831,.04396831,.04396831,v1.03_RF3084
KERN,STATIONARY,PETROLEUM PRODUCTION AND MARKETING,PETROLEUM MARKETING,COT,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,0,0,0,0,0,.00009507,.00106816,.00106816,0,.00077594,.00082336,.00322673,.00368402,.00368124,.00360945,.00344044,.00354256,v1.03_RF3084
KERN,STATIONARY,PETROLEUM PRODUCTION AND MARKETING,OTHER (PETROLEUM PRODUCTION AND MARKETING),COT,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,.00023934,.00029918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,v1.03_RF3084
KERN,STATIONARY,INDUSTRIAL PROCESSES,CHEMICAL,COT,ANNUAL AVERAGE,GROWN AND CONTROLLED,.00520548,.00493151,.01310186,.01343455,.01356811,.01398373,.01398373,.01529637,.00610871,.00518623,.0105229,.00711745,.00595706,.00595706,.00706083,.00652467,.0056163,.01435899,.0145663,.0143924,.01373671,.01342235,v1.03_RF3084
KERN,STATIONARY,INDUSTRIAL PROCESSES,FOOD AND AGRICULTURE,COT,ANNUAL AVERAGE,GROWN AND CONTROLLED,.28219178,.00093151,0,0,0,0,0,0,.0257863,0,0,0,0,0,0,0,0,0,0,0,0,0,v1.03_RF3084
KERN,STATIONARY,INDUSTRIAL PROCESSES,MINERAL PROCESSES,COT,ANNUAL AVERAGE,GROWN AND CONTROLLED,9.91060932,7.0461985,3.99735398,10.70033926,10.84445153,9.1869165,9.18438451,9.18268753,12.56460652,6.79051444,9.95305089,7.81931734,8.65076793,8.16044368,8.20240489,11.03703499,12.30332899,12.25584418,12.32869491,11.99971722,11.35707811,12.13821825,v1.03_RF3084
KERN,STATIONARY,INDUSTRIAL PROCESSES,METAL PROCESSES,COT,ANNUAL AVERAGE,GROWN AND CONTROLLED,.00395783,.00395783,.00442762,.0051038,.00680922,.00718195,.00611985,.00365865,.00543581,.00481072,.08218627,.00527318,.00418689,.00447281,.0040766,.00359399,.00388264,.00415988,.00428241,.00450705,.00440342,.00466379,v1.03_RF3084
KERN,STATIONARY,INDUSTRIAL PROCESSES,WOOD AND PAPER,COT,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,v1.03_RF3084
KERN,STATIONARY,INDUSTRIAL PROCESSES,GLASS AND RELATED PRODUCTS,COT,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,v1.03_RF3084
KERN,STATIONARY,INDUSTRIAL PROCESSES,ELECTRONICS,COT,ANNUAL AVERAGE,GROWN AND CONTROLLED,,,,,,,,,0,0,.22087984,0,0,0,0,,,,,,,,v1.03_RF3084
