src_type,category,subcategory,year,em_type,tons_per_day,population,TpDpCap
STATIONARY,FUEL COMBUSTION,ELECTRIC UTILITIES,2000,co,0.82018247,663487.0,1.236169615983433e-06
STATIONARY,FUEL COMBUSTION,COGENERATION,2000,co,5.60621065,663487.0,8.44961642051766e-06
STATIONARY,FUEL COMBUSTION,OIL AND GAS PRODUCTION (COMBUSTION),2000,co,9.43196664,663487.0,1.4215751989112071e-05
STATIONARY,FUEL COMBUSTION,PETROLEUM REFINING (COMBUSTION),2000,co,0.46910802,663487.0,7.070342297588348e-07
STATIONARY,FUEL COMBUSTION,MANUFACTURING AND INDUSTRIAL,2000,co,0.49830719,663487.0,7.510428840354068e-07
STATIONARY,FUEL COMBUSTION,FOOD AND AGRICULTURAL PROCESSING,2000,co,1.46396085,663487.0,2.206465009864549e-06
STATIONARY,FUEL COMBUSTION,SERVICE AND COMMERCIAL,2000,co,2.32014195,663487.0,3.4968913482856486e-06
STATIONARY,FUEL COMBUSTION,OTHER (FUEL COMBUSTION),2000,co,0.07507607,663487.0,1.1315379201099644e-07
STATIONARY,WASTE DISPOSAL,SEWAGE TREATMENT,2000,co,0.0,663487.0,0.0
STATIONARY,WASTE DISPOSAL,LANDFILLS,2000,co,0.0,663487.0,0.0
STATIONARY,WASTE DISPOSAL,INCINERATORS,2000,co,0.02449314,663487.0,3.691577981181244e-08
STATIONARY,WASTE DISPOSAL,SOIL REMEDIATION,2000,co,0.04287671,663487.0,6.462328576143918e-08
STATIONARY,WASTE DISPOSAL,OTHER (WASTE DISPOSAL),2000,co,0.0,663487.0,0.0
STATIONARY,CLEANING AND SURFACE COATINGS,LAUNDERING,2000,co,0.0,663487.0,0.0
STATIONARY,CLEANING AND SURFACE COATINGS,DEGREASING,2000,co,0.0,663487.0,0.0
STATIONARY,CLEANING AND SURFACE COATINGS,COATINGS AND RELATED PROCESS SOLVENTS,2000,co,3.26e-05,663487.0,4.9134346264508576e-11
STATIONARY,CLEANING AND SURFACE COATINGS,PRINTING,2000,co,0.0,663487.0,0.0
STATIONARY,CLEANING AND SURFACE COATINGS,ADHESIVES AND SEALANTS,2000,co,0.0,663487.0,0.0
STATIONARY,CLEANING AND SURFACE COATINGS,OTHER (CLEANING AND SURFACE COATINGS),2000,co,0.0,663487.0,0.0
STATIONARY,PETROLEUM PRODUCTION AND MARKETING,OIL AND GAS PRODUCTION,2000,co,0.19580479,663487.0,2.951147347272818e-07
STATIONARY,PETROLEUM PRODUCTION AND MARKETING,PETROLEUM REFINING,2000,co,0.31698629,663487.0,4.777581022687709e-07
STATIONARY,PETROLEUM PRODUCTION AND MARKETING,PETROLEUM MARKETING,2000,co,0.0,663487.0,0.0
STATIONARY,PETROLEUM PRODUCTION AND MARKETING,OTHER (PETROLEUM PRODUCTION AND MARKETING),2000,co,0.0,663487.0,0.0
STATIONARY,INDUSTRIAL PROCESSES,CHEMICAL,2000,co,0.00520548,663487.0,7.845639778925586e-09
STATIONARY,INDUSTRIAL PROCESSES,FOOD AND AGRICULTURE,2000,co,0.28219178,663487.0,4.25316215690737e-07
STATIONARY,INDUSTRIAL PROCESSES,MINERAL PROCESSES,2000,co,9.91060932,663487.0,1.4937156749114905e-05
STATIONARY,INDUSTRIAL PROCESSES,METAL PROCESSES,2000,co,0.00395783,663487.0,5.965196002333128e-09
STATIONARY,INDUSTRIAL PROCESSES,WOOD AND PAPER,2000,co,0.0,663487.0,0.0
STATIONARY,INDUSTRIAL PROCESSES,GLASS AND RELATED PRODUCTS,2000,co,0.0,663487.0,0.0
STATIONARY,INDUSTRIAL PROCESSES,ELECTRONICS,2000,co,0.0,663487.0,0.0
