AREA,SRC_TYPE,CATEGORY,SUBCATEGORY,POLLUTANT,SEASON,CONTROL_TYPE,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,v1.03_RF3084
KERN,STATIONARY,FUEL COMBUSTION,ELECTRIC UTILITIES,NH3,ANNUAL AVERAGE,GROWN AND CONTROLLED,.28273008,.28273008,.28273008,.27210268,.27210268,.27210268,.95514442,.75801082,.64923318,.99887284,1.03017413,1.07076695,1.27452114,.92417922,1.16944251,.77399456,.49911818,.43746036,.41609117,.39485528,.4071317,.39353161,v1.03_RF3084
KERN,STATIONARY,FUEL COMBUSTION,COGENERATION,NH3,ANNUAL AVERAGE,GROWN AND CONTROLLED,.19333795,.19333795,.19333795,.12996657,.12996657,.12996657,.36175196,.24059557,.35078211,.29645181,.32630092,.33765284,.32198791,.17891669,.11958989,.12741047,1.05971441,.31254753,.30009794,.3006044,.30119522,.30170163,v1.03_RF3084
KERN,STATIONARY,FUEL COMBUSTION,OIL AND GAS PRODUCTION (COMBUSTION),NH3,ANNUAL AVERAGE,GROWN AND CONTROLLED,.00001813,.00001813,.00001813,.00001813,.00001813,.00001813,.00001813,.00001813,.00001813,.00001813,.00001813,.00001813,.00063242,.00089018,.00943587,.02128952,.02298394,.02390186,.0232087,.02253565,.02188212,.02124754,v1.03_RF3084
KERN,STATIONARY,FUEL COMBUSTION,PETROLEUM REFINING (COMBUSTION),NH3,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,0,0,0,0,0,.01854322,.00686322,.00794396,.00758362,0,0,0,0,0,0,0,0,v1.03_RF3084
KERN,STATIONARY,FUEL COMBUSTION,MANUFACTURING AND INDUSTRIAL,NH3,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,0,0,0,0,0,.00069762,.00044241,0,0,.00052986,.00081554,.00068826,.00037452,.00036988,.00036863,.00036632,.00036632,v1.03_RF3084
KERN,STATIONARY,FUEL COMBUSTION,FOOD AND AGRICULTURAL PROCESSING,NH3,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,0,0,0,0,0,.00104521,.00119829,.00119829,.00084228,.00479707,.00326077,.00433803,.00577353,.00587757,.00575958,.00560341,.00568817,v1.03_RF3084
KERN,STATIONARY,FUEL COMBUSTION,SERVICE AND COMMERCIAL,NH3,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,.0000211,.0000211,.0000211,.0000211,.00001263,.00006203,.00023038,.00023007,.00023003,.00001716,.00007127,.00004695,.00130582,.001387,.00149177,.0015715,.00163654,.00171541,v1.03_RF3084
KERN,STATIONARY,FUEL COMBUSTION,OTHER (FUEL COMBUSTION),NH3,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,v1.03_RF3084
KERN,STATIONARY,WASTE DISPOSAL,SEWAGE TREATMENT,NH3,ANNUAL AVERAGE,GROWN AND CONTROLLED,.0086974,.00886844,.00905807,.00930406,.0095603,.00981104,.0100894,.01030596,.01045092,.01055852,.01066113,.01077162,.01088384,.01099931,.01107986,.01115567,.0111997,.01130506,.01141228,.01151731,.01155879,.01165597,v1.03_RF3084
KERN,STATIONARY,WASTE DISPOSAL,LANDFILLS,NH3,ANNUAL AVERAGE,GROWN AND CONTROLLED,.08186433,.08348408,.08527915,.08760554,.09002905,.09240139,.09503459,.09708626,.09846381,.09948916,.10046882,.10150795,.10256403,.10365166,.10441417,.10512917,.10554471,.10653761,.10754803,.10853775,.10892874,.10984459,v1.03_RF3084
