AREA,SRC_TYPE,CATEGORY,SUBCATEGORY,POLLUTANT,SEASON,CONTROL_TYPE,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,v1.03_RF3084
KERN,STATIONARY,FUEL COMBUSTION,ELECTRIC UTILITIES,NOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,.65015642,.53208218,.89936781,.84197893,.99977543,4.85170685,4.40624983,4.97782003,3.52246001,3.34601764,2.63834197,2.33343819,2.40560555,2.19538547,2.52419575,2.61933762,1.79744128,1.62525205,1.55107088,1.48504824,1.52460527,1.48072485,v1.03_RF3084
KERN,STATIONARY,FUEL COMBUSTION,COGENERATION,NOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,9.09630186,7.84638388,9.51340466,8.23997332,8.48836682,3.53777282,3.6367133,2.50096681,2.88941221,2.56072681,2.32890072,1.91910356,1.44018897,1.51558135,1.31124796,1.25512038,1.20223459,1.06570427,1.0324889,1.03293098,1.03414451,1.03511826,v1.03_RF3084
KERN,STATIONARY,FUEL COMBUSTION,OIL AND GAS PRODUCTION (COMBUSTION),NOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,15.30979333,9.08624178,8.25201001,7.26956595,7.27193874,6.21246809,4.91268057,4.1376286,4.20740237,3.41189314,3.50150213,3.08352885,3.0264935,3.02954964,3.11269353,3.08502754,2.8192429,2.51454377,2.40833068,2.30910176,2.21074945,2.11893024,v1.03_RF3084
KERN,STATIONARY,FUEL COMBUSTION,PETROLEUM REFINING (COMBUSTION),NOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,1.48499019,1.33906846,.22370572,.17933078,.72447652,2.57527935,1.63565689,.70945925,.61484083,.35253279,.22514307,.21365868,.19143142,.19028856,.12096994,.13631634,.21749813,.23713965,.23247762,.22823944,.22357742,.21933922,v1.03_RF3084
KERN,STATIONARY,FUEL COMBUSTION,MANUFACTURING AND INDUSTRIAL,NOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,1.58780893,1.45343982,1.51875881,1.68463916,2.06995285,1.99279645,2.13631852,1.99754306,2.36370449,2.14401218,2.16783191,1.95079198,1.68170708,1.74867136,1.79641778,1.85869181,1.44688255,1.88697065,1.87174839,1.8682063,1.86069211,1.86081832,v1.03_RF3084
KERN,STATIONARY,FUEL COMBUSTION,FOOD AND AGRICULTURAL PROCESSING,NOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,4.3716319,4.29054272,4.3301682,4.38973679,4.57752548,4.09835404,3.91371684,3.76011184,3.61411015,3.43340813,3.29219309,2.32555155,2.31981267,2.27930809,2.11940555,1.33229855,1.08878035,.97733827,.93525068,.89597075,.85766224,.82349749,v1.03_RF3084
KERN,STATIONARY,FUEL COMBUSTION,SERVICE AND COMMERCIAL,NOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,1.77878994,1.68086321,1.55146089,1.27442337,1.24066606,1.12814154,1.22287995,1.20400784,1.10429213,1.16550678,1.31572981,1.44270191,1.39498752,1.49150917,1.18826463,1.17377864,1.13448829,1.16175211,1.18182932,1.21112765,1.21335427,1.2155982,v1.03_RF3084
KERN,STATIONARY,FUEL COMBUSTION,OTHER (FUEL COMBUSTION),NOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,.21131314,.21811897,.17699355,.15946251,.16435937,.15244735,.12439645,.11786852,.11780112,.1194305,.10953575,.10966023,.10954145,.11005277,.10950402,.08875771,.0887641,.26778825,.26823517,.26983186,.25592053,.25745565,v1.03_RF3084
KERN,STATIONARY,WASTE DISPOSAL,SEWAGE TREATMENT,NOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,.00142438,.00034316,.00034316,.00492369,.00479598,.00068137,.00086707,.00065048,.00086345,.00108661,.00119368,.00186922,.00145082,.00081603,.0009351,.00094309,.00094907,.00095605,.00096602,v1.03_RF3084
KERN,STATIONARY,WASTE DISPOSAL,LANDFILLS,NOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,.00094795,.00888758,.01490156,.01614517,.01551776,.0182092,.02165414,.02924521,.03047799,.03114794,.03441649,.03338045,.03682655,.0371432,.03737228,.03764708,.03803869,v1.03_RF3084
KERN,STATIONARY,WASTE DISPOSAL,INCINERATORS,NOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,.00717808,.00723288,.06515068,.06319871,.00143852,.00777811,.04548877,.05091286,.0140475,.01440446,.0121587,.00794504,.01289954,.02424811,.01643608,.01380482,.01079674,.01318839,.01332604,.01318865,.0130023,.01266472,v1.03_RF3084
KERN,STATIONARY,WASTE DISPOSAL,SOIL REMEDIATION,NOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,.01054795,.01054795,.01054795,.00234573,.00880837,.00932524,.01387422,.01140619,.01025807,.0005669,.00051857,.00002871,.00217325,.00756185,.00563684,.00548944,.00002,.00004441,.00004478,.00004504,.00004536,.00004582,v1.03_RF3084
KERN,STATIONARY,WASTE DISPOSAL,OTHER (WASTE DISPOSAL),NOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,.00019178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.00141471,.00113827,.00114805,.00115514,.00116363,.00117573,v1.03_RF3084
KERN,STATIONARY,CLEANING AND SURFACE COATINGS,LAUNDERING,NOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,v1.03_RF3084
KERN,STATIONARY,CLEANING AND SURFACE COATINGS,DEGREASING,NOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,v1.03_RF3084
KERN,STATIONARY,CLEANING AND SURFACE COATINGS,COATINGS AND RELATED PROCESS SOLVENTS,NOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,.00016438,.00016438,.00016438,.00016438,0,0,0,0,0,0,0,0,0,0,0,0,0,.00887671,.00905255,.00904589,.0092691,.0095191,v1.03_RF3084
KERN,STATIONARY,CLEANING AND SURFACE COATINGS,PRINTING,NOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,.00007504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,v1.03_RF3084
KERN,STATIONARY,CLEANING AND SURFACE COATINGS,ADHESIVES AND SEALANTS,NOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,v1.03_RF3084
KERN,STATIONARY,CLEANING AND SURFACE COATINGS,OTHER (CLEANING AND SURFACE COATINGS),NOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,v1.03_RF3084
KERN,STATIONARY,PETROLEUM PRODUCTION AND MARKETING,OIL AND GAS PRODUCTION,NOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,.17958558,.25261691,.11107978,.30630486,.30051619,.20824568,.33410718,.20357085,.19840343,.25021864,.29133368,.73871596,.3649886,.25819786,.17279428,.23055188,.2611138,.21968817,.21331721,.20713103,.20112421,.19529161,v1.03_RF3084
KERN,STATIONARY,PETROLEUM PRODUCTION AND MARKETING,PETROLEUM REFINING,NOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,.10742465,.26747946,.24565931,.28421648,.08069281,.05409931,.07967069,.0630449,.04196875,.02744138,.02684491,.02747683,.00971293,.00754911,.006998,.00722861,.01282391,.00936477,.00936477,.00936477,.00936477,.00936477,v1.03_RF3084
KERN,STATIONARY,PETROLEUM PRODUCTION AND MARKETING,PETROLEUM MARKETING,NOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,0,0,0,0,0,.00074019,.00051386,.00051386,0,.00252182,.00267593,.00383212,.00432255,.00426807,.00418366,.00405953,.00406584,v1.03_RF3084
KERN,STATIONARY,PETROLEUM PRODUCTION AND MARKETING,OTHER (PETROLEUM PRODUCTION AND MARKETING),NOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,.00028493,.00035616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,v1.03_RF3084
KERN,STATIONARY,INDUSTRIAL PROCESSES,CHEMICAL,NOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,.01169864,.0110137,.02203687,.01393784,.01400818,.01828463,.01828463,.02061457,.0133045,.01161581,.0114862,.00993112,.0083862,.0083862,.00971905,.00910199,.00811298,.00790227,.00801636,.00792066,.00755981,.00738681,v1.03_RF3084
KERN,STATIONARY,INDUSTRIAL PROCESSES,FOOD AND AGRICULTURE,NOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,.56482193,.00298631,0,0,0,.00316438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,v1.03_RF3084
KERN,STATIONARY,INDUSTRIAL PROCESSES,MINERAL PROCESSES,NOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,23.7636169,24.1890415,22.82875778,21.9133675,23.42778041,23.76079478,23.21507123,21.46368016,21.75490787,14.11819905,14.74017444,15.48426629,16.38288687,14.67064565,14.21400337,15.71320236,16.64883699,17.24380874,17.34450622,16.87517205,15.97389822,17.08594389,v1.03_RF3084
