AREA,SRC_TYPE,CATEGORY,SUBCATEGORY,POLLUTANT,SEASON,CONTROL_TYPE,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,v1.03_RF3084
KERN,STATIONARY,FUEL COMBUSTION,ELECTRIC UTILITIES,PM,ANNUAL AVERAGE,GROWN AND CONTROLLED,.2512089,.23331507,.29981057,.39938862,.34949901,.99230262,.9762832,1.28689076,1.06824897,.96966281,.8002777,.91728805,.90465451,.84726446,.99847287,.97972874,.83046735,.84351586,.80209456,.75967314,.78438256,.75804817,v1.03_RF3084
KERN,STATIONARY,FUEL COMBUSTION,COGENERATION,PM,ANNUAL AVERAGE,GROWN AND CONTROLLED,1.09420308,.9626849,1.18892761,1.24445438,1.37218164,.59906179,.77765448,.58679017,.65820409,.6455347,.62741607,.51071093,.41345348,.42951567,.37082325,.62255585,.36536776,.33167488,.31957287,.31995597,.32048673,.32093363,v1.03_RF3084
KERN,STATIONARY,FUEL COMBUSTION,OIL AND GAS PRODUCTION (COMBUSTION),PM,ANNUAL AVERAGE,GROWN AND CONTROLLED,1.5114518,1.02887768,.78845405,.71940303,1.20179608,1.44912439,1.48569231,1.83675673,1.85699629,1.93357407,1.77909103,1.59091939,1.48043586,1.54978303,1.97499223,2.05287721,1.91225009,1.66869861,1.6203064,1.57331736,1.52769126,1.48338821,v1.03_RF3084
KERN,STATIONARY,FUEL COMBUSTION,PETROLEUM REFINING (COMBUSTION),PM,ANNUAL AVERAGE,GROWN AND CONTROLLED,.2469718,.20054796,.04712017,.03537085,.13747249,.42398182,.41789998,.18629464,.17584073,.09757181,.06475271,.08237752,.08204889,.05564288,.03065936,.03357229,.06103675,.06075691,.06075691,.06075691,.06075691,.06075691,v1.03_RF3084
KERN,STATIONARY,FUEL COMBUSTION,MANUFACTURING AND INDUSTRIAL,PM,ANNUAL AVERAGE,GROWN AND CONTROLLED,.16854721,.22290533,.1594471,.15584266,.18803345,.21588753,.22429112,.29033071,.39219363,.29841657,.37977088,.35092164,.32520661,.38504866,.37655157,.7399127,.26918629,.36009821,.35757512,.35788385,.35699177,.35756611,v1.03_RF3084
KERN,STATIONARY,FUEL COMBUSTION,FOOD AND AGRICULTURAL PROCESSING,PM,ANNUAL AVERAGE,GROWN AND CONTROLLED,.18892883,.21261133,.22735106,.21589585,.20224851,.20109537,.19468608,.18770333,.20699872,.19708261,.19353308,.1215213,.12366879,.12367802,.11876023,.093081,.08449679,.08232018,.0810225,.07851507,.07554007,.07438275,v1.03_RF3084
KERN,STATIONARY,FUEL COMBUSTION,SERVICE AND COMMERCIAL,PM,ANNUAL AVERAGE,GROWN AND CONTROLLED,.23059746,.24325715,.20966853,.20118491,.18582627,.15181372,.1806375,.16822223,.15098987,.17334097,.16927237,.21523439,.20530653,.20672669,.22206683,.21411137,.15022894,.15237164,.155174,.16018327,.16158237,.1629593,v1.03_RF3084
KERN,STATIONARY,FUEL COMBUSTION,OTHER (FUEL COMBUSTION),PM,ANNUAL AVERAGE,GROWN AND CONTROLLED,.00736776,.0077632,.00509753,.00418356,.0043823,.00427805,.00285848,.00258923,.00779002,.00641111,.00482347,.00482778,.00482239,.00484495,.00482321,.00423159,.00159472,.05413602,.05426328,.05473084,.05448184,.05493376,v1.03_RF3084
KERN,STATIONARY,WASTE DISPOSAL,SEWAGE TREATMENT,PM,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,.00043836,.0001084,.0001084,.00163346,.00159553,.00020885,.0002841,.00021121,.00027689,.00035158,.00038762,.00060114,.00045785,.00025166,.00028003,.00028242,.00028422,.00028631,.00028929,v1.03_RF3084
KERN,STATIONARY,WASTE DISPOSAL,LANDFILLS,PM,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,.01589041,.01589041,.02020718,.02752115,.02994026,.01514215,.01264393,.01209488,.01351648,.05001804,.05042701,.067672,.06403686,.06372756,.05139038,.05183226,.05215189,.0525354,.05308186,v1.03_RF3084
KERN,STATIONARY,WASTE DISPOSAL,INCINERATORS,PM,ANNUAL AVERAGE,GROWN AND CONTROLLED,.00087672,.0010411,.00084931,.00322629,.00366492,.01071922,.00712679,.0077797,.00323142,.0028919,.00180234,.00274405,.0035211,.01037696,.01018949,.0094099,.00888995,.00595007,.00600086,.0060274,.00602878,.00602404,v1.03_RF3084
KERN,STATIONARY,WASTE DISPOSAL,SOIL REMEDIATION,PM,ANNUAL AVERAGE,GROWN AND CONTROLLED,.00994521,.05460274,.12641017,.07532055,.12240927,.10890022,.00154687,.00094254,.00087288,.00058679,.00047289,.12856843,.00027991,.00050487,.00047727,.00046439,.0003101,.00033584,.00033805,.00033835,.00033935,.00033973,v1.03_RF3084
KERN,STATIONARY,WASTE DISPOSAL,OTHER (WASTE DISPOSAL),PM,ANNUAL AVERAGE,GROWN AND CONTROLLED,.07977576,.07939348,.06433852,.0597477,.12933559,.12991876,.1305644,.02035167,.02074454,.02106645,.0337388,.03317514,.03692352,.044171,.04360678,.04348985,.04437419,.04659237,.04707369,.04733701,.04766774,.04717176,v1.03_RF3084
KERN,STATIONARY,CLEANING AND SURFACE COATINGS,LAUNDERING,PM,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,0,0,0,0,0,0,.00123381,.00305771,.00216974,.00261958,.00293432,.00996095,.00661763,.00668041,.00674187,.00676617,.00682306,v1.03_RF3084
KERN,STATIONARY,CLEANING AND SURFACE COATINGS,DEGREASING,PM,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,0,0,0,.00000108,.00000109,.00641826,.00264908,0,0,0,0,0,0,0,0,0,0,v1.03_RF3084
KERN,STATIONARY,CLEANING AND SURFACE COATINGS,COATINGS AND RELATED PROCESS SOLVENTS,PM,ANNUAL AVERAGE,GROWN AND CONTROLLED,.01447398,.02230138,.00223014,.00582466,.02529692,.01786308,.01492809,.0169635,.01508213,.02276366,.04791982,.029766,.03449975,.05680847,.05694362,.06641874,.07483086,.08237132,.08403734,.08435539,.08522045,.08640545,v1.03_RF3084
KERN,STATIONARY,CLEANING AND SURFACE COATINGS,PRINTING,PM,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,.000003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,v1.03_RF3084
KERN,STATIONARY,CLEANING AND SURFACE COATINGS,ADHESIVES AND SEALANTS,PM,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,.00362443,.00313927,.00313927,.00313927,.00313927,.00000944,.00001514,0,0,0,.00001249,.00001285,.00009847,.00017118,.00190936,.00191372,.0019692,.0020413,.00207634,v1.03_RF3084
KERN,STATIONARY,CLEANING AND SURFACE COATINGS,OTHER (CLEANING AND SURFACE COATINGS),PM,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.00001535,.00001535,.0000156,.00001539,.00001609,.00001642,v1.03_RF3084
