AREA,SRC_TYPE,CATEGORY,SUBCATEGORY,POLLUTANT,SEASON,CONTROL_TYPE,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,v1.03_RF3084
KERN,STATIONARY,FUEL COMBUSTION,ELECTRIC UTILITIES,PM10,ANNUAL AVERAGE,GROWN AND CONTROLLED,.09081163,.19838836,.24228893,.34447311,.28946764,.87525081,.88988076,1.11007452,.93716528,.82986253,.65883426,.820135,.82299098,.82837342,.91438181,.9103075,.76469912,.83834649,.79717328,.75501264,.77956474,.75338173,v1.03_RF3084
KERN,STATIONARY,FUEL COMBUSTION,COGENERATION,PM10,ANNUAL AVERAGE,GROWN AND CONTROLLED,.65469491,.75835425,.98647313,1.01642347,1.15766643,.56130724,.75640404,.58336116,.63158842,.63138252,.5915151,.47367385,.40207942,.41945118,.36859816,.61882035,.36317555,.32968482,.31765542,.31803623,.3185638,.31900803,v1.03_RF3084
KERN,STATIONARY,FUEL COMBUSTION,OIL AND GAS PRODUCTION (COMBUSTION),PM10,ANNUAL AVERAGE,GROWN AND CONTROLLED,1.47069463,.99855293,.79007762,.71760681,1.1973413,1.40243452,1.4847472,1.8355236,1.85604894,1.93285574,1.77852088,1.59037877,1.47997211,1.54910229,1.97456575,2.05251451,1.91180583,1.66835204,1.61996986,1.5729906,1.52737395,1.48308012,v1.03_RF3084
KERN,STATIONARY,FUEL COMBUSTION,PETROLEUM REFINING (COMBUSTION),PM10,ANNUAL AVERAGE,GROWN AND CONTROLLED,.20474229,.15873425,.0455556,.03362022,.13059189,.40365751,.39788166,.17676703,.16836566,.09526208,.06331317,.0795326,.07906127,.05422656,.02956069,.03244045,.05891782,.0598638,.0598638,.0598638,.0598638,.0598638,v1.03_RF3084
KERN,STATIONARY,FUEL COMBUSTION,MANUFACTURING AND INDUSTRIAL,PM10,ANNUAL AVERAGE,GROWN AND CONTROLLED,.15877241,.22071661,.15783204,.15410263,.18734912,.1884397,.19679498,.28634349,.36564174,.28408449,.32428843,.31969133,.29887619,.34236108,.33386216,.72062261,.26777668,.34003472,.33750237,.33778456,.3368788,.33743911,v1.03_RF3084
KERN,STATIONARY,FUEL COMBUSTION,FOOD AND AGRICULTURAL PROCESSING,PM10,ANNUAL AVERAGE,GROWN AND CONTROLLED,.16083593,.17635444,.20119668,.1895631,.17688308,.17660654,.17114373,.1658707,.18615925,.17711607,.17430292,.10925594,.11171607,.11197484,.10740716,.08455216,.07818619,.07650713,.07550342,.07322821,.0705129,.06959939,v1.03_RF3084
KERN,STATIONARY,FUEL COMBUSTION,SERVICE AND COMMERCIAL,PM10,ANNUAL AVERAGE,GROWN AND CONTROLLED,.21464466,.21812281,.20695837,.19837422,.17516694,.15028826,.17237341,.16455789,.14682237,.16753088,.16422261,.21061691,.2008754,.2026023,.21989421,.21195667,.14871012,.14921533,.15183232,.15684773,.15828899,.15970664,v1.03_RF3084
KERN,STATIONARY,FUEL COMBUSTION,OTHER (FUEL COMBUSTION),PM10,ANNUAL AVERAGE,GROWN AND CONTROLLED,.01057495,.01114916,.00732268,.00557002,.00619667,.00553379,.00408329,.00369911,.00870883,.0073205,.00570728,.00571148,.00570622,.00572824,.00570704,.004857,.00228368,.03692706,.03701111,.03731948,.03669428,.03699225,v1.03_RF3084
KERN,STATIONARY,WASTE DISPOSAL,SEWAGE TREATMENT,PM10,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,.00042959,.0001084,.0001084,.00163346,.00159553,.00020885,.0002841,.00021121,.00027689,.00035158,.00038762,.00060114,.00045785,.00025166,.00028003,.00028242,.00028422,.00028631,.00028929,v1.03_RF3084
KERN,STATIONARY,WASTE DISPOSAL,LANDFILLS,PM10,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,.01112329,.01112329,.01426589,.01760409,.01801279,.00820248,.00876699,.0086903,.00772699,.0140581,.01446644,.01479485,.01546527,.01548996,.0133009,.01341527,.01349799,.01359727,.01373867,v1.03_RF3084
