AREA,SRC_TYPE,CATEGORY,SUBCATEGORY,POLLUTANT,SEASON,CONTROL_TYPE,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,v1.03_RF3084
KERN,STATIONARY,FUEL COMBUSTION,ELECTRIC UTILITIES,PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,.23759262,.21931548,.22694044,.38107939,.27418058,.81638173,.84379996,1.02930966,.87021759,.76187673,.59007701,.76905235,.77890957,.80998667,.86975374,.87571339,.73765961,.8323941,.79141288,.74928997,.77379574,.74767303,v1.03_RF3084
KERN,STATIONARY,FUEL COMBUSTION,COGENERATION,PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,.98689464,.85426577,.95330319,1.10930854,1.12199627,.545713,.74778906,.58209567,.62080859,.62579988,.57684304,.45846851,.39753947,.41546609,.36785645,.61757518,.3624448,.32902146,.31701627,.31739632,.31792282,.31836615,v1.03_RF3084
KERN,STATIONARY,FUEL COMBUSTION,OIL AND GAS PRODUCTION (COMBUSTION),PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,1.50839795,1.02713865,.78975243,.71722379,1.19688071,1.38328163,1.48435398,1.83500642,1.85565123,1.93254218,1.77826899,1.59015593,1.47977777,1.54881114,1.97438727,2.05237381,1.91163396,1.66800732,1.61963516,1.57266558,1.52705839,1.48277369,v1.03_RF3084
KERN,STATIONARY,FUEL COMBUSTION,PETROLEUM REFINING (COMBUSTION),PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,.21798887,.18884876,.04492977,.03305811,.12782664,.39551075,.38976975,.17205223,.1653815,.09435761,.06274932,.07840194,.07787383,.05366707,.02912122,.03198771,.05807127,.05950705,.05950705,.05950705,.05950705,.05950705,v1.03_RF3084
KERN,STATIONARY,FUEL COMBUSTION,MANUFACTURING AND INDUSTRIAL,PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,.14256437,.20313577,.15730332,.15374831,.18580108,.21007879,.21846711,.28510188,.35466138,.2784983,.30146312,.30709728,.28827289,.32496135,.31647631,.71300007,.26753416,.3302974,.32775815,.32802946,.32711685,.32767189,v1.03_RF3084
KERN,STATIONARY,FUEL COMBUSTION,FOOD AND AGRICULTURAL PROCESSING,PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,.15946109,.18308924,.1974182,.18590991,.17323569,.17305978,.16772338,.16268878,.18312645,.17419349,.17145332,.10743569,.10989803,.11019027,.10569945,.08326105,.07715462,.07557668,.07461086,.07237198,.06969771,.06881901,v1.03_RF3084
KERN,STATIONARY,FUEL COMBUSTION,SERVICE AND COMMERCIAL,PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,.15829376,.17068592,.20560695,.19697514,.16542532,.14828258,.16405864,.16037084,.14319877,.16197134,.15938331,.2066561,.1975065,.1995713,.21378324,.20585208,.14647378,.14829881,.15106039,.15603438,.15742919,.15880204,v1.03_RF3084
KERN,STATIONARY,FUEL COMBUSTION,OTHER (FUEL COMBUSTION),PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,.00682968,.00721296,.0047356,.00365527,.00408486,.00402543,.00265806,.00240707,.0074417,.0061118,.00458181,.00458598,.00458077,.00460257,.00458159,.00403196,.00148248,.02880702,.0288734,.02911667,.02874374,.02897874,v1.03_RF3084
KERN,STATIONARY,WASTE DISPOSAL,SEWAGE TREATMENT,PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,.00043836,.0001084,.0001084,.00163346,.00159553,.00020885,.0002841,.00021121,.00027689,.00035158,.00038762,.00060114,.00045785,.00025166,.00028003,.00028242,.00028422,.00028631,.00028929,v1.03_RF3084
KERN,STATIONARY,WASTE DISPOSAL,LANDFILLS,PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,.00667397,.00667397,.00872069,.01176439,.01202417,.00647623,.00682855,.0071669,.00699973,.01139439,.0118027,.01087803,.01186737,.01191681,.00972278,.00980638,.00986685,.00993941,.01004279,v1.03_RF3084
