AREA,SRC_TYPE,CATEGORY,SUBCATEGORY,POLLUTANT,SEASON,CONTROL_TYPE,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,v1.03_RF3084
KERN,STATIONARY,FUEL COMBUSTION,ELECTRIC UTILITIES,ROG,ANNUAL AVERAGE,GROWN AND CONTROLLED,.1093318,.10929168,.33797665,.36365427,.08662831,.24987606,.17760127,.15443749,.13606057,.15175227,.13471939,.11864586,.115169,.13584153,.11477984,.13530835,.10189367,.12712215,.12059144,.11351724,.11754977,.11320764,v1.03_RF3084
KERN,STATIONARY,FUEL COMBUSTION,COGENERATION,ROG,ANNUAL AVERAGE,GROWN AND CONTROLLED,.25682931,.11428413,.31878641,.2629508,.35955546,.30401271,.24617182,.15063341,.15109499,.48652038,.50954163,.52592743,.43789332,.48011561,.45202126,.45373497,.42959465,.41380293,.39832198,.3988531,.39954842,.40013723,v1.03_RF3084
KERN,STATIONARY,FUEL COMBUSTION,OIL AND GAS PRODUCTION (COMBUSTION),ROG,ANNUAL AVERAGE,GROWN AND CONTROLLED,1.06236572,2.26462049,2.10477467,1.74072617,1.95799321,1.20180126,1.02705208,1.43869118,1.49898782,1.42292298,1.31286542,1.57290719,1.08618313,1.11428601,1.33951517,1.30096182,1.1493991,1.0452508,1.01493854,.9855053,.95692567,.92917487,v1.03_RF3084
KERN,STATIONARY,FUEL COMBUSTION,PETROLEUM REFINING (COMBUSTION),ROG,ANNUAL AVERAGE,GROWN AND CONTROLLED,.0441755,.04538504,.02379388,.02345457,.04771832,.57270102,.57416766,.11168239,.11560795,.11602982,.09523237,.10439406,.09705458,.09506835,.0738121,.02540167,.04563772,.03907045,.03907045,.03907045,.03907045,.03907045,v1.03_RF3084
KERN,STATIONARY,FUEL COMBUSTION,MANUFACTURING AND INDUSTRIAL,ROG,ANNUAL AVERAGE,GROWN AND CONTROLLED,.05833805,.06318835,.07928333,.09192493,.10655305,.09058142,.10001233,.09359051,.12469545,.10077029,.11556356,.12649046,.13394839,.13626796,.1023253,.15617353,.07777609,.08749078,.08676277,.08661192,.08626156,.08628418,v1.03_RF3084
KERN,STATIONARY,FUEL COMBUSTION,FOOD AND AGRICULTURAL PROCESSING,ROG,ANNUAL AVERAGE,GROWN AND CONTROLLED,.33136999,.33200839,.34801224,.3574119,.36057097,.32352983,.30524763,.29457229,.29106727,.27223591,.26019205,.16512249,.16295352,.15983981,.15281671,.1154389,.09588978,.09181619,.08972876,.08650143,.08314809,.08066905,v1.03_RF3084
KERN,STATIONARY,FUEL COMBUSTION,SERVICE AND COMMERCIAL,ROG,ANNUAL AVERAGE,GROWN AND CONTROLLED,.24228187,.24403161,.14343002,.1856901,.25339314,.1683426,.17599913,.18160976,.17519071,.18271922,.18086639,.18659077,.19134388,.19296032,.13510674,.12978625,.21529895,.33864487,.3436326,.3547836,.35793579,.3609719,v1.03_RF3084
KERN,STATIONARY,FUEL COMBUSTION,OTHER (FUEL COMBUSTION),ROG,ANNUAL AVERAGE,GROWN AND CONTROLLED,.02727899,.02790974,.02178721,.01578727,.01510391,.01097607,.00910517,.00850814,.01232995,.01142562,.00953643,.00954041,.00953621,.00955187,.00954686,.00747514,.00575474,.01267367,.0126911,.01275398,.01161664,.01167719,v1.03_RF3084
KERN,STATIONARY,WASTE DISPOSAL,SEWAGE TREATMENT,ROG,ANNUAL AVERAGE,GROWN AND CONTROLLED,.00544384,.00057535,.00087898,.00298304,.00075692,.00075692,.01143139,.01116845,.0014728,.00199379,.00146353,.00211972,.00278481,.00308641,.0041663,.00296047,.0015159,.00722242,.00728458,.00732945,.00738333,.00746002,v1.03_RF3084
KERN,STATIONARY,WASTE DISPOSAL,LANDFILLS,ROG,ANNUAL AVERAGE,GROWN AND CONTROLLED,.3059393,.31312155,.32103697,.33099473,.34476563,.35537566,.36735499,.37684328,.38331623,.38946181,.39391111,.5091805,.51307946,.51739506,.52123042,.52373957,.41894736,.42608552,.43011568,.43403303,.43564697,.43933643,v1.03_RF3084
