AREA,SRC_TYPE,CATEGORY,SUBCATEGORY,POLLUTANT,SEASON,CONTROL_TYPE,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,v1.03_RF3084
KERN,STATIONARY,FUEL COMBUSTION,ELECTRIC UTILITIES,SOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,.16767181,.17024658,.20194372,.22294071,.08699608,.55223125,.73993645,.80884072,.72262331,.48054294,.38562708,.30566368,.29158461,.27954715,.35811612,.26455156,.12386534,.12102881,.11493629,.10858406,.11221622,.10822886,v1.03_RF3084
KERN,STATIONARY,FUEL COMBUSTION,COGENERATION,SOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,.41161442,.35778082,.42379496,.55488155,.51456782,.11901078,.12881953,.0280637,.10283653,.09501032,.14033268,.12926128,.06637489,.06246096,.02489271,.02556157,.03009483,.02533502,.024422,.02444967,.02448921,.02452243,v1.03_RF3084
KERN,STATIONARY,FUEL COMBUSTION,OIL AND GAS PRODUCTION (COMBUSTION),SOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,6.87550465,2.48425618,1.63215859,1.38639838,1.34761095,.92610673,1.77855914,1.84238427,1.81030892,2.2307825,2.71390165,1.78384997,.70704219,.79461529,.74775693,.72461306,.67418381,.6537345,.63477623,.61636772,.59849308,.58113675,v1.03_RF3084
KERN,STATIONARY,FUEL COMBUSTION,PETROLEUM REFINING (COMBUSTION),SOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,1.81849258,.57599997,.05554826,.0366102,.03286985,.18382973,.29816425,.29655142,.07802097,.02408913,.01318623,.02059759,.02069762,.02420025,.04104623,.0105555,.01149192,.020751,.020751,.020751,.020751,.020751,v1.03_RF3084
KERN,STATIONARY,FUEL COMBUSTION,MANUFACTURING AND INDUSTRIAL,SOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,.29359479,.39716063,.37257751,.4653339,.32328389,.29762435,.31135662,.22439744,.24782058,.22102438,.29068802,.14292286,.13829243,.13779853,.14403752,.14894586,.12009879,.15874382,.16014843,.163304,.16503984,.16664511,v1.03_RF3084
KERN,STATIONARY,FUEL COMBUSTION,FOOD AND AGRICULTURAL PROCESSING,SOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,.0268969,.02542156,.03155747,.026415,.03744886,.02847208,.03124022,.02801187,.03615874,.03288085,.03394893,.02231387,.02409679,.02487951,.02463042,.01688093,.01652248,.01526547,.01516651,.01484746,.0143509,.01431252,v1.03_RF3084
KERN,STATIONARY,FUEL COMBUSTION,SERVICE AND COMMERCIAL,SOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,.23547246,.23037424,.21170686,.12733966,.14434659,.13378822,.13910179,.13689028,.12776939,.12456323,.11576475,.12034693,.13058132,.11966863,.11943726,.11431312,.1134752,.11915929,.11979529,.1210997,.12148753,.12186962,v1.03_RF3084
KERN,STATIONARY,FUEL COMBUSTION,OTHER (FUEL COMBUSTION),SOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,.00014788,.00013699,.00001947,.00065747,.00012065,.00236744,.00006612,.00006372,.00038112,.00026171,.00154565,.00154491,.00153931,.00152742,.00152703,.00152704,.00000457,.00281555,.00282236,.00284742,.00286596,.00289016,v1.03_RF3084
KERN,STATIONARY,WASTE DISPOSAL,SEWAGE TREATMENT,SOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,.00018365,.0000664,.0000664,.00131711,.00129792,.00012235,.0002124,.00015324,.00007384,.00008435,.00008886,.00015513,.00092393,.00099473,.00034171,.00034483,.0003476,.00034937,.0003526,v1.03_RF3084
KERN,STATIONARY,WASTE DISPOSAL,LANDFILLS,SOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,.00112329,.00112329,0,.00101904,.00128868,.00325592,.00918113,.00955115,.01247028,.01436551,.01559748,.01561052,.01892396,.0208219,.02016678,.02390028,.02410577,.02425447,.02443281,.02468699,v1.03_RF3084
