AREA,SRC_TYPE,CATEGORY,SUBCATEGORY,POLLUTANT,SEASON,CONTROL_TYPE,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,v1.03_RF3084
KERN,STATIONARY,FUEL COMBUSTION,ELECTRIC UTILITIES,TOG,ANNUAL AVERAGE,GROWN AND CONTROLLED,.2932056,.27865753,1.35004702,1.42311151,.8801216,2.77023252,1.93012029,1.68416809,1.44076767,1.61947421,1.45603878,1.2995277,1.23606621,1.21756232,1.19306591,1.42541926,1.09297819,1.35512275,1.28512804,1.20928846,1.25229162,1.2054341,v1.03_RF3084
KERN,STATIONARY,FUEL COMBUSTION,COGENERATION,TOG,ANNUAL AVERAGE,GROWN AND CONTROLLED,.92395355,.88578066,1.2884468,1.77441912,1.44569545,3.29877707,2.71274523,1.64790785,1.66912669,5.35116086,5.62966225,5.7982788,4.80580364,5.17253543,4.85501899,4.87340991,4.6143175,4.44469661,4.27841437,4.28411911,4.29158761,4.29791196,v1.03_RF3084
KERN,STATIONARY,FUEL COMBUSTION,OIL AND GAS PRODUCTION (COMBUSTION),TOG,ANNUAL AVERAGE,GROWN AND CONTROLLED,10.47673635,24.87681939,18.10103219,18.50511693,19.98622891,8.6350859,6.12853138,9.52897444,10.1087605,10.35209782,9.07293087,11.51371345,5.99657298,5.0580371,5.0154408,4.22173441,3.67950946,3.55829739,3.45510681,3.35490862,3.25761638,3.16314553,v1.03_RF3084
KERN,STATIONARY,FUEL COMBUSTION,PETROLEUM REFINING (COMBUSTION),TOG,ANNUAL AVERAGE,GROWN AND CONTROLLED,.18878939,.08208221,.05633797,.11701371,.1054653,1.82169195,1.71133606,.53971861,.55015518,.82141273,.87405839,.86229189,.80626,.78394846,.16608656,.05615798,.17026378,.09742543,.09742543,.09742543,.09742543,.09742543,v1.03_RF3084
KERN,STATIONARY,FUEL COMBUSTION,MANUFACTURING AND INDUSTRIAL,TOG,ANNUAL AVERAGE,GROWN AND CONTROLLED,.15707217,.15136754,.2560481,.30726853,.39303837,.27749284,.30664505,.32477662,.37664373,.33905513,.34821969,.36606734,.37891374,.37987442,.29667313,.40844384,.26569594,.27392606,.27108593,.27036265,.26895572,.26897809,v1.03_RF3084
KERN,STATIONARY,FUEL COMBUSTION,FOOD AND AGRICULTURAL PROCESSING,TOG,ANNUAL AVERAGE,GROWN AND CONTROLLED,.55029532,.55700613,.69080858,.79064997,.93311352,.62407273,.5198495,.5735547,.57192781,.53709149,.51983476,.37726113,.38296156,.37407885,.32225626,.26208087,.26359416,.26159149,.26012164,.25254039,.24402905,.24154142,v1.03_RF3084
KERN,STATIONARY,FUEL COMBUSTION,SERVICE AND COMMERCIAL,TOG,ANNUAL AVERAGE,GROWN AND CONTROLLED,.52592491,.45297721,.30766702,1.1672273,2.1044451,.98826208,1.0323544,1.09109198,.86161246,.75287715,.59053559,.62872639,.61645085,.6245414,.38996679,.31432589,1.30947393,2.48065899,2.51624219,2.60640887,2.63220782,2.65685878,v1.03_RF3084
KERN,STATIONARY,FUEL COMBUSTION,OTHER (FUEL COMBUSTION),TOG,ANNUAL AVERAGE,GROWN AND CONTROLLED,.02677056,.02738768,.02138771,.01624448,.01499945,.01103274,.00897589,.00836167,.01379232,.01250153,.01019622,.01020066,.01019596,.01021395,.01020762,.00817187,.00566276,.01878189,.01881437,.01893251,.01785791,.01797188,v1.03_RF3084
KERN,STATIONARY,WASTE DISPOSAL,SEWAGE TREATMENT,TOG,ANNUAL AVERAGE,GROWN AND CONTROLLED,.00800001,.00117808,.00183836,.00624932,.00158301,.00158301,.02391454,.02336446,.00307298,.00416308,.00306177,.00424728,.00550111,.00577293,.0083326,.00584339,.00294247,.01119976,.01129612,.01136571,.01144928,.01156825,v1.03_RF3084
KERN,STATIONARY,WASTE DISPOSAL,LANDFILLS,TOG,ANNUAL AVERAGE,GROWN AND CONTROLLED,46.35443926,47.4426589,48.64196566,50.15071753,51.98583374,53.79522234,55.5159204,56.91054199,57.94953338,58.95768184,59.57890394,76.96938272,77.45850046,78.09717558,78.54686726,78.96629928,63.09469105,64.15133732,64.7584672,65.34947325,65.5909736,66.1456518,v1.03_RF3084
