src_type,category,subcategory,year,co,nh3,nox,pm,pm10,pm2_5,rog,sox,tog
STATIONARY,FUEL COMBUSTION,ELECTRIC UTILITIES,2000,4.39752883,0.35906431,12.17242548,0.69828244,0.6945969,0.69298342,1.04475743,0.2382909,6.72634814
STATIONARY,FUEL COMBUSTION,COGENERATION,2000,0.61643034,0.24944813,1.6461782,0.56334101,0.55995699,0.55885206,0.48334433,0.31195154,5.28773442
STATIONARY,FUEL COMBUSTION,OIL AND GAS PRODUCTION (COMBUSTION),2000,0.62165273,0.01849315,1.94254493,0.05175904,0.0509129,0.05058538,0.2507506,0.01094987,2.1616272
STATIONARY,FUEL COMBUSTION,PETROLEUM REFINING (COMBUSTION),2000,4.6639962,0.85086787,14.87316723,2.61420946,2.4935092,2.44521132,1.11901448,5.25422773,2.61535037
STATIONARY,FUEL COMBUSTION,MANUFACTURING AND INDUSTRIAL,2000,47.46471541,1.38816435,17.56052711,1.20169714,1.47126057,1.46259628,1.25674945,11.34070986,8.11034691
STATIONARY,FUEL COMBUSTION,FOOD AND AGRICULTURAL PROCESSING,2000,0.29591914,0.06970137,0.50055846,0.06627055,0.06499053,0.0644987,0.06492659,0.03213661,0.21825253
STATIONARY,FUEL COMBUSTION,SERVICE AND COMMERCIAL,2000,16.01308436,1.93013371,17.08293577,0.91203876,0.90386906,0.90043813,2.1212179,0.63718478,11.6103013
STATIONARY,FUEL COMBUSTION,OTHER (FUEL COMBUSTION),2000,1.57905635,0.0,3.95230588,0.3056034,0.28417345,0.25263025,0.44304481,0.0726292,0.55734202
STATIONARY,WASTE DISPOSAL,SEWAGE TREATMENT,2000,0.0,0.05592935,0.0,0.0,0.0,0.0,0.09328607,0.0,0.13083057
STATIONARY,WASTE DISPOSAL,LANDFILLS,2000,0.16561644,2.74300506,0.30043014,0.17602727,0.14802313,0.12522618,3.2138085,0.10307398,223.71479124
STATIONARY,WASTE DISPOSAL,INCINERATORS,2000,0.6759418,0.0,1.322989,0.13192572,0.06644197,0.05710487,0.15963997,0.07988862,0.96728608
STATIONARY,WASTE DISPOSAL,SOIL REMEDIATION,2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
STATIONARY,WASTE DISPOSAL,OTHER (WASTE DISPOSAL),2000,0.0,0.33349772,0.00205206,0.15939725,0.11205776,0.06789557,2.35729891,3.288e-05,27.55098592
STATIONARY,CLEANING AND SURFACE COATINGS,LAUNDERING,2000,0.0,0.0,0.0,0.0,0.0,0.0,0.25278684,0.0,2.34711756
STATIONARY,CLEANING AND SURFACE COATINGS,DEGREASING,2000,0.0,0.00040277,0.0,0.0,0.0,0.0,24.88367201,0.0,60.84009195
STATIONARY,CLEANING AND SURFACE COATINGS,COATINGS AND RELATED PROCESS SOLVENTS,2000,0.0,0.1214799,0.0,0.60300225,0.57892681,0.55781888,30.29141352,0.0,32.33671076
STATIONARY,CLEANING AND SURFACE COATINGS,PRINTING,2000,0.0,0.07254234,0.0,0.0,0.0,0.0,4.10589832,0.0,4.10451488
STATIONARY,CLEANING AND SURFACE COATINGS,ADHESIVES AND SEALANTS,2000,0.0,0.00049295,0.0,0.0,0.0,0.0,9.01390459,0.0,10.22339347
