AREA,SRC_TYPE,CATEGORY,SUBCATEGORY,POLLUTANT,SEASON,CONTROL_TYPE,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,v1.03_RF3084
LOS ANGELES,STATIONARY,FUEL COMBUSTION,ELECTRIC UTILITIES,COT,ANNUAL AVERAGE,GROWN AND CONTROLLED,4.39752883,7.80476583,13.86682092,13.87768153,5.36442934,6.21460576,7.42271148,7.42271148,6.77526317,7.31585888,5.19816189,5.34374112,5.58850706,4.99870042,3.7608469,4.9114152,2.71013211,2.68098299,2.69718372,2.55325081,2.89592356,2.86509449,v1.03_RF3084
LOS ANGELES,STATIONARY,FUEL COMBUSTION,COGENERATION,COT,ANNUAL AVERAGE,GROWN AND CONTROLLED,.61643034,.53231797,.34446866,.34446866,.39470154,.347844,.36374263,.36374263,.27943582,.30080911,.23819481,.43747673,.40565784,.27434419,.26277859,.27397185,.05351175,.06731359,.0681842,.07268633,.07177308,.0715334,v1.03_RF3084
LOS ANGELES,STATIONARY,FUEL COMBUSTION,OIL AND GAS PRODUCTION (COMBUSTION),COT,ANNUAL AVERAGE,GROWN AND CONTROLLED,.62165273,.44340642,.42670265,.42722476,.56247638,.72847505,.63926445,.63991713,.47797135,.47962962,.50880223,.51425766,.48430316,.46807485,.32630482,.49731143,.31670331,.31425226,.32521602,.33732185,.34942766,.36153354,v1.03_RF3084
LOS ANGELES,STATIONARY,FUEL COMBUSTION,PETROLEUM REFINING (COMBUSTION),COT,ANNUAL AVERAGE,GROWN AND CONTROLLED,4.6639962,8.63334181,13.62704241,13.62704146,6.16540674,5.84103028,5.56265965,5.56265965,5.09360406,5.50106709,3.2318402,4.99465348,4.95740269,4.72816666,5.22946881,3.87869241,2.55711657,3.7441805,3.7441805,3.7441805,3.74417974,3.74417974,v1.03_RF3084
LOS ANGELES,STATIONARY,FUEL COMBUSTION,MANUFACTURING AND INDUSTRIAL,COT,ANNUAL AVERAGE,GROWN AND CONTROLLED,47.46471541,45.87190215,44.52775784,43.81996663,43.78198739,42.97718048,44.28572019,43.56292563,43.22172475,37.95630048,35.23271093,33.20584436,25.52885881,26.16178741,26.01555921,26.35202118,26.63151511,26.5113504,26.27732329,26.01915761,25.60274206,25.09497052,v1.03_RF3084
LOS ANGELES,STATIONARY,FUEL COMBUSTION,FOOD AND AGRICULTURAL PROCESSING,COT,ANNUAL AVERAGE,GROWN AND CONTROLLED,.29591914,.54439424,.53530693,.53530692,.54231429,.53724199,.60378312,.60216634,.56029831,.51149034,.37363352,.36590079,.41401682,.43179759,.37372801,.3780215,.40475643,.34897385,.34871852,.34867632,.34866229,.34829818,v1.03_RF3084
LOS ANGELES,STATIONARY,FUEL COMBUSTION,SERVICE AND COMMERCIAL,COT,ANNUAL AVERAGE,GROWN AND CONTROLLED,16.01308436,15.42523612,13.03563664,13.05382647,12.8894065,12.77945618,13.46810499,13.491108,13.46956193,13.71206032,13.64775424,13.16424601,12.92266559,12.87287628,12.20476585,12.46850478,13.26218493,12.21245361,12.12672498,12.41278251,11.79281488,11.67286276,v1.03_RF3084
LOS ANGELES,STATIONARY,FUEL COMBUSTION,OTHER (FUEL COMBUSTION),COT,ANNUAL AVERAGE,GROWN AND CONTROLLED,1.57905635,2.09125556,2.00047195,1.20506179,1.39672402,1.32624287,1.08255737,1.04100878,1.53798236,1.4869223,1.83093578,1.29085992,1.34595709,1.26510574,1.06035993,.92118077,.98852248,.97233839,.97465937,.97989135,.89917811,.90071081,v1.03_RF3084
LOS ANGELES,STATIONARY,WASTE DISPOSAL,SEWAGE TREATMENT,COT,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,.00021644,0,0,.00029019,.00049315,.00040723,.00060277,.00416271,.00425633,0,0,0,0,0,0,0,0,v1.03_RF3084
LOS ANGELES,STATIONARY,WASTE DISPOSAL,LANDFILLS,COT,ANNUAL AVERAGE,GROWN AND CONTROLLED,.16561644,.12712329,.17752384,.16996489,.25221844,.29864662,.37555345,.37555345,.35496091,.39908462,.36687395,.34185355,.24387008,.28148229,.21392694,.30857911,.2213659,.25947636,.26444526,.26938858,.27540019,.28054716,v1.03_RF3084
