src_type,category,subcategory,year,em_type,tons_per_day,population,TpDpCap
STATIONARY,FUEL COMBUSTION,ELECTRIC UTILITIES,2000,co,4.39752883,9542100.0,4.608554542501126e-07
STATIONARY,FUEL COMBUSTION,COGENERATION,2000,co,0.61643034,9542100.0,6.460111925047945e-08
STATIONARY,FUEL COMBUSTION,OIL AND GAS PRODUCTION (COMBUSTION),2000,co,0.62165273,9542100.0,6.514841911109714e-08
STATIONARY,FUEL COMBUSTION,PETROLEUM REFINING (COMBUSTION),2000,co,4.6639962,9542100.0,4.887808972867607e-07
STATIONARY,FUEL COMBUSTION,MANUFACTURING AND INDUSTRIAL,2000,co,47.46471541,9542100.0,4.974242086123599e-06
STATIONARY,FUEL COMBUSTION,FOOD AND AGRICULTURAL PROCESSING,2000,co,0.29591914,9542100.0,3.101195124762893e-08
STATIONARY,FUEL COMBUSTION,SERVICE AND COMMERCIAL,2000,co,16.01308436,9542100.0,1.6781509688642962e-06
STATIONARY,FUEL COMBUSTION,OTHER (FUEL COMBUSTION),2000,co,1.57905635,9542100.0,1.6548310644407416e-07
STATIONARY,WASTE DISPOSAL,SEWAGE TREATMENT,2000,co,0.0,9542100.0,0.0
STATIONARY,WASTE DISPOSAL,LANDFILLS,2000,co,0.16561644,9542100.0,1.735639324676958e-08
STATIONARY,WASTE DISPOSAL,INCINERATORS,2000,co,0.6759418,9542100.0,7.083784491883338e-08
STATIONARY,WASTE DISPOSAL,SOIL REMEDIATION,2000,co,0.0,9542100.0,0.0
STATIONARY,WASTE DISPOSAL,OTHER (WASTE DISPOSAL),2000,co,0.0,9542100.0,0.0
STATIONARY,CLEANING AND SURFACE COATINGS,LAUNDERING,2000,co,0.0,9542100.0,0.0
STATIONARY,CLEANING AND SURFACE COATINGS,DEGREASING,2000,co,0.0,9542100.0,0.0
STATIONARY,CLEANING AND SURFACE COATINGS,COATINGS AND RELATED PROCESS SOLVENTS,2000,co,0.0,9542100.0,0.0
STATIONARY,CLEANING AND SURFACE COATINGS,PRINTING,2000,co,0.0,9542100.0,0.0
STATIONARY,CLEANING AND SURFACE COATINGS,ADHESIVES AND SEALANTS,2000,co,0.0,9542100.0,0.0
STATIONARY,CLEANING AND SURFACE COATINGS,OTHER (CLEANING AND SURFACE COATINGS),2000,co,0.0,9542100.0,0.0
STATIONARY,PETROLEUM PRODUCTION AND MARKETING,OIL AND GAS PRODUCTION,2000,co,0.01703851,9542100.0,1.7856142777795245e-09
STATIONARY,PETROLEUM PRODUCTION AND MARKETING,PETROLEUM REFINING,2000,co,4.52475664,9542100.0,4.741887676716865e-07
