AREA,SRC_TYPE,CATEGORY,SUBCATEGORY,POLLUTANT,SEASON,CONTROL_TYPE,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,v1.03_RF3084
LOS ANGELES,STATIONARY,FUEL COMBUSTION,ELECTRIC UTILITIES,NH3,ANNUAL AVERAGE,GROWN AND CONTROLLED,.35906431,.0299563,1.64103494,1.64103485,1.36543491,1.14789951,1.38606541,1.38606541,.53088057,.50706499,.48166675,.40431543,.67950837,.68744174,.67497131,.70191916,.55074559,.51649322,.51908896,.49002121,.55698211,.55023457,v1.03_RF3084
LOS ANGELES,STATIONARY,FUEL COMBUSTION,COGENERATION,NH3,ANNUAL AVERAGE,GROWN AND CONTROLLED,.24944813,.15357737,.16757644,.16757644,.15531205,.25250956,.15722038,.15722038,.20228578,.28516217,.16789494,.20944755,.26163278,.29769017,.16213306,.15024327,.13844675,.13882076,.14033228,.15161358,.14829994,.14675845,v1.03_RF3084
LOS ANGELES,STATIONARY,FUEL COMBUSTION,OIL AND GAS PRODUCTION (COMBUSTION),NH3,ANNUAL AVERAGE,GROWN AND CONTROLLED,.01849315,.01849315,.05764532,.05764532,.05841065,.12183627,.01914463,.01914463,.16724227,.11719288,.12248171,.14840657,.14802732,.12853937,.00599923,.10869384,.10305427,.10138564,.1064975,.11214185,.11778617,.12343052,v1.03_RF3084
LOS ANGELES,STATIONARY,FUEL COMBUSTION,PETROLEUM REFINING (COMBUSTION),NH3,ANNUAL AVERAGE,GROWN AND CONTROLLED,.85086787,0,.60742504,.60742513,2.00717228,.80388512,.72826907,.72826913,.9737199,1.04337854,.17986493,.73044436,.91076675,.83499251,1.2904204,1.08333603,.99078418,1.09663883,1.09663883,1.09663883,1.09663881,1.09663881,v1.03_RF3084
LOS ANGELES,STATIONARY,FUEL COMBUSTION,MANUFACTURING AND INDUSTRIAL,NH3,ANNUAL AVERAGE,GROWN AND CONTROLLED,1.38816435,1.34751751,1.96404852,1.92296327,1.97361882,1.65375586,1.61674704,1.59147845,1.51534286,1.39052,1.33119367,1.32161439,1.18049979,1.23862144,1.2202852,1.2012149,1.26798012,1.26437263,1.25589365,1.24644791,1.22997382,1.20942896,v1.03_RF3084
LOS ANGELES,STATIONARY,FUEL COMBUSTION,FOOD AND AGRICULTURAL PROCESSING,NH3,ANNUAL AVERAGE,GROWN AND CONTROLLED,.06970137,.06970137,.06203704,.06203704,.08638418,.08855067,.06608755,.06608755,.06410661,.05551389,.05326355,.05190614,.06358837,.05802911,.04989946,.05316618,.05674042,.06025884,.06025143,.06024395,.06025821,.06021254,v1.03_RF3084
LOS ANGELES,STATIONARY,FUEL COMBUSTION,SERVICE AND COMMERCIAL,NH3,ANNUAL AVERAGE,GROWN AND CONTROLLED,1.93013371,1.93023081,2.21857285,2.22115711,2.21271209,2.2130876,2.15557991,2.1542735,2.6432165,2.61983255,2.71496847,2.56742005,2.48479064,2.42498388,2.26313297,2.28226142,2.34203708,2.25155215,2.22830979,2.27903544,2.13835114,2.10865307,v1.03_RF3084
LOS ANGELES,STATIONARY,FUEL COMBUSTION,OTHER (FUEL COMBUSTION),NH3,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,.05218116,.0521814,.09164164,.16097415,.161096,.161096,.00543814,.34484195,.00002689,.0199949,.01001931,.02370995,.05178543,.06980188,.06268812,.03782391,.03798031,.03807778,.03832277,.0384371,v1.03_RF3084
LOS ANGELES,STATIONARY,WASTE DISPOSAL,SEWAGE TREATMENT,NH3,ANNUAL AVERAGE,GROWN AND CONTROLLED,.05592935,.05636945,.0345359,.03532444,.0359553,.03623742,.0365564,.03683852,.03971895,.03732225,.08011863,.07972484,.0771268,.08530156,.08646863,.08200722,.07256693,.08249915,.08299896,.08349567,.08400181,.08449883,v1.03_RF3084
LOS ANGELES,STATIONARY,WASTE DISPOSAL,LANDFILLS,NH3,ANNUAL AVERAGE,GROWN AND CONTROLLED,2.74300506,2.74300506,2.74300506,2.74300506,2.74300506,2.74300506,2.74300506,2.74300506,2.74300506,2.74300506,2.74300506,2.74300506,2.67732706,2.69099806,2.70467709,2.71567396,2.72934915,2.74301395,2.75960222,2.77619072,2.79277875,2.80933651,v1.03_RF3084
