AREA,SRC_TYPE,CATEGORY,SUBCATEGORY,POLLUTANT,SEASON,CONTROL_TYPE,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,v1.03_RF3084
LOS ANGELES,STATIONARY,FUEL COMBUSTION,ELECTRIC UTILITIES,NOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,12.17242548,15.67824606,3.79313655,3.80196874,2.19670194,2.19094229,2.1074189,2.1074189,1.84398574,1.51821782,1.43601434,1.39105151,1.61337513,1.51761912,1.48426859,1.56764996,1.71998259,1.42506989,1.22926332,2.37900874,2.85804605,2.63887106,v1.03_RF3084
LOS ANGELES,STATIONARY,FUEL COMBUSTION,COGENERATION,NOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,1.6461782,1.2552329,.33121097,.33121097,.40528767,.31630412,.41543564,.41543564,.40199193,.32353425,.27662589,.45124772,.35303524,.30827677,.59325072,.54387902,.19720547,.05452055,.0160164,.01953393,.02024565,.01735881,v1.03_RF3084
LOS ANGELES,STATIONARY,FUEL COMBUSTION,OIL AND GAS PRODUCTION (COMBUSTION),NOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,1.94254493,.54140424,.58958825,.58958826,.39669657,.38166451,.45020419,.45020419,.44319185,.42695779,.44688885,.41862957,.42080014,.39933488,.2202558,.37727344,.24465052,.25630649,.3476366,.43458166,.3214249,.22871681,v1.03_RF3084
LOS ANGELES,STATIONARY,FUEL COMBUSTION,PETROLEUM REFINING (COMBUSTION),NOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,14.87316723,10.31145772,6.88806085,6.88806035,6.80127161,7.23450359,7.57730613,7.57730613,10.42212509,7.06135425,8.24543815,8.23995304,8.35831978,9.52119967,9.55282498,9.57574645,8.26430628,10.14863822,10.24589099,11.61053038,10.20990688,9.06801053,v1.03_RF3084
LOS ANGELES,STATIONARY,FUEL COMBUSTION,MANUFACTURING AND INDUSTRIAL,NOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,17.56052711,14.59239645,11.1293005,10.9591567,10.02455658,9.5557199,9.19736011,9.01212508,8.31892318,7.13308084,7.14089395,7.10178568,6.70266297,6.63129872,5.79414346,6.08285497,6.69060969,6.0775404,5.51311234,5.7272147,5.21639488,5.08484677,v1.03_RF3084
LOS ANGELES,STATIONARY,FUEL COMBUSTION,FOOD AND AGRICULTURAL PROCESSING,NOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,.50055846,.5839475,.48982041,.48982041,.44469452,.47905866,.47717635,.47292172,.38849286,.72294348,.31830766,.27171332,.32844344,.43834032,.45389377,.43600825,.46883139,.28509971,.20837673,.26672633,.23639633,.25945928,v1.03_RF3084
LOS ANGELES,STATIONARY,FUEL COMBUSTION,SERVICE AND COMMERCIAL,NOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,17.08293577,17.25947353,11.75193409,11.72838636,11.29239964,11.45732599,11.30617533,11.18820884,11.07654461,11.11323437,10.59385665,9.44743073,8.59381767,8.40062433,6.93629461,7.07918844,8.11692691,6.93200017,6.85969926,7.4507651,7.20163014,7.1142551,v1.03_RF3084
LOS ANGELES,STATIONARY,FUEL COMBUSTION,OTHER (FUEL COMBUSTION),NOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,3.95230588,4.2563888,4.15065923,3.15656362,3.46386983,3.69331494,3.23491242,3.11841252,3.50765799,3.25026,3.02043111,2.6518739,2.84658337,2.84135463,2.25460755,1.85922111,1.8443436,1.83600377,1.92596955,1.98247303,1.64266779,1.64024512,v1.03_RF3084
LOS ANGELES,STATIONARY,WASTE DISPOSAL,SEWAGE TREATMENT,NOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,.00279452,0,0,.00257392,.00438356,.00361214,.00535216,.00455685,0,0,0,0,.00065753,.00066084,.00062383,.00070908,.00070049,v1.03_RF3084
LOS ANGELES,STATIONARY,WASTE DISPOSAL,LANDFILLS,NOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,.30043014,.22216438,.32673614,.32752478,.34260562,.32779539,.36284196,.36284196,.27398611,.29676987,.27093584,.25455955,.28127912,.27346332,.21205843,.20888848,.22792085,.28393976,.28942819,.29487136,.30148064,.30714637,v1.03_RF3084
LOS ANGELES,STATIONARY,WASTE DISPOSAL,INCINERATORS,NOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,1.322989,1.29309586,1.23315959,1.23365251,1.16736175,1.17494029,1.21495946,1.21495946,1.01683971,1.14120777,1.39586299,1.35081979,1.38076513,1.32519464,1.48051432,1.40176458,1.31025956,1.18716436,1.20143562,1.27596222,1.20996477,1.21051179,v1.03_RF3084
LOS ANGELES,STATIONARY,WASTE DISPOSAL,SOIL REMEDIATION,NOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,,,,,.00680274,.00590411,.00247397,.00247397,.00530907,.00001151,.00000099,0,0,0,0,0,0,0,0,0,0,0,v1.03_RF3084
LOS ANGELES,STATIONARY,WASTE DISPOSAL,OTHER (WASTE DISPOSAL),NOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,.00205206,.0020548,.00193041,.0000126,0,0,0,0,0,0,.00066633,0,0,.00000381,.02624923,.01556215,.04436885,.01671307,.01749718,.01752841,.01760799,.01773033,v1.03_RF3084
LOS ANGELES,STATIONARY,CLEANING AND SURFACE COATINGS,LAUNDERING,NOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,.00618082,.00768767,.00768767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,v1.03_RF3084
LOS ANGELES,STATIONARY,CLEANING AND SURFACE COATINGS,DEGREASING,NOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,v1.03_RF3084
LOS ANGELES,STATIONARY,CLEANING AND SURFACE COATINGS,COATINGS AND RELATED PROCESS SOLVENTS,NOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,.01336657,.01346928,.00816572,.0207904,.0134822,.0134822,.00663224,.0065578,.00419606,.00425414,.01101832,.01031844,.00656742,.00577795,.00540259,.00514569,.00505977,.00504938,.00500423,.00496368,v1.03_RF3084
LOS ANGELES,STATIONARY,CLEANING AND SURFACE COATINGS,PRINTING,NOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,v1.03_RF3084
LOS ANGELES,STATIONARY,CLEANING AND SURFACE COATINGS,ADHESIVES AND SEALANTS,NOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,v1.03_RF3084
