AREA,SRC_TYPE,CATEGORY,SUBCATEGORY,POLLUTANT,SEASON,CONTROL_TYPE,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,v1.03_RF3084
LOS ANGELES,STATIONARY,FUEL COMBUSTION,ELECTRIC UTILITIES,PM,ANNUAL AVERAGE,GROWN AND CONTROLLED,.69828244,2.47328782,1.16054835,1.16153062,.82563007,.81198012,.75219928,.75219928,.60379957,.53666432,.33633892,.381546,.58249992,.47035828,.35105514,.31243795,.32747565,.28562011,.28860327,.27685925,.31031771,.30908105,v1.03_RF3084
LOS ANGELES,STATIONARY,FUEL COMBUSTION,COGENERATION,PM,ANNUAL AVERAGE,GROWN AND CONTROLLED,.56334101,.42002737,.02438366,.02438366,.02459726,.02669042,.02234795,.02234795,.03195165,.23879452,.03490548,.26312965,.13430967,.16222412,.01825757,.02027665,.00323287,.01243836,.01252781,.0126187,.01270029,.01278793,v1.03_RF3084
LOS ANGELES,STATIONARY,FUEL COMBUSTION,OIL AND GAS PRODUCTION (COMBUSTION),PM,ANNUAL AVERAGE,GROWN AND CONTROLLED,.05175904,.03400558,.02869221,.02880551,.03517947,.04025929,.04386005,.04400168,.07515598,.07024034,.07151121,.07684236,.07323211,.06466145,.04295917,.06999661,.03121937,.03059125,.03168543,.03289355,.03410167,.03530981,v1.03_RF3084
LOS ANGELES,STATIONARY,FUEL COMBUSTION,PETROLEUM REFINING (COMBUSTION),PM,ANNUAL AVERAGE,GROWN AND CONTROLLED,2.61420946,1.90419178,1.76236816,1.76236816,1.59658343,1.48319718,1.47340304,1.47340304,1.62042931,1.35152825,.8657905,1.67276459,1.56113638,1.59327097,2.24839156,2.08522839,1.72589315,1.82924908,1.82924908,1.82924908,1.82924885,1.82924885,v1.03_RF3084
LOS ANGELES,STATIONARY,FUEL COMBUSTION,MANUFACTURING AND INDUSTRIAL,PM,ANNUAL AVERAGE,GROWN AND CONTROLLED,1.20169714,.93048125,.76976908,.77425039,.95544933,.91601488,.78517131,.78418397,.72007211,.6207914,3.77050157,3.72717007,3.68234566,3.6903515,3.74924046,.60289274,.77407099,.61020968,.60833759,.60622056,.60187243,.59624376,v1.03_RF3084
LOS ANGELES,STATIONARY,FUEL COMBUSTION,FOOD AND AGRICULTURAL PROCESSING,PM,ANNUAL AVERAGE,GROWN AND CONTROLLED,.06627055,.09385416,.05582945,.05582944,.05331941,.05639428,.05817027,.05786933,.04861251,.05305001,.05208162,.05204716,.04906685,.05801293,.03472063,.03510799,.03699718,.03616163,.03618978,.03621792,.03625741,.0362611,v1.03_RF3084
LOS ANGELES,STATIONARY,FUEL COMBUSTION,SERVICE AND COMMERCIAL,PM,ANNUAL AVERAGE,GROWN AND CONTROLLED,.91203876,1.20873899,.81783344,.81907578,.69383212,.6876874,.70262897,.70132683,.85914332,.82482263,.92738294,.88971741,.82155525,.84503363,.8497155,.84685499,1.04711601,.80569966,.80326171,.8157126,.79525253,.79053578,v1.03_RF3084
LOS ANGELES,STATIONARY,FUEL COMBUSTION,OTHER (FUEL COMBUSTION),PM,ANNUAL AVERAGE,GROWN AND CONTROLLED,.3056034,.340133,.22487083,.1687487,.24130415,.25198291,.50820728,.50101989,.35335971,.33800864,.45657624,.30938917,.33991174,.31577033,.32205846,.30976874,.27613519,.25071458,.25183601,.2532639,.23890193,.23916072,v1.03_RF3084
LOS ANGELES,STATIONARY,WASTE DISPOSAL,SEWAGE TREATMENT,PM,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,.00000805,.00000805,.00002189,0,.00563014,.00563014,.00007778,.00010959,.00048299,.00050013,.00285945,.00330574,.00476513,.00674852,.00698311,.00806716,.00811575,.00815761,.00821985,.00826646,v1.03_RF3084
LOS ANGELES,STATIONARY,WASTE DISPOSAL,LANDFILLS,PM,ANNUAL AVERAGE,GROWN AND CONTROLLED,.17602727,.15242999,.44567303,.95697021,.88031437,.82002858,.81803408,.81803408,.495816,.63034459,.62435281,.60459032,.38438049,.41773146,.41106493,.12180017,.11411912,.15809769,.16055194,.16306351,.16578428,.16827025,v1.03_RF3084
