AREA,SRC_TYPE,CATEGORY,SUBCATEGORY,POLLUTANT,SEASON,CONTROL_TYPE,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,v1.03_RF3084
LOS ANGELES,STATIONARY,FUEL COMBUSTION,ELECTRIC UTILITIES,PM10,ANNUAL AVERAGE,GROWN AND CONTROLLED,.6945969,2.46781027,1.15697732,1.15790089,.82140174,.81010481,.7500646,.75006863,.60315402,.53483593,.33497538,.38031264,.58069668,.46853881,.34976411,.31122119,.32593526,.28408685,.28705294,.27536934,.30864998,.30741833,v1.03_RF3084
LOS ANGELES,STATIONARY,FUEL COMBUSTION,COGENERATION,PM10,ANNUAL AVERAGE,GROWN AND CONTROLLED,.55995699,.41751679,.02423735,.02421713,.02444968,.02653027,.02221386,.02221386,.03175994,.23736175,.03469605,.26155088,.13350381,.16125571,.01814803,.02015499,.00321347,.01236374,.01245264,.01254299,.01262409,.0127112,v1.03_RF3084
LOS ANGELES,STATIONARY,FUEL COMBUSTION,OIL AND GAS PRODUCTION (COMBUSTION),PM10,ANNUAL AVERAGE,GROWN AND CONTROLLED,.0509129,.0332495,.02784563,.02782836,.03481612,.03987361,.04346775,.0436062,.07461752,.06967747,.07095408,.07624964,.07258985,.0641177,.04250851,.06944756,.03087828,.03028081,.03136903,.03257057,.03377213,.03497369,v1.03_RF3084
LOS ANGELES,STATIONARY,FUEL COMBUSTION,PETROLEUM REFINING (COMBUSTION),PM10,ANNUAL AVERAGE,GROWN AND CONTROLLED,2.4935092,1.81704882,1.6896056,1.68973913,1.53207619,1.42440072,1.41672267,1.41679436,1.5618445,1.29792374,.8290801,1.6170527,1.50806759,1.53634021,2.18176421,2.02603588,1.67385609,1.77372522,1.77372522,1.77372522,1.773725,1.773725,v1.03_RF3084
LOS ANGELES,STATIONARY,FUEL COMBUSTION,MANUFACTURING AND INDUSTRIAL,PM10,ANNUAL AVERAGE,GROWN AND CONTROLLED,1.47126057,1.2033356,1.0348162,1.02992208,1.21176776,1.16952997,1.05063826,1.0440834,.97462926,.85373393,3.05439575,2.07091393,1.99540065,2.00985766,2.01537816,.7397809,.90041797,.72820263,.72408972,.7195287,.71132384,.70103085,v1.03_RF3084
LOS ANGELES,STATIONARY,FUEL COMBUSTION,FOOD AND AGRICULTURAL PROCESSING,PM10,ANNUAL AVERAGE,GROWN AND CONTROLLED,.06499053,.09208968,.05462856,.05462361,.05224891,.05521253,.05732246,.05706028,.04775881,.05193952,.05113788,.05137053,.04847668,.04537406,.03416127,.03459111,.03654584,.03576189,.03578764,.03581336,.03585043,.03585205,v1.03_RF3084
LOS ANGELES,STATIONARY,FUEL COMBUSTION,SERVICE AND COMMERCIAL,PM10,ANNUAL AVERAGE,GROWN AND CONTROLLED,.90386906,1.19357689,.81490177,.81540943,.69119769,.68550104,.6994639,.69853296,.85589931,.82065704,.92227739,.88671319,.81908429,.83578825,.840586,.83795991,1.02793743,.797123,.79467586,.80712883,.78665494,.78194402,v1.03_RF3084
LOS ANGELES,STATIONARY,FUEL COMBUSTION,OTHER (FUEL COMBUSTION),PM10,ANNUAL AVERAGE,GROWN AND CONTROLLED,.28417345,.3179975,.21796692,.16186391,.23404104,.24471838,.50049184,.49330164,.28744286,.27336291,.34122661,.23817504,.26538172,.24624607,.30508567,.29401901,.26128388,.23717025,.23817348,.23906576,.2247066,.22500761,v1.03_RF3084
LOS ANGELES,STATIONARY,WASTE DISPOSAL,SEWAGE TREATMENT,PM10,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,.00000153,.00000153,.00000416,0,.00106973,.00106973,.00007778,.00010959,.00018021,.00022549,.00161085,.00093991,.00090537,.00128223,.0013268,.00162153,.0016312,.00163417,.0016575,.0016652,v1.03_RF3084
LOS ANGELES,STATIONARY,WASTE DISPOSAL,LANDFILLS,PM10,ANNUAL AVERAGE,GROWN AND CONTROLLED,.14802313,.12386135,.27655555,.4161103,.33512623,.31314975,.29745403,.29745403,.20638324,.2538673,.23597201,.22131979,.16176345,.18664339,.19109806,.09294449,.08470318,.12764638,.12989103,.13219299,.13470663,.13701119,v1.03_RF3084
LOS ANGELES,STATIONARY,WASTE DISPOSAL,INCINERATORS,PM10,ANNUAL AVERAGE,GROWN AND CONTROLLED,.06644197,.12184617,.07470514,.07528238,.04610425,.06244633,.03788805,.03788805,.05710001,.06306874,.05187362,.06921448,.07098073,.05417935,.06763856,.04749362,.05113924,.05986949,.06009268,.06030299,.06050602,.06071988,v1.03_RF3084
LOS ANGELES,STATIONARY,WASTE DISPOSAL,SOIL REMEDIATION,PM10,ANNUAL AVERAGE,GROWN AND CONTROLLED,,,,,.00155496,.00145562,.00059019,.00059019,.8708117,.00000144,.00278684,.00279952,.00398026,.00536894,0,0,0,0,0,0,0,0,v1.03_RF3084
LOS ANGELES,STATIONARY,WASTE DISPOSAL,OTHER (WASTE DISPOSAL),PM10,ANNUAL AVERAGE,GROWN AND CONTROLLED,.11205776,.01600058,.02253656,.02121408,.00008488,.00195888,.00001473,.00001473,.00001496,.00014317,.00002992,.00001955,.00006395,.00011864,.03026575,.01302724,.04600793,.00332178,.00333337,.00334513,.0033536,.00336536,v1.03_RF3084
LOS ANGELES,STATIONARY,CLEANING AND SURFACE COATINGS,LAUNDERING,PM10,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,.00008649,.00011795,.00011795,0,0,0,.00008085,.00007632,.00007099,0,0,0,0,0,0,0,0,v1.03_RF3084
LOS ANGELES,STATIONARY,CLEANING AND SURFACE COATINGS,DEGREASING,PM10,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,.00002537,.00002537,0,0,0,0,0,0,0,0,0,.00113407,.00333511,.01261887,.01236387,.0125671,.01277462,.01298139,.01318526,v1.03_RF3084
LOS ANGELES,STATIONARY,CLEANING AND SURFACE COATINGS,COATINGS AND RELATED PROCESS SOLVENTS,PM10,ANNUAL AVERAGE,GROWN AND CONTROLLED,.57892681,.57995333,.84032765,.79661483,.87777869,.85861016,.83320864,.8308863,.79319661,.72910867,.7126451,.74938591,.73136205,.82866981,.69008709,.75770017,.77627026,.82451408,.82916349,.83381817,.83865655,.84270421,v1.03_RF3084
LOS ANGELES,STATIONARY,CLEANING AND SURFACE COATINGS,PRINTING,PM10,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,.18660821,.18660877,.18660877,.18660877,.18660877,.18660877,.18660877,.18660877,.18660877,.18660877,.07046575,.07046575,.07046575,.00000416,.00000373,.00000372,.00000372,.00000371,.00000371,v1.03_RF3084
LOS ANGELES,STATIONARY,CLEANING AND SURFACE COATINGS,ADHESIVES AND SEALANTS,PM10,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,.0000274,.00003109,.0000128,.00001279,.00001279,.00001843,.00001843,.00000003,0,0,0,.00020385,.00380913,.0050501,.01395221,.01409411,.01423623,.01437822,.01450639,v1.03_RF3084
