AREA,SRC_TYPE,CATEGORY,SUBCATEGORY,POLLUTANT,SEASON,CONTROL_TYPE,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,v1.03_RF3084
LOS ANGELES,STATIONARY,FUEL COMBUSTION,ELECTRIC UTILITIES,PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,.69298342,2.46504323,1.15489263,1.1558763,.8188934,.80491951,.74526415,.74527199,.59899203,.53267908,.33301273,.37828155,.57840719,.46636594,.34930363,.31078692,.32539198,.28360328,.2865638,.27489879,.3081237,.30689337,v1.03_RF3084
LOS ANGELES,STATIONARY,FUEL COMBUSTION,COGENERATION,PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,.55885206,.41665387,.0241886,.02416447,.02440048,.0264769,.02216917,.02216917,.03169604,.23688416,.03462624,.26102462,.1332352,.16093291,.01811151,.02011443,.00320701,.01233886,.01242759,.01251775,.01259869,.01268563,v1.03_RF3084
LOS ANGELES,STATIONARY,FUEL COMBUSTION,OIL AND GAS PRODUCTION (COMBUSTION),PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,.05058538,.03289252,.02751538,.02749467,.03468182,.03972878,.0433053,.04344256,.07442569,.06947918,.07075741,.07603983,.07235939,.0639237,.04234724,.06925347,.0307536,.03016843,.03125457,.03245381,.03365305,.03485231,v1.03_RF3084
LOS ANGELES,STATIONARY,FUEL COMBUSTION,PETROLEUM REFINING (COMBUSTION),PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,2.44521132,1.78225188,1.66054992,1.66055777,1.50633745,1.4009433,1.39407581,1.39421529,1.53853206,1.27653444,.8143961,1.59493116,1.48697834,1.51367764,2.15203792,1.99978306,1.65142182,1.74890495,1.74890495,1.74890495,1.74890473,1.74890473,v1.03_RF3084
LOS ANGELES,STATIONARY,FUEL COMBUSTION,MANUFACTURING AND INDUSTRIAL,PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,1.46259628,1.19877354,1.03170953,1.02673944,1.20891257,1.16399062,1.0455779,1.03897546,.96955552,.84984944,2.17490334,1.28607206,1.21067837,1.22525901,1.20533533,.71014748,.86678294,.6911749,.68705999,.68249692,.67429598,.66401041,v1.03_RF3084
LOS ANGELES,STATIONARY,FUEL COMBUSTION,FOOD AND AGRICULTURAL PROCESSING,PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,.0644987,.09143508,.05421426,.05426991,.05188814,.05477645,.05687444,.05662762,.04733421,.05156349,.05081317,.05114292,.04827883,.05685224,.03396794,.03439789,.03637823,.03561962,.03564438,.03566919,.03570528,.03570609,v1.03_RF3084
LOS ANGELES,STATIONARY,FUEL COMBUSTION,SERVICE AND COMMERCIAL,PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,.90043813,1.18737269,.81378043,.81407801,.69009267,.68208765,.69571399,.69510748,.85257209,.81867189,.91932765,.88553443,.81813859,.83485018,.8397869,.83728018,1.02250619,.79641984,.7939669,.80641385,.78593331,.78121645,v1.03_RF3084
LOS ANGELES,STATIONARY,FUEL COMBUSTION,OTHER (FUEL COMBUSTION),PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,.25263025,.28540909,.20080274,.14734308,.21441178,.22482654,.46015043,.45335514,.22159907,.20896786,.22961672,.16775677,.19196277,.17918291,.28672607,.27744272,.24553676,.22255571,.22346068,.22386261,.21047272,.21082432,v1.03_RF3084
LOS ANGELES,STATIONARY,WASTE DISPOSAL,SEWAGE TREATMENT,PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,.00000105,.00000105,.00000285,0,.00073192,.00073192,.00007778,.00010959,.00015777,.00020516,.00151836,.00076466,.00061946,.00087731,.00090781,.00114408,.00115088,.00115094,.0011714,.0011762,v1.03_RF3084
LOS ANGELES,STATIONARY,WASTE DISPOSAL,LANDFILLS,PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,.12522618,.10100962,.24330496,.26508907,.18381705,.15295273,.13624211,.13624211,.09429101,.11494818,.09561751,.08154861,.07192768,.09603526,.10398057,.07034794,.06165037,.10463627,.10671921,.10885947,.11121161,.11337743,v1.03_RF3084
LOS ANGELES,STATIONARY,WASTE DISPOSAL,INCINERATORS,PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,.05710487,.08798906,.0640476,.06435096,.03735233,.04840456,.03261777,.03261777,.04551751,.05212967,.04034818,.0567954,.05845186,.043154,.05580996,.04025198,.04183374,.04613278,.04631449,.04648332,.04665863,.04683101,v1.03_RF3084
LOS ANGELES,STATIONARY,WASTE DISPOSAL,SOIL REMEDIATION,PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,,,,,.00093298,.00087337,.00035603,.00035603,.01197595,.00000139,.00111871,.00113093,.00153274,.00287079,0,0,0,0,0,0,0,0,v1.03_RF3084
LOS ANGELES,STATIONARY,WASTE DISPOSAL,OTHER (WASTE DISPOSAL),PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,.06789557,.01021879,.02176008,.02057684,.00001309,.00187751,.00000622,.00000622,.0000036,.00012965,.00002287,.00000193,.0000064,.00004239,.02981635,.01231372,.04555505,.00325632,.00326732,.00327833,.0032861,.00329712,v1.03_RF3084
LOS ANGELES,STATIONARY,CLEANING AND SURFACE COATINGS,LAUNDERING,PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,.00006133,.00008363,.00008363,0,0,0,.00005733,.00005411,.00005033,0,0,0,0,0,0,0,0,v1.03_RF3084
LOS ANGELES,STATIONARY,CLEANING AND SURFACE COATINGS,DEGREASING,PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,.00002445,.00002445,0,0,0,0,0,0,0,0,0,.00109274,.00321354,.01215882,.01191311,.01210892,.01230887,.01250812,.01270455,v1.03_RF3084
LOS ANGELES,STATIONARY,CLEANING AND SURFACE COATINGS,COATINGS AND RELATED PROCESS SOLVENTS,PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,.55781888,.55881134,.8097294,.7025543,.84582994,.82735811,.80138983,.8005737,.76424004,.70250176,.68670713,.72204657,.70467502,.79851493,.66498012,.73009471,.74798305,.79447362,.79895377,.80343893,.80810132,.81200169,v1.03_RF3084
