AREA,SRC_TYPE,CATEGORY,SUBCATEGORY,POLLUTANT,SEASON,CONTROL_TYPE,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,v1.03_RF3084
LOS ANGELES,STATIONARY,FUEL COMBUSTION,ELECTRIC UTILITIES,ROG,ANNUAL AVERAGE,GROWN AND CONTROLLED,1.04475743,2.42889395,1.5672107,1.56340219,.36403211,.74202284,.68655431,.68655431,.73373023,.48841944,.46319481,.53597612,.73991363,.48337558,.50786602,.30092668,.24364883,.20366936,.20528914,.19580524,.22020086,.21859267,v1.03_RF3084
LOS ANGELES,STATIONARY,FUEL COMBUSTION,COGENERATION,ROG,ANNUAL AVERAGE,GROWN AND CONTROLLED,.48334433,.73946235,.05816044,.0584283,.00139029,.01680273,.01378356,.01378356,.02239995,.16465754,.01478699,.14019754,.08182814,.09826579,.012346,.0234615,.00145205,.0130685,.01313509,.01320212,.01325733,.01332308,v1.03_RF3084
LOS ANGELES,STATIONARY,FUEL COMBUSTION,OIL AND GAS PRODUCTION (COMBUSTION),ROG,ANNUAL AVERAGE,GROWN AND CONTROLLED,.2507506,.33793045,.20274629,.20361532,.02608088,.06985196,.07315895,.07344349,.07659273,.07050612,.07277495,.07399343,.07489703,.08340406,.04437269,.08206649,.06003348,.06096299,.06314334,.06555081,.06795823,.0703657,v1.03_RF3084
LOS ANGELES,STATIONARY,FUEL COMBUSTION,PETROLEUM REFINING (COMBUSTION),ROG,ANNUAL AVERAGE,GROWN AND CONTROLLED,1.11901448,1.30301066,1.30671514,1.30747717,.77604264,1.23981375,1.24962448,1.24962442,1.30139336,1.07115434,.68858178,1.14479483,1.015816,1.27625187,1.13024574,.97762866,.87308003,1.25237967,1.25237967,1.25237967,1.25237942,1.25237942,v1.03_RF3084
LOS ANGELES,STATIONARY,FUEL COMBUSTION,MANUFACTURING AND INDUSTRIAL,ROG,ANNUAL AVERAGE,GROWN AND CONTROLLED,1.25674945,1.09289458,.80805712,.81121674,.59306624,.77347505,.78928687,.78681199,.70373026,.6569843,.59314131,.57517854,.52380371,.57569858,.4831074,.50787722,.5073382,.48701401,.48610883,.48499876,.48221392,.47837533,v1.03_RF3084
LOS ANGELES,STATIONARY,FUEL COMBUSTION,FOOD AND AGRICULTURAL PROCESSING,ROG,ANNUAL AVERAGE,GROWN AND CONTROLLED,.06492659,.10116299,.04905794,.04914145,.02378519,.05099399,.05682962,.05631731,.04522935,.09139373,.08741773,.0822289,.05345654,.05603355,.03363325,.03340049,.03530274,.02916435,.02915326,.02925303,.02930531,.02927391,v1.03_RF3084
LOS ANGELES,STATIONARY,FUEL COMBUSTION,SERVICE AND COMMERCIAL,ROG,ANNUAL AVERAGE,GROWN AND CONTROLLED,2.1212179,2.28347508,1.31456781,1.31863138,.99398374,1.21128156,1.28075457,1.28961516,1.35515858,1.34319119,1.39566354,1.34850726,1.30190443,1.32884622,1.17351558,1.2040874,1.30732209,1.26004542,1.26373749,1.28169378,1.26691463,1.26888246,v1.03_RF3084
LOS ANGELES,STATIONARY,FUEL COMBUSTION,OTHER (FUEL COMBUSTION),ROG,ANNUAL AVERAGE,GROWN AND CONTROLLED,.44304481,.57189725,.36134706,.44775918,.22778122,.21883572,.19201684,.18321503,.18699616,.19748409,.16924776,.1574088,.16717327,.16423387,.63823788,.46318293,.47413327,.44848338,.44996337,.44848179,.43151627,.43200867,v1.03_RF3084
LOS ANGELES,STATIONARY,WASTE DISPOSAL,SEWAGE TREATMENT,ROG,ANNUAL AVERAGE,GROWN AND CONTROLLED,.09328607,.09965971,.15283366,.12830023,.1310184,.24133853,.25376987,.25376987,.04817667,.14051458,.16610523,.11799973,.15615912,.25873528,.13900922,.12592768,.13405488,.13015562,.13094593,.13173294,.13253006,.13331472,v1.03_RF3084
LOS ANGELES,STATIONARY,WASTE DISPOSAL,LANDFILLS,ROG,ANNUAL AVERAGE,GROWN AND CONTROLLED,3.2138085,3.18649345,3.22804405,3.21755037,3.18889586,3.22944717,3.28640883,3.28640883,3.2495964,3.23572633,3.23768763,3.2350948,3.16097656,3.17432526,3.29456655,3.27410326,3.30058993,3.34355628,3.36421882,3.38488971,3.40565211,3.42628286,v1.03_RF3084
LOS ANGELES,STATIONARY,WASTE DISPOSAL,INCINERATORS,ROG,ANNUAL AVERAGE,GROWN AND CONTROLLED,.15963997,.09447461,.0591573,.05930174,.01327254,.09457377,.06449436,.06449436,.05250492,.08739907,.09217564,.05068423,.05589169,.08867045,.06612259,.04037284,.03568679,.04442772,.04460776,.04478518,.04494069,.0451146,v1.03_RF3084
LOS ANGELES,STATIONARY,WASTE DISPOSAL,SOIL REMEDIATION,ROG,ANNUAL AVERAGE,GROWN AND CONTROLLED,,,,,.00173802,.00236712,.00337533,.00337533,.00511116,.00584937,.0040255,.00583105,.00126923,.00493789,.00025526,.00043469,.00289008,.00071233,.00071249,.00071266,.00071214,.00071227,v1.03_RF3084
LOS ANGELES,STATIONARY,WASTE DISPOSAL,OTHER (WASTE DISPOSAL),ROG,ANNUAL AVERAGE,GROWN AND CONTROLLED,2.35729891,2.32219048,2.4416005,2.44295927,2.31877395,2.388517,2.21712536,2.21848169,2.3231124,2.26549216,2.21774588,2.21902655,2.22212546,2.24100576,2.41839709,2.40069713,2.41653797,2.29120655,2.29113008,2.29228732,2.29339354,2.29452074,v1.03_RF3084
LOS ANGELES,STATIONARY,CLEANING AND SURFACE COATINGS,LAUNDERING,ROG,ANNUAL AVERAGE,GROWN AND CONTROLLED,.25278684,.38161244,.17252501,.17253,.12682138,.10009625,.10273907,.1034504,.09985603,.1005196,.10123984,.10425958,.10308435,.10478311,.10158765,.10482492,.1039663,.10808712,.1085212,.10895528,.10928084,.10971494,v1.03_RF3084
LOS ANGELES,STATIONARY,CLEANING AND SURFACE COATINGS,DEGREASING,ROG,ANNUAL AVERAGE,GROWN AND CONTROLLED,24.88367201,19.39656491,19.1282146,14.88374255,13.23742679,10.59184598,10.6788535,10.82690441,10.98236944,10.7972134,10.46815107,10.36791942,9.14900295,9.29804818,9.99090359,10.5860567,10.74202212,10.98697191,11.02577967,11.05816184,11.09355169,11.12562512,v1.03_RF3084
LOS ANGELES,STATIONARY,CLEANING AND SURFACE COATINGS,COATINGS AND RELATED PROCESS SOLVENTS,ROG,ANNUAL AVERAGE,GROWN AND CONTROLLED,30.29141352,22.62086324,18.07578118,18.30046088,16.59719959,15.70945122,14.93472802,14.68639981,12.07642036,11.19402023,10.77931403,10.56415232,10.13171757,10.2224844,9.55401633,9.83690555,9.85013518,9.94565073,10.0147932,10.08472016,10.15781371,10.22398662,v1.03_RF3084
