AREA,SRC_TYPE,CATEGORY,SUBCATEGORY,POLLUTANT,SEASON,CONTROL_TYPE,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,v1.03_RF3084
LOS ANGELES,STATIONARY,FUEL COMBUSTION,ELECTRIC UTILITIES,SOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,.2382909,.39986303,.27025739,.27033499,.26495428,.26627769,.27860372,.27860372,.23347018,.20159018,.16799692,.19601363,.22003032,.19283673,.101236,.15494035,.16555108,.07648617,.07769873,.08231062,.08868724,.08849223,v1.03_RF3084
LOS ANGELES,STATIONARY,FUEL COMBUSTION,COGENERATION,SOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,.31195154,.32161642,.00807671,.00807671,.01118082,.01128766,.01001918,.01001918,.02380609,.0580274,.04169783,.06964213,.06210729,.02990932,.00757115,.00621062,.00027187,.00062666,.00063236,.00063818,.00064362,.00064917,v1.03_RF3084
LOS ANGELES,STATIONARY,FUEL COMBUSTION,OIL AND GAS PRODUCTION (COMBUSTION),SOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,.01094987,.00494131,.00348445,.00348445,.00360666,.00456871,.00488378,.00488378,.01168343,.0101366,.01005444,.01078378,.00979767,.00893873,.00651221,.01051543,.00256653,.003063,.00321695,.00338693,.00355691,.00372689,v1.03_RF3084
LOS ANGELES,STATIONARY,FUEL COMBUSTION,PETROLEUM REFINING (COMBUSTION),SOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,5.25422773,6.00624632,3.1213667,3.12136664,2.45794679,2.55935586,2.78241053,2.78241053,5.21370077,2.73487711,3.70217342,3.32199032,2.76127171,3.10932501,3.25092321,3.44347347,2.74512863,2.66069639,3.12536572,3.50589104,3.45632574,3.64694426,v1.03_RF3084
LOS ANGELES,STATIONARY,FUEL COMBUSTION,MANUFACTURING AND INDUSTRIAL,SOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,11.34070986,11.78833852,11.40841916,11.57812928,5.89065722,1.72440866,1.74922311,1.7636243,2.5155774,1.14675324,2.82279592,2.65494123,3.0515313,2.17885665,1.87538954,1.89099445,1.89717252,2.03315479,1.77326416,1.54680698,1.4967957,1.26667221,v1.03_RF3084
LOS ANGELES,STATIONARY,FUEL COMBUSTION,FOOD AND AGRICULTURAL PROCESSING,SOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,.03213661,.02770549,.01588678,.01588678,.01953567,.01644111,.01734249,.01734249,.01602188,.01996579,.01186672,.00963415,.00978317,.01006164,.00261413,.00300846,.00289506,.00896713,.0119435,.02276832,.0221629,.02210019,v1.03_RF3084
LOS ANGELES,STATIONARY,FUEL COMBUSTION,SERVICE AND COMMERCIAL,SOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,.63718478,.72492793,.52460651,.52883019,.54439437,.54851064,.60471228,.60406338,.64959821,.58972622,.7475279,.80492822,.72601901,.70112863,.75397679,.74523948,.88462563,.53259102,.53558963,.54013203,.54288507,.54516802,v1.03_RF3084
LOS ANGELES,STATIONARY,FUEL COMBUSTION,OTHER (FUEL COMBUSTION),SOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,.0726292,.10848339,.45257124,.42984473,.24154051,.30290109,.19278875,.19278864,.38982281,.3022188,.25368032,.14932587,.17693679,.18639208,.08434197,.0809828,.06946009,.08145651,.07883729,.11093845,.18186732,.18161222,v1.03_RF3084
LOS ANGELES,STATIONARY,WASTE DISPOSAL,SEWAGE TREATMENT,SOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,.00043068,.00043068,.00631123,.01244384,.01005754,.01005754,.00034046,.00978083,.0153603,.01456126,.03165773,.01384191,.00013079,.00117813,.00116148,.00116148,.00116849,.0011755,.00118251,.00118952,v1.03_RF3084
LOS ANGELES,STATIONARY,WASTE DISPOSAL,LANDFILLS,SOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,.10307398,.09271232,.27556494,.27580328,.27091887,.27071538,.37523592,.37523592,.29042199,.35870743,.25090226,.20409018,.22442869,.29246609,.26581885,.19592334,.18705404,.27809609,.28372543,.28956486,.29585157,.30174193,v1.03_RF3084
