AREA,SRC_TYPE,CATEGORY,SUBCATEGORY,POLLUTANT,SEASON,CONTROL_TYPE,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,v1.03_RF3084
LOS ANGELES,STATIONARY,FUEL COMBUSTION,ELECTRIC UTILITIES,TOG,ANNUAL AVERAGE,GROWN AND CONTROLLED,6.72634814,10.27038395,6.69972631,6.70841482,.81215892,3.25053522,3.3446982,3.34453598,2.96813489,2.12457036,2.21233486,1.89847693,3.423849,2.37594248,2.31129752,1.84314462,1.66586933,1.41828033,1.4318107,1.37293618,1.53584969,1.52854118,v1.03_RF3084
LOS ANGELES,STATIONARY,FUEL COMBUSTION,COGENERATION,TOG,ANNUAL AVERAGE,GROWN AND CONTROLLED,5.28773442,8.09038377,.63632874,.63936984,.01521097,.18383742,.15080483,.15080483,.24507598,1.80150474,.16178322,1.53388994,.89527503,1.06220065,.1326101,.25200317,.01559673,.14037049,.14108579,.14180588,.14239886,.14310499,v1.03_RF3084
LOS ANGELES,STATIONARY,FUEL COMBUSTION,OIL AND GAS PRODUCTION (COMBUSTION),TOG,ANNUAL AVERAGE,GROWN AND CONTROLLED,2.1616272,3.16845662,1.96949827,1.97814947,.09061941,.51992291,.53304792,.53331113,.5483857,.53245234,.52891664,.52655221,.52134963,.63128823,.2907807,.62468115,.41746843,.42902076,.44968392,.4724995,.49531507,.5181307,v1.03_RF3084
LOS ANGELES,STATIONARY,FUEL COMBUSTION,PETROLEUM REFINING (COMBUSTION),TOG,ANNUAL AVERAGE,GROWN AND CONTROLLED,2.61535037,5.15410959,3.58006512,3.5886921,1.33733154,3.43653151,3.56102962,3.55832556,4.65380268,3.40805194,1.32003708,3.00416395,3.38070225,5.84350771,3.68232828,2.74643744,2.73056263,5.00890389,5.00890389,5.00890389,5.0089036,5.0089036,v1.03_RF3084
LOS ANGELES,STATIONARY,FUEL COMBUSTION,MANUFACTURING AND INDUSTRIAL,TOG,ANNUAL AVERAGE,GROWN AND CONTROLLED,8.11034691,6.18183266,4.57133036,4.51344435,3.27123368,3.92687486,3.93501114,3.87814582,3.64758059,3.33156661,3.11220117,3.05531618,2.46410984,2.70429872,2.2180486,2.2837581,2.25879424,2.27483098,2.26044439,2.24451113,2.21643826,2.18145996,v1.03_RF3084
LOS ANGELES,STATIONARY,FUEL COMBUSTION,FOOD AND AGRICULTURAL PROCESSING,TOG,ANNUAL AVERAGE,GROWN AND CONTROLLED,.21825253,.33637928,.12777284,.12788121,.05160548,.15776669,.19017026,.18923067,.13582581,.19143204,.17584175,.14500268,.13127864,.12016847,.06976618,.06965329,.06960893,.06248645,.06242046,.06254711,.06260121,.06249449,v1.03_RF3084
LOS ANGELES,STATIONARY,FUEL COMBUSTION,SERVICE AND COMMERCIAL,TOG,ANNUAL AVERAGE,GROWN AND CONTROLLED,11.6103013,13.74296675,4.75801882,4.7770338,1.89923974,3.54881006,4.19272418,4.1913409,5.10802117,5.01895621,4.81839416,4.85416468,4.85853433,4.7972864,3.2765198,3.32074394,3.27654449,3.74302942,3.75365137,3.79535871,3.7660835,3.77235285,v1.03_RF3084
LOS ANGELES,STATIONARY,FUEL COMBUSTION,OTHER (FUEL COMBUSTION),TOG,ANNUAL AVERAGE,GROWN AND CONTROLLED,.55734202,.73837218,.45564761,.57005324,.2799639,.30173421,.26725602,.25723356,.30294638,.38556263,.26680289,.23851546,.29638141,.27249443,.83481685,.61315956,.65063366,.6223487,.62449103,.62402194,.60502027,.60567797,v1.03_RF3084
LOS ANGELES,STATIONARY,WASTE DISPOSAL,SEWAGE TREATMENT,TOG,ANNUAL AVERAGE,GROWN AND CONTROLLED,.13083057,.13864946,.27021509,.22685705,.23164498,.42669471,.44867374,.44867374,.08597397,.24973599,.29479692,.21028569,.27843921,.45745275,.19406563,.17580297,.18714906,.18173854,.18284206,.18393888,.18505603,.18615102,v1.03_RF3084
LOS ANGELES,STATIONARY,WASTE DISPOSAL,LANDFILLS,TOG,ANNUAL AVERAGE,GROWN AND CONTROLLED,223.71479124,223.65629433,226.84157907,225.30319472,223.70354505,226.41113108,233.65771291,233.65771291,226.24389146,226.30248361,226.00378293,224.5355609,223.06337251,223.53492275,238.86445453,235.63812227,239.69973795,243.81844746,245.29965937,246.7809038,248.26229993,249.73496013,v1.03_RF3084
