AREA,SRC_TYPE,CATEGORY,SUBCATEGORY,POLLUTANT,SEASON,CONTROL_TYPE,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,v1.03_RF3084
MARIN,STATIONARY,FUEL COMBUSTION,ELECTRIC UTILITIES,COT,ANNUAL AVERAGE,GROWN AND CONTROLLED,,,.00009315,.00050959,.00127671,.00000822,.00237533,.00324932,.00390136,.00332329,.0038959,.0008685,.00339726,.0019233,.00211226,.00236816,.00231661,.00167218,.00167982,.0016799,.00167798,.00169575,v1.03_RF3084
MARIN,STATIONARY,FUEL COMBUSTION,COGENERATION,COT,ANNUAL AVERAGE,GROWN AND CONTROLLED,.0172,.03021918,.02782466,.02782466,,,,.03677534,.03809863,.02852328,.03747123,.03661644,.0348411,.00232877,.02566212,.00967236,.00397959,.01143691,.01101936,.01104557,.01107467,.01110156,v1.03_RF3084
MARIN,STATIONARY,FUEL COMBUSTION,MANUFACTURING AND INDUSTRIAL,COT,ANNUAL AVERAGE,GROWN AND CONTROLLED,.09884995,.09623585,.09249889,.09743328,.10431371,.09900743,.09446167,.08525523,.07361083,.07660673,.07782178,.08273612,.07168304,.07266836,.07474949,.07512952,.15440366,.15677353,.15819712,.15969689,.16118749,.16267242,v1.03_RF3084
MARIN,STATIONARY,FUEL COMBUSTION,FOOD AND AGRICULTURAL PROCESSING,COT,ANNUAL AVERAGE,GROWN AND CONTROLLED,.00109985,.00109985,.00110259,.00112177,.00111903,.00091918,.00091644,.00092192,.00082466,.0008411,.00086028,.00065754,.0006137,.00061096,.00061269,.09063297,.09064413,.09065021,.09065059,.09065093,.09065131,.09065169,v1.03_RF3084
MARIN,STATIONARY,FUEL COMBUSTION,SERVICE AND COMMERCIAL,COT,ANNUAL AVERAGE,GROWN AND CONTROLLED,.09993235,.09049581,.0975407,.09645111,.06561094,.16346657,.06753759,.10161855,.11528776,.19105356,.12452126,.12841065,.12723334,.1000522,.18601781,.15305335,.12621476,.12758038,.12994368,.13178279,.13231533,.1331614,v1.03_RF3084
MARIN,STATIONARY,FUEL COMBUSTION,OTHER (FUEL COMBUSTION),COT,ANNUAL AVERAGE,GROWN AND CONTROLLED,.0490845,.0499483,.05894713,.03593543,.03668823,.02292344,.02104743,.01992843,.01952161,.01964199,.01787335,.0177337,.0177337,.01807069,.01813724,.01461256,.01454468,.01453993,.01454074,.01454374,.0121729,.0121758,v1.03_RF3084
MARIN,STATIONARY,WASTE DISPOSAL,SEWAGE TREATMENT,COT,ANNUAL AVERAGE,GROWN AND CONTROLLED,.00068767,.00021918,.00020274,.0002274,.00005206,.00088767,.00088767,.00001096,0,.00049589,.00074795,.001,.00100548,.00280822,.00143001,.00189945,.0014932,.00182547,.00185312,.00187951,.00190843,.00193608,v1.03_RF3084
MARIN,STATIONARY,WASTE DISPOSAL,LANDFILLS,COT,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,v1.03_RF3084
MARIN,STATIONARY,WASTE DISPOSAL,INCINERATORS,COT,ANNUAL AVERAGE,GROWN AND CONTROLLED,.00141918,.00027397,.0002274,.00032055,.00027945,.06664657,.16370411,.17314522,.17179177,.19171508,.19193699,.19941918,.19943014,.19215343,.19199642,.19203906,.19199997,.16309611,.16294631,.16295793,.16280867,.16265724,v1.03_RF3084
MARIN,STATIONARY,WASTE DISPOSAL,SOIL REMEDIATION,COT,ANNUAL AVERAGE,GROWN AND CONTROLLED,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,v1.03_RF3084
MARIN,STATIONARY,WASTE DISPOSAL,OTHER (WASTE DISPOSAL),COT,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,v1.03_RF3084
MARIN,STATIONARY,CLEANING AND SURFACE COATINGS,LAUNDERING,COT,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,v1.03_RF3084
MARIN,STATIONARY,CLEANING AND SURFACE COATINGS,DEGREASING,COT,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,v1.03_RF3084
MARIN,STATIONARY,CLEANING AND SURFACE COATINGS,COATINGS AND RELATED PROCESS SOLVENTS,COT,ANNUAL AVERAGE,GROWN AND CONTROLLED,.00019726,.00013699,.00031781,.00028219,.00034521,.00026027,.00045753,.00056438,.00059452,.00068219,.00065753,.00035068,.00050411,.00055616,.00040973,.00048796,.00041784,.00016349,.00016504,.00016644,.00016799,.00016954,v1.03_RF3084
MARIN,STATIONARY,CLEANING AND SURFACE COATINGS,PRINTING,COT,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,.00002466,.00002192,.00002466,.00002466,.00002466,.00001918,.00001918,.00001918,0,0,0,0,0,0,0,0,0,0,0,0,v1.03_RF3084
MARIN,STATIONARY,CLEANING AND SURFACE COATINGS,ADHESIVES AND SEALANTS,COT,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,v1.03_RF3084
MARIN,STATIONARY,CLEANING AND SURFACE COATINGS,OTHER (CLEANING AND SURFACE COATINGS),COT,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,v1.03_RF3084
MARIN,STATIONARY,PETROLEUM PRODUCTION AND MARKETING,PETROLEUM MARKETING,COT,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,v1.03_RF3084
MARIN,STATIONARY,PETROLEUM PRODUCTION AND MARKETING,OTHER (PETROLEUM PRODUCTION AND MARKETING),COT,ANNUAL AVERAGE,GROWN AND CONTROLLED,,,,,,,,,,,0,,,,,,,,,,,,v1.03_RF3084
MARIN,STATIONARY,INDUSTRIAL PROCESSES,CHEMICAL,COT,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,.00007123,.00007123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,v1.03_RF3084
MARIN,STATIONARY,INDUSTRIAL PROCESSES,FOOD AND AGRICULTURE,COT,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,.00004384,.00004384,.00004384,.00004384,.00010959,.00012603,.00023288,.00016987,.00025754,.00026028,.01152877,.00025183,.00025977,.00027905,.0002907,.00029498,.00029927,.00030381,.00030728,v1.03_RF3084
MARIN,STATIONARY,INDUSTRIAL PROCESSES,MINERAL PROCESSES,COT,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,v1.03_RF3084
MARIN,STATIONARY,INDUSTRIAL PROCESSES,METAL PROCESSES,COT,ANNUAL AVERAGE,GROWN AND CONTROLLED,.00033151,.00035616,.0003589,,.00000274,.00000274,,,,,,.00019452,,,,,,,,,,,v1.03_RF3084
MARIN,STATIONARY,INDUSTRIAL PROCESSES,WOOD AND PAPER,COT,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,v1.03_RF3084
MARIN,STATIONARY,INDUSTRIAL PROCESSES,OTHER (INDUSTRIAL PROCESSES),COT,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,v1.03_RF3084
MARIN,AREAWIDE,SOLVENT EVAPORATION,CONSUMER PRODUCTS,COT,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,v1.03_RF3084
MARIN,AREAWIDE,SOLVENT EVAPORATION,ARCHITECTURAL COATINGS AND RELATED PROCESS SOLVENTS,COT,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,v1.03_RF3084
MARIN,AREAWIDE,SOLVENT EVAPORATION,PESTICIDES/FERTILIZERS,COT,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,v1.03_RF3084
MARIN,AREAWIDE,SOLVENT EVAPORATION,ASPHALT PAVING / ROOFING,COT,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,v1.03_RF3084
