src_type,category,subcategory,year,em_type,tons_per_day,population,TpDpCap
STATIONARY,FUEL COMBUSTION,ELECTRIC UTILITIES,2000,co,0.0,247600.0,0.0
STATIONARY,FUEL COMBUSTION,COGENERATION,2000,co,0.0172,247600.0,6.946688206785137e-08
STATIONARY,FUEL COMBUSTION,MANUFACTURING AND INDUSTRIAL,2000,co,0.09884995,247600.0,3.992324313408724e-07
STATIONARY,FUEL COMBUSTION,FOOD AND AGRICULTURAL PROCESSING,2000,co,0.00109985,247600.0,4.442043618739903e-09
STATIONARY,FUEL COMBUSTION,SERVICE AND COMMERCIAL,2000,co,0.09993235,247600.0,4.036039983844911e-07
STATIONARY,FUEL COMBUSTION,OTHER (FUEL COMBUSTION),2000,co,0.0490845,247600.0,1.9824111470113086e-07
STATIONARY,WASTE DISPOSAL,SEWAGE TREATMENT,2000,co,0.00068767,247600.0,2.7773424878836836e-09
STATIONARY,WASTE DISPOSAL,LANDFILLS,2000,co,0.0,247600.0,0.0
STATIONARY,WASTE DISPOSAL,INCINERATORS,2000,co,0.00141918,247600.0,5.731744749596123e-09
STATIONARY,WASTE DISPOSAL,SOIL REMEDIATION,2000,co,0.0,247600.0,0.0
STATIONARY,WASTE DISPOSAL,OTHER (WASTE DISPOSAL),2000,co,0.0,247600.0,0.0
STATIONARY,CLEANING AND SURFACE COATINGS,LAUNDERING,2000,co,0.0,247600.0,0.0
STATIONARY,CLEANING AND SURFACE COATINGS,DEGREASING,2000,co,0.0,247600.0,0.0
STATIONARY,CLEANING AND SURFACE COATINGS,COATINGS AND RELATED PROCESS SOLVENTS,2000,co,0.00019726,247600.0,7.966882067851373e-10
STATIONARY,CLEANING AND SURFACE COATINGS,PRINTING,2000,co,0.0,247600.0,0.0
STATIONARY,CLEANING AND SURFACE COATINGS,ADHESIVES AND SEALANTS,2000,co,0.0,247600.0,0.0
STATIONARY,CLEANING AND SURFACE COATINGS,OTHER (CLEANING AND SURFACE COATINGS),2000,co,0.0,247600.0,0.0
STATIONARY,PETROLEUM PRODUCTION AND MARKETING,PETROLEUM MARKETING,2000,co,0.0,247600.0,0.0
STATIONARY,PETROLEUM PRODUCTION AND MARKETING,OTHER (PETROLEUM PRODUCTION AND MARKETING),2000,co,0.0,247600.0,0.0
STATIONARY,INDUSTRIAL PROCESSES,CHEMICAL,2000,co,0.0,247600.0,0.0
STATIONARY,INDUSTRIAL PROCESSES,FOOD AND AGRICULTURE,2000,co,0.0,247600.0,0.0
STATIONARY,INDUSTRIAL PROCESSES,MINERAL PROCESSES,2000,co,0.0,247600.0,0.0
STATIONARY,INDUSTRIAL PROCESSES,METAL PROCESSES,2000,co,0.00033151,247600.0,1.3388933764135701e-09
STATIONARY,INDUSTRIAL PROCESSES,WOOD AND PAPER,2000,co,0.0,247600.0,0.0
STATIONARY,INDUSTRIAL PROCESSES,OTHER (INDUSTRIAL PROCESSES),2000,co,0.0,247600.0,0.0
AREAWIDE,SOLVENT EVAPORATION,CONSUMER PRODUCTS,2000,co,0.0,247600.0,0.0
AREAWIDE,SOLVENT EVAPORATION,ARCHITECTURAL COATINGS AND RELATED PROCESS SOLVENTS,2000,co,0.0,247600.0,0.0
AREAWIDE,SOLVENT EVAPORATION,PESTICIDES/FERTILIZERS,2000,co,0.0,247600.0,0.0
AREAWIDE,SOLVENT EVAPORATION,ASPHALT PAVING / ROOFING,2000,co,0.0,247600.0,0.0
