AREA,SRC_TYPE,CATEGORY,SUBCATEGORY,POLLUTANT,SEASON,CONTROL_TYPE,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,v1.03_RF3084
MARIN,STATIONARY,FUEL COMBUSTION,ELECTRIC UTILITIES,NOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,,,.00042466,.0028274,.00619999,.00006849,.0112548,.01131781,.01020548,.00776987,.00972054,.00140275,.00831233,.00587398,.00645343,.00734665,.00730071,.00693084,.00686492,.00680348,.00672459,.00679504,v1.03_RF3084
MARIN,STATIONARY,FUEL COMBUSTION,COGENERATION,NOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,.13599999,.0220548,.02032329,.02032329,,,,.0144274,.01433973,.01132055,.01463561,.01427671,.01352328,.00167397,.01031784,.00424461,.00398867,.04242173,.04093741,.04104764,.04116824,.04128213,v1.03_RF3084
MARIN,STATIONARY,FUEL COMBUSTION,MANUFACTURING AND INDUSTRIAL,NOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,.16806019,.16636739,.16070546,.16294134,.17433758,.13708379,.14197429,.13057914,.10992445,.11693486,.11766583,.12641776,.08503851,.08731406,.09302615,.09365036,.13936226,.14436178,.14521474,.14589597,.14656917,.14783569,v1.03_RF3084
MARIN,STATIONARY,FUEL COMBUSTION,FOOD AND AGRICULTURAL PROCESSING,NOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,.00309911,.00309911,.00310733,.00318952,.00308328,.00297396,.00275939,.00268877,.00260137,.00256363,.00253684,.00173862,.00156054,.00155232,.00155111,.00850853,.00835412,.00827772,.00827924,.00818119,.0081827,.00818422,v1.03_RF3084
MARIN,STATIONARY,FUEL COMBUSTION,SERVICE AND COMMERCIAL,NOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,.23060329,.11896996,.12467858,.11360583,.08425124,.12482473,.10653295,.1037898,.10599719,.19858849,.12461248,.12468801,.12293075,.11033139,.16372408,.1041586,.08603713,.0678322,.06930495,.07047988,.07060748,.0708819,v1.03_RF3084
MARIN,STATIONARY,FUEL COMBUSTION,OTHER (FUEL COMBUSTION),NOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,.15615976,.15791796,.12694174,.08971914,.10941355,.08686862,.08050696,.07696558,.07610654,.0782735,.07198616,.07171643,.07171643,.07187533,.07196025,.05831665,.0582304,.05820571,.05820609,.0582075,.0481619,.04816326,v1.03_RF3084
MARIN,STATIONARY,WASTE DISPOSAL,SEWAGE TREATMENT,NOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,.00232329,.00082192,.0008,.00087397,.00018904,.00281918,.00281918,.00006028,.00002466,.00181096,.00238357,.00324658,.0032685,.01024931,.00466423,.0065085,.00482552,.00616302,.00625498,.00634293,.00643892,.0065309,v1.03_RF3084
MARIN,STATIONARY,WASTE DISPOSAL,LANDFILLS,NOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,0,0,0,.00063562,.00066028,.00069042,.00074247,.00072877,.00070411,.0006291,.00064094,.00063325,.00067867,.00067799,.00067799,.00067732,.00067664,v1.03_RF3084
MARIN,STATIONARY,WASTE DISPOSAL,INCINERATORS,NOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,.00309589,.0010137,.00091507,.00129041,.00112055,.01681096,.03995891,.05307397,.05346301,.05947945,.06029863,.06245479,.06247945,.06156987,.06119201,.06132797,.0612356,.05187518,.05185272,.05187814,.05185653,.05183151,v1.03_RF3084
MARIN,STATIONARY,WASTE DISPOSAL,SOIL REMEDIATION,NOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,v1.03_RF3084
MARIN,STATIONARY,WASTE DISPOSAL,OTHER (WASTE DISPOSAL),NOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,v1.03_RF3084
