AREA,SRC_TYPE,CATEGORY,SUBCATEGORY,POLLUTANT,SEASON,CONTROL_TYPE,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,v1.03_RF3084
MARIN,STATIONARY,FUEL COMBUSTION,ELECTRIC UTILITIES,PM,ANNUAL AVERAGE,GROWN AND CONTROLLED,,,.0000274,.00020822,.00046849,0,.00076165,.0007589,.00066575,.00049196,.00067651,.00010948,.00059791,.00040822,.00038759,.00025517,.00012878,.00010814,.00010331,.00009817,.00009311,.0000931,v1.03_RF3084
MARIN,STATIONARY,FUEL COMBUSTION,COGENERATION,PM,ANNUAL AVERAGE,GROWN AND CONTROLLED,.0004,.00043836,.00040274,.00040274,,,,.00077535,.00061096,.00063945,.00077176,.00074419,.00069182,.00028767,.000617,.00066244,.00040516,.00161469,.00156615,.00157196,.0015781,.00158419,v1.03_RF3084
MARIN,STATIONARY,FUEL COMBUSTION,MANUFACTURING AND INDUSTRIAL,PM,ANNUAL AVERAGE,GROWN AND CONTROLLED,.01532667,.01472092,.01422468,.01485504,.01603595,.01640322,.01418903,.01275572,.01103742,.01140609,.01163831,.01304072,.01146619,.01161893,.01173523,.01178925,.01311541,.01299091,.01310329,.0132198,.01333697,.01344724,v1.03_RF3084
MARIN,STATIONARY,FUEL COMBUSTION,FOOD AND AGRICULTURAL PROCESSING,PM,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.00000008,.00224286,.00224293,.00224301,.00224301,.00224302,.00224302,.00224302,v1.03_RF3084
MARIN,STATIONARY,FUEL COMBUSTION,SERVICE AND COMMERCIAL,PM,ANNUAL AVERAGE,GROWN AND CONTROLLED,.01346057,.01125994,.01235456,.01235198,.01220447,.01586981,.01195611,.01324562,.01325308,.01487366,.0135861,.01351414,.01340356,.0125223,.0128993,.01255108,.01306374,.01264,.01301334,.0133119,.01335751,.01339054,v1.03_RF3084
MARIN,STATIONARY,FUEL COMBUSTION,OTHER (FUEL COMBUSTION),PM,ANNUAL AVERAGE,GROWN AND CONTROLLED,.00810443,.00810443,.00506041,.00326933,.00398968,.00278932,.0026558,.00261358,.00220887,.00231842,.00218778,.00217959,.00217959,.00218503,.00218625,.00131168,.0013094,.00130919,.0013092,.00130925,.00087441,.00087444,v1.03_RF3084
MARIN,STATIONARY,WASTE DISPOSAL,SEWAGE TREATMENT,PM,ANNUAL AVERAGE,GROWN AND CONTROLLED,.00005754,0,.00001644,.00001918,.00000274,.00007397,.00007397,0,0,.00002192,0,.00000548,.00000822,.00013699,.00001207,.00004862,.00000794,.00003716,.00003757,.00003799,.00003841,.00003883,v1.03_RF3084
MARIN,STATIONARY,WASTE DISPOSAL,LANDFILLS,PM,ANNUAL AVERAGE,GROWN AND CONTROLLED,.00246027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,v1.03_RF3084
MARIN,STATIONARY,WASTE DISPOSAL,INCINERATORS,PM,ANNUAL AVERAGE,GROWN AND CONTROLLED,.00032876,.0000274,.00001918,.00003014,.00002466,.00256987,.00629863,.01474247,.01467397,.01291507,.01298448,.0113863,.01139021,.01118904,.01119858,.01120752,.01123248,.00943372,.00942833,.00943207,.00942688,.00942085,v1.03_RF3084
MARIN,STATIONARY,WASTE DISPOSAL,SOIL REMEDIATION,PM,ANNUAL AVERAGE,GROWN AND CONTROLLED,,.00019178,.00045479,.00045479,.00045479,.00034795,.00028767,.00021644,.00023014,.00022557,.00336986,.00395434,.00382648,.00132055,.00113156,.00114602,.00130204,.0014061,.0014268,.0014475,.00146949,.0014863,v1.03_RF3084
MARIN,STATIONARY,WASTE DISPOSAL,OTHER (WASTE DISPOSAL),PM,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,.00024932,.00024932,.00024932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,v1.03_RF3084
MARIN,STATIONARY,CLEANING AND SURFACE COATINGS,LAUNDERING,PM,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,v1.03_RF3084
MARIN,STATIONARY,CLEANING AND SURFACE COATINGS,DEGREASING,PM,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,v1.03_RF3084
MARIN,STATIONARY,CLEANING AND SURFACE COATINGS,COATINGS AND RELATED PROCESS SOLVENTS,PM,ANNUAL AVERAGE,GROWN AND CONTROLLED,.00001644,0,.0000274,.00002466,.00003288,.00002192,.00003836,.00004932,.00004932,.00008529,.00009069,.00004773,.0000716,.00004658,.00003512,.00004183,.00003581,.00001401,.00001415,.00001427,.0000144,.00001453,v1.03_RF3084
MARIN,STATIONARY,CLEANING AND SURFACE COATINGS,PRINTING,PM,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,.00000274,.00000274,.00000274,.00000274,.00000274,.00000274,.00000274,.00000274,0,0,0,0,0,0,0,0,0,0,0,0,v1.03_RF3084
MARIN,STATIONARY,CLEANING AND SURFACE COATINGS,ADHESIVES AND SEALANTS,PM,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,v1.03_RF3084
MARIN,STATIONARY,CLEANING AND SURFACE COATINGS,OTHER (CLEANING AND SURFACE COATINGS),PM,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,v1.03_RF3084
MARIN,STATIONARY,PETROLEUM PRODUCTION AND MARKETING,PETROLEUM MARKETING,PM,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,v1.03_RF3084
MARIN,STATIONARY,PETROLEUM PRODUCTION AND MARKETING,OTHER (PETROLEUM PRODUCTION AND MARKETING),PM,ANNUAL AVERAGE,GROWN AND CONTROLLED,,,,,,,,,,,0,,,,,,,,,,,,v1.03_RF3084
MARIN,STATIONARY,INDUSTRIAL PROCESSES,CHEMICAL,PM,ANNUAL AVERAGE,GROWN AND CONTROLLED,.04766849,.0470411,.05380822,.0538137,.05381096,.02886027,.05625205,.04666849,.0466685,.0388825,.03390259,.03554703,.03666667,.03566849,.03547176,.03661333,.03948337,.0419839,.04241917,.04281487,.04325015,.04364585,v1.03_RF3084
MARIN,STATIONARY,INDUSTRIAL PROCESSES,FOOD AND AGRICULTURE,PM,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,.00010137,.00021369,.00020548,.00013424,.00013424,.00010411,.0000411,.00006849,.00009218,.00010146,.00011048,.00027671,.00009326,.00009476,.00010538,.00011174,.00011339,.00011504,.00011678,.00011812,v1.03_RF3084
