AREA,SRC_TYPE,CATEGORY,SUBCATEGORY,POLLUTANT,SEASON,CONTROL_TYPE,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,v1.03_RF3084
MARIN,STATIONARY,FUEL COMBUSTION,ELECTRIC UTILITIES,PM10,ANNUAL AVERAGE,GROWN AND CONTROLLED,,,.00002674,.00016439,.00045725,0,.00074337,.00074069,.00064977,.00048015,.00066027,.00010685,.00058356,.00039454,.0003721,.00024499,.00012366,.00010383,.00009919,.00009425,.0000894,.00008939,v1.03_RF3084
MARIN,STATIONARY,FUEL COMBUSTION,COGENERATION,PM10,ANNUAL AVERAGE,GROWN AND CONTROLLED,.00041096,.00043836,.00040032,.00041096,,,,.0007707,.0006073,.00063562,.00076713,.00073972,.00068767,.0002822,.0006133,.00065847,.00040273,.001605,.00155676,.00156253,.00156864,.00157469,v1.03_RF3084
MARIN,STATIONARY,FUEL COMBUSTION,MANUFACTURING AND INDUSTRIAL,PM10,ANNUAL AVERAGE,GROWN AND CONTROLLED,.01521807,.01461277,.0141166,.01476876,.01591735,.01626977,.01410254,.01267846,.01096948,.01133675,.01156703,.0129614,.01139147,.01154211,.01165691,.01170981,.01303562,.01291109,.01302294,.01313886,.01325545,.01336507,v1.03_RF3084
MARIN,STATIONARY,FUEL COMBUSTION,FOOD AND AGRICULTURAL PROCESSING,PM10,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.00000008,.00224286,.00224293,.00224301,.00224301,.00224302,.00224302,.00224302,v1.03_RF3084
MARIN,STATIONARY,FUEL COMBUSTION,SERVICE AND COMMERCIAL,PM10,ANNUAL AVERAGE,GROWN AND CONTROLLED,.01300749,.01117749,.01227586,.01230411,.01212587,.01571814,.01186947,.01315805,.01315985,.01420674,.01348559,.01342488,.01331004,.01243927,.01280332,.01246012,.01297604,.01255111,.01292233,.01321923,.01326489,.0132977,v1.03_RF3084
MARIN,STATIONARY,FUEL COMBUSTION,OTHER (FUEL COMBUSTION),PM10,ANNUAL AVERAGE,GROWN AND CONTROLLED,.00808579,.00808579,.00504877,.00326181,.0039805,.0027829,.00264969,.00260711,.00220379,.00231306,.00218267,.00217455,.00217455,.00218003,.00218109,.00130856,.00130637,.00130616,.00130617,.00130622,.00087239,.00087242,v1.03_RF3084
MARIN,STATIONARY,WASTE DISPOSAL,SEWAGE TREATMENT,PM10,ANNUAL AVERAGE,GROWN AND CONTROLLED,.00004384,0,.00001644,.00001918,.00000274,.00007397,.00007397,0,0,.00002192,0,.00000548,.00000822,.00013699,.00001203,.00004847,.00000792,.00003705,.00003746,.00003788,.00003829,.00003871,v1.03_RF3084
MARIN,STATIONARY,WASTE DISPOSAL,LANDFILLS,PM10,ANNUAL AVERAGE,GROWN AND CONTROLLED,.00172613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,v1.03_RF3084
MARIN,STATIONARY,WASTE DISPOSAL,INCINERATORS,PM10,ANNUAL AVERAGE,GROWN AND CONTROLLED,.00008218,.00000822,.00000575,.00001286,.00001233,.00256028,.0062874,.01473316,.01466082,.01290465,.01293069,.01133973,.01134247,.0111726,.01117925,.01118613,.0112029,.00936278,.00935634,.00935904,.00935274,.00934586,v1.03_RF3084
MARIN,STATIONARY,WASTE DISPOSAL,SOIL REMEDIATION,PM10,ANNUAL AVERAGE,GROWN AND CONTROLLED,,.00013699,.00013644,.00013698,.00013644,.00010439,.0000863,.00006493,.00006904,.00006767,.00101096,.0011863,.00114794,.00126852,.0010863,.00110018,.00124996,.00134986,.00136973,.0013896,.00141071,.00142685,v1.03_RF3084
