AREA,SRC_TYPE,CATEGORY,SUBCATEGORY,POLLUTANT,SEASON,CONTROL_TYPE,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,v1.03_RF3084
MARIN,STATIONARY,FUEL COMBUSTION,ELECTRIC UTILITIES,PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,,,.0000265,.00016439,.00045303,0,.00073652,.00073386,.00064378,.00047572,.00065419,.00010587,.00057818,.00038355,.0003632,.00023913,.00012071,.00010134,.00009682,.000092,.00008726,.00008725,v1.03_RF3084
MARIN,STATIONARY,FUEL COMBUSTION,COGENERATION,PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,.00038356,.00043836,.00039952,.00041096,,,,.00076915,.00060607,.00063433,.00076559,.00073824,.00068628,.0002822,.00061207,.00065715,.00040191,.00160177,.00155362,.00155939,.00156547,.00157152,v1.03_RF3084
MARIN,STATIONARY,FUEL COMBUSTION,MANUFACTURING AND INDUSTRIAL,PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,.01516265,.01458587,.01407929,.01474091,.01587662,.01622372,.01407369,.0126527,.01094683,.01131363,.01154323,.01293468,.0113665,.01151468,.01162991,.01168233,.0130081,.01288372,.01299544,.01311121,.01322763,.01333703,v1.03_RF3084
MARIN,STATIONARY,FUEL COMBUSTION,FOOD AND AGRICULTURAL PROCESSING,PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.00000008,.00224286,.00224293,.00224301,.00224301,.00224302,.00224302,.00224302,v1.03_RF3084
MARIN,STATIONARY,FUEL COMBUSTION,SERVICE AND COMMERCIAL,PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,.01263376,.011135,.01224442,.01228441,.01210222,.01550105,.011842,.01313276,.01313148,.01364309,.01345618,.01339707,.01328199,.01239173,.01275933,.0124069,.01293546,.01251418,.01288475,.01318116,.01322684,.01325951,v1.03_RF3084
MARIN,STATIONARY,FUEL COMBUSTION,OTHER (FUEL COMBUSTION),PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,.00771947,.00771947,.00482004,.00311403,.00380017,.00265682,.00252964,.00248973,.00210395,.00220832,.00208418,.00207608,.00207608,.00207883,.00208225,.00124923,.0012471,.0012469,.00124691,.00124696,.00083277,.0008328,v1.03_RF3084
MARIN,STATIONARY,WASTE DISPOSAL,SEWAGE TREATMENT,PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,.00004384,0,.00001644,.00001918,.00000274,.00007397,.00007397,0,0,.00002192,0,.00000548,.00000822,.00012603,.00001119,.00004507,.00000736,.00003445,.00003483,.00003522,.00003561,.000036,v1.03_RF3084
MARIN,STATIONARY,WASTE DISPOSAL,LANDFILLS,PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,.00104119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,v1.03_RF3084
MARIN,STATIONARY,WASTE DISPOSAL,INCINERATORS,PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,.0000652,.00000548,.00000384,.00001039,.00000992,.00255891,.00628449,.01473052,.01465764,.01289798,.01291586,.01132658,.01132822,.01115617,.01116122,.01116616,.01117529,.00929656,.00928915,.00929087,.00928354,.00927587,v1.03_RF3084
MARIN,STATIONARY,WASTE DISPOSAL,SOIL REMEDIATION,PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,,.0000822,.00009096,.00008218,.00009096,.00006959,.00005753,.00004329,.00004603,.00004511,.00067397,.00079087,.0007653,.0012219,.00104669,.00106007,.00120439,.00130064,.00131979,.00133894,.00135928,.00137483,v1.03_RF3084
MARIN,STATIONARY,WASTE DISPOSAL,OTHER (WASTE DISPOSAL),PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,.00004986,.0000548,.00004986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,v1.03_RF3084
MARIN,STATIONARY,CLEANING AND SURFACE COATINGS,LAUNDERING,PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,v1.03_RF3084
MARIN,STATIONARY,CLEANING AND SURFACE COATINGS,DEGREASING,PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,v1.03_RF3084
MARIN,STATIONARY,CLEANING AND SURFACE COATINGS,COATINGS AND RELATED PROCESS SOLVENTS,PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,.00000669,0,.00001115,.00001004,.00001338,.00000892,.00001561,.00002007,.00002007,.00003471,.00003691,.00001943,.00002914,.00004658,.00003512,.00004183,.00003581,.00001401,.00001415,.00001427,.0000144,.00001453,v1.03_RF3084
MARIN,STATIONARY,CLEANING AND SURFACE COATINGS,PRINTING,PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,.00000112,.00000112,.00000112,.00000112,.00000112,.00000112,.00000112,.00000112,0,0,0,0,0,0,0,0,0,0,0,0,v1.03_RF3084
MARIN,STATIONARY,CLEANING AND SURFACE COATINGS,ADHESIVES AND SEALANTS,PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,v1.03_RF3084
MARIN,STATIONARY,CLEANING AND SURFACE COATINGS,OTHER (CLEANING AND SURFACE COATINGS),PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,v1.03_RF3084
MARIN,STATIONARY,PETROLEUM PRODUCTION AND MARKETING,PETROLEUM MARKETING,PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,v1.03_RF3084
MARIN,STATIONARY,PETROLEUM PRODUCTION AND MARKETING,OTHER (PETROLEUM PRODUCTION AND MARKETING),PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,,,,,,,,,,,0,,,,,,,,,,,,v1.03_RF3084
MARIN,STATIONARY,INDUSTRIAL PROCESSES,CHEMICAL,PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,.0398882,.03931884,.04730431,.04728809,.04725092,.02568117,.05005986,.04153496,.04153497,.03460543,.03017331,.03163686,.03263334,.03299335,.03281138,.03386733,.03652212,.03883511,.03923773,.03960375,.04000639,.04037241,v1.03_RF3084
MARIN,STATIONARY,INDUSTRIAL PROCESSES,FOOD AND AGRICULTURE,PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,.00006184,.00011562,.00012535,.00008189,.00008188,.00006351,.00002507,.00004177,.00005623,.00006189,.00006739,.00011949,.00003917,.0000398,.00004426,.00004694,.00004762,.00004832,.00004904,.00004961,v1.03_RF3084
MARIN,STATIONARY,INDUSTRIAL PROCESSES,MINERAL PROCESSES,PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,.04160132,.04876378,.04809602,.04484213,.04280819,.05604123,.0448428,.06744204,.05502847,.03543987,.01541697,.01634905,.02746024,.03346343,.01852585,.02150019,.02833128,.01633381,.01659928,.01685638,.01711908,.01742404,v1.03_RF3084
MARIN,STATIONARY,INDUSTRIAL PROCESSES,METAL PROCESSES,PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,.00001115,.00001115,.00001227,,0,0,,,,,,.00001166,,,,,,,,,,,v1.03_RF3084
MARIN,STATIONARY,INDUSTRIAL PROCESSES,WOOD AND PAPER,PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,.00021588,.00021762,.00024987,.00026353,.00027689,.00028793,.0002891,.00028686,.00028794,.00028852,.00029114,.00029521,.00029849,.00030268,.00030779,.00031156,.00031621,.00032115,.00032588,.0003306,.00033563,.00033948,v1.03_RF3084
MARIN,STATIONARY,INDUSTRIAL PROCESSES,OTHER (INDUSTRIAL PROCESSES),PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,.0386563,.04032957,.03724892,.03745207,.028939,.02922901,.38627017,.37331374,.0735685,.37385279,.32958638,.20931107,.22265608,.12554389,.13606497,.04117727,.04465238,.05817358,.0590322,.05987787,.06038521,.06083086,v1.03_RF3084
MARIN,AREAWIDE,SOLVENT EVAPORATION,CONSUMER PRODUCTS,PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,v1.03_RF3084
MARIN,AREAWIDE,SOLVENT EVAPORATION,ARCHITECTURAL COATINGS AND RELATED PROCESS SOLVENTS,PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,v1.03_RF3084
MARIN,AREAWIDE,SOLVENT EVAPORATION,PESTICIDES/FERTILIZERS,PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,v1.03_RF3084
MARIN,AREAWIDE,SOLVENT EVAPORATION,ASPHALT PAVING / ROOFING,PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,v1.03_RF3084
MARIN,AREAWIDE,MISCELLANEOUS PROCESSES,RESIDENTIAL FUEL COMBUSTION,PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,1.01478057,1.018132,.99118802,.9987509,.97510177,.96912862,.9558559,.96413687,.8803409,.72685513,.60255202,.60451437,.60082942,.6020629,.59105229,.5915845,.59286654,.59607153,.59474434,.59573887,.59493924,.59426925,v1.03_RF3084
MARIN,AREAWIDE,MISCELLANEOUS PROCESSES,FARMING OPERATIONS,PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,.00836104,.00818575,.00818316,.00801251,.00793895,.00791328,.007671,.00769835,.00791842,.00775587,.00802244,.00800537,.00798402,.00796268,.00794484,.00792427,.00790292,.00788508,.00786451,.00784667,.00782533,.00780825,v1.03_RF3084
MARIN,AREAWIDE,MISCELLANEOUS PROCESSES,CONSTRUCTION AND DEMOLITION,PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,.05101909,.04851162,.05111361,.03865535,.03280198,.04513838,.04545238,.04004731,.03893757,.02352919,.0226974,.02341013,.02377518,.02415965,.02453055,.02491502,.02534211,.02577806,.02619888,.02663642,.02707827,.02768389,v1.03_RF3084
MARIN,AREAWIDE,MISCELLANEOUS PROCESSES,PAVED ROAD DUST,PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,.12654406,.12615357,.12970657,.12681843,.12611311,.12393565,.12259988,.12246159,.1184526,.11658728,.1188593,.11815278,.11891018,.12090587,.12371866,.12839084,.12891991,.12945119,.12998465,.13052027,.13105819,.13184507,v1.03_RF3084
MARIN,AREAWIDE,MISCELLANEOUS PROCESSES,UNPAVED ROAD DUST,PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,.07261144,.07270245,.07279346,.07280241,.07281137,.07285687,.07290238,.07290163,.07290088,.07271513,.07252938,.07245777,.07238615,.07238541,.07238466,.07238466,.07238466,.07238466,.07238466,.07238466,.07238466,.07238466,v1.03_RF3084
MARIN,AREAWIDE,MISCELLANEOUS PROCESSES,FUGITIVE WINDBLOWN DUST,PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,.0261142,.02755315,.0289921,.02913364,.02927517,.02999465,.03071412,.03070233,.03069053,.02775366,.02481679,.0236845,.02255222,.02254043,.02252863,.02252863,.02252863,.02252863,.02252863,.02252863,.02252863,.02252863,v1.03_RF3084
MARIN,AREAWIDE,MISCELLANEOUS PROCESSES,FIRES,PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,.00767659,.00763907,.00759277,.00766679,.00778333,.00785454,.00792602,.00796823,.00804411,.00811556,.0081584,.00820252,.00823577,.00830352,.00833969,.00838253,.0084248,.0085053,.00855117,.00858837,.00862566,.00866169,v1.03_RF3084
MARIN,AREAWIDE,MISCELLANEOUS PROCESSES,MANAGED BURNING AND DISPOSAL,PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,.01674825,.12154095,.00797972,.00790965,.00788194,.0854059,.0074765,.00730505,.10140298,.00699764,.14803147,.02640463,.00665635,.02688995,.00672153,.04276692,.00678671,.01106079,.0068193,.03759949,.03763208,.03766467,v1.03_RF3084
MARIN,AREAWIDE,MISCELLANEOUS PROCESSES,COOKING,PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,.09863139,.09917272,.10036366,.1035034,.10577701,.10805064,.1094581,.1104325,.1091333,.09806722,.09649692,.09730107,.09799262,.08990121,.09112674,.09226473,.09375286,.09515348,.09655408,.09804222,.09944283,.10215649,v1.03_RF3084
MARIN,AREAWIDE,MISCELLANEOUS PROCESSES,OTHER (MISCELLANEOUS PROCESSES),PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,.00596056,.00599893,.0060373,.00608207,.00612684,.006178,.00620998,.00624196,.00627393,.00630591,.00633789,.00639545,.00644661,.00650417,.00656173,.00661929,.00667685,.00673441,.00679196,.00684952,.00690708,.00696464,v1.03_RF3084
MARIN,MOBILE,ON-ROAD MOTOR VEHICLES,LIGHT DUTY PASSENGER (LDA),PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,.13250773,.12375266,.12069617,.11133864,.10533367,.09743112,.09189062,.08790664,.08211436,.07971696,.0794071,.07674766,.0755475,.07556188,.07500147,.07668594,.07488086,.07503047,.07549469,.07604717,.07647332,.07677456,v1.03_RF3084
MARIN,MOBILE,ON-ROAD MOTOR VEHICLES,LIGHT DUTY TRUCKS - 1 (LDT1),PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,.02198729,.01985146,.01833947,.01644814,.01454482,.01264603,.01162672,.01070861,.01001256,.00944114,.00937951,.008733,.00840964,.00821777,.00802317,.00863033,.00880036,.00873509,.00868494,.0086606,.00863643,.00860605,v1.03_RF3084
