AREA,SRC_TYPE,CATEGORY,SUBCATEGORY,POLLUTANT,SEASON,CONTROL_TYPE,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,v1.03_RF3084
MARIN,STATIONARY,FUEL COMBUSTION,ELECTRIC UTILITIES,ROG,ANNUAL AVERAGE,GROWN AND CONTROLLED,,,.00002751,.00021918,.00043371,.0000025,.00072839,.00078876,.00075748,.0005441,.00072758,.00013392,.00064068,.00041858,.00047733,.00065988,.00052479,.00046599,.00046649,.00046011,.00045988,.00046631,v1.03_RF3084
MARIN,STATIONARY,FUEL COMBUSTION,COGENERATION,ROG,ANNUAL AVERAGE,GROWN AND CONTROLLED,.00512375,.00005477,.00005534,.0000548,,,,.00575795,.00609325,.00465815,.00608023,.00593724,.00560544,.00050082,.00426396,.00103782,.00153284,.0007982,.00078489,.00078992,.00079506,.00080042,v1.03_RF3084
MARIN,STATIONARY,FUEL COMBUSTION,MANUFACTURING AND INDUSTRIAL,ROG,ANNUAL AVERAGE,GROWN AND CONTROLLED,.01166763,.01120422,.01075462,.01104148,.01201342,.01273789,.01052467,.00943172,.00843443,.00870808,.00891524,.0100156,.00886153,.00900285,.00911185,.00945255,.01059845,.01074032,.01075141,.01076334,.01077633,.01086338,v1.03_RF3084
MARIN,STATIONARY,FUEL COMBUSTION,FOOD AND AGRICULTURAL PROCESSING,ROG,ANNUAL AVERAGE,GROWN AND CONTROLLED,.00023778,.00023778,.00023778,.00023778,.00023778,.00018785,.00018785,.00018785,.00018785,.00018785,.00018785,.00013778,.00023778,.00023778,.00023789,.0082441,.00974525,.00974533,.00974533,.00974534,.00974534,.00974535,v1.03_RF3084
MARIN,STATIONARY,FUEL COMBUSTION,SERVICE AND COMMERCIAL,ROG,ANNUAL AVERAGE,GROWN AND CONTROLLED,.01345889,.00819939,.00964135,.00898577,.00892197,.00914693,.00887147,.01184138,.01982045,.02580362,.02632164,.02716905,.02928832,.02427191,.0331138,.01876646,.03497625,.02297981,.02339136,.02372714,.02391342,.02411381,v1.03_RF3084
MARIN,STATIONARY,FUEL COMBUSTION,OTHER (FUEL COMBUSTION),ROG,ANNUAL AVERAGE,GROWN AND CONTROLLED,.01969673,.01969673,.01542737,.00928117,.00967728,.00624396,.0056536,.00526746,.00548152,.00542242,.00521396,.00481284,.00481284,.00521841,.00549653,.00352252,.00392616,.00418403,.00418567,.00419173,.00332048,.00332633,v1.03_RF3084
MARIN,STATIONARY,WASTE DISPOSAL,SEWAGE TREATMENT,ROG,ANNUAL AVERAGE,GROWN AND CONTROLLED,.01061225,.01161699,.00904362,.00947062,.00943473,.0103195,.01060928,.00786261,.01068757,.00995844,.01254456,.01268534,.01215072,.01283395,.01460267,.00845281,.0140595,.01792258,.01813575,.01833222,.01854952,.01875014,v1.03_RF3084
MARIN,STATIONARY,WASTE DISPOSAL,LANDFILLS,ROG,ANNUAL AVERAGE,GROWN AND CONTROLLED,.09388049,.19992017,.10592362,.10931667,.11251201,.06016777,.07798783,.08687399,.08424105,.08770409,.09152699,.0985708,.09673421,.09324485,.08328784,.12235002,.08384798,.089891,.08980129,.08980129,.08971157,.08962186,v1.03_RF3084
MARIN,STATIONARY,WASTE DISPOSAL,INCINERATORS,ROG,ANNUAL AVERAGE,GROWN AND CONTROLLED,.00002454,.00000463,.00000585,.0000088,.0000081,.19366091,.13221848,.19451386,.19352534,.21504637,.01424831,.01712001,.01712001,.01652638,.01696818,.00928785,.01696834,.01498657,.01497271,.01497342,.0149596,.01494562,v1.03_RF3084
MARIN,STATIONARY,WASTE DISPOSAL,SOIL REMEDIATION,ROG,ANNUAL AVERAGE,GROWN AND CONTROLLED,,.00284937,.00355433,.00005479,.00036366,.00089765,.00014929,.00011292,.00012441,.01029718,.00977274,.01008664,.01008664,.01068954,.00999363,.01441268,.01010376,.01002794,.01017555,.01032315,.01047998,.01059992,v1.03_RF3084
