AREA,SRC_TYPE,CATEGORY,SUBCATEGORY,POLLUTANT,SEASON,CONTROL_TYPE,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,v1.03_RF3084
MARIN,STATIONARY,FUEL COMBUSTION,ELECTRIC UTILITIES,SOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,,,.00000548,.00005479,.00009589,.00000274,.00016438,.00006301,.00001644,.00000548,.00004384,0,0,0,.00000443,.0000049,.00000402,.00000351,.00000352,.00000352,.00000351,.00000353,v1.03_RF3084
MARIN,STATIONARY,FUEL COMBUSTION,COGENERATION,SOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,.00002192,.0000274,.00002192,.00002192,,,,.0000411,.00003562,.00003562,.0000411,.0000411,.0000411,.00001644,.00003485,.00003569,.00002287,.00007005,.00006815,.00006844,.00006874,.00006906,v1.03_RF3084
MARIN,STATIONARY,FUEL COMBUSTION,MANUFACTURING AND INDUSTRIAL,SOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,.00294993,.00247549,.00241565,.00255534,.00272973,.00273609,.0024014,.00215348,.0018681,.00193227,.0019663,.00278759,.00204796,.00207272,.00209637,.00204787,.00298347,.00219349,.00221324,.00223376,.00225431,.00227312,v1.03_RF3084
MARIN,STATIONARY,FUEL COMBUSTION,FOOD AND AGRICULTURAL PROCESSING,SOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.00000021,.00697059,.00697077,.00697087,.00697087,.00697088,.00697088,.0069709,v1.03_RF3084
MARIN,STATIONARY,FUEL COMBUSTION,SERVICE AND COMMERCIAL,SOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,.0502579,.008894,.00873953,.00896399,.00483563,.0126605,.00588922,.0081868,.01784762,.08350169,.01334779,.01432534,.01604299,.01285377,.02590769,.01173657,.01250565,.00411973,.00417053,.00422014,.00426197,.00430313,v1.03_RF3084
MARIN,STATIONARY,FUEL COMBUSTION,OTHER (FUEL COMBUSTION),SOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,0,0,.00001644,0,0,.00005753,0,0,.00005753,.00005837,.00005837,.00005815,.00005814,.00005829,.00005881,.00005919,.00005968,v1.03_RF3084
MARIN,STATIONARY,WASTE DISPOSAL,SEWAGE TREATMENT,SOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,.00024658,.00027397,.00024658,.0002685,.0000548,.00073973,.00073973,.00036712,.00035616,.00056987,.00090137,.00120822,.0012137,.00311233,.00143862,.0019993,.00148743,.00190747,.00193599,.00196324,.00199301,.00202153,v1.03_RF3084
MARIN,STATIONARY,WASTE DISPOSAL,LANDFILLS,SOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,v1.03_RF3084
MARIN,STATIONARY,WASTE DISPOSAL,INCINERATORS,SOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,.00274521,0,.00000274,.00000274,.00000274,.00516712,.01272055,.12430411,.12366028,.13020001,.13021096,.13061644,.13062192,.12623015,.12613207,.12613912,.12618319,.10689513,.10679453,.1068001,.10669983,.10659816,v1.03_RF3084
MARIN,STATIONARY,WASTE DISPOSAL,SOIL REMEDIATION,SOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,v1.03_RF3084
