AREA,SRC_TYPE,CATEGORY,SUBCATEGORY,POLLUTANT,SEASON,CONTROL_TYPE,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,v1.03_RF3084
MARIN,STATIONARY,FUEL COMBUSTION,ELECTRIC UTILITIES,TOG,ANNUAL AVERAGE,GROWN AND CONTROLLED,,,.00003288,.00027397,.00054521,.0000274,.00104383,.00096712,.00104932,.00076987,.00107946,.00019178,.00084383,.00058082,.00066523,.00075397,.00076194,.00059366,.00059481,.00058821,.0005886,.00059658,v1.03_RF3084
MARIN,STATIONARY,FUEL COMBUSTION,COGENERATION,TOG,ANNUAL AVERAGE,GROWN AND CONTROLLED,.05599726,.00065753,.00060548,.00060548,,,,.06299726,.06666575,.05096439,.06652328,.0649589,.06132876,.00547945,.0457998,.03539919,.01646431,.00857355,.00843063,.00848461,.00853986,.0085974,v1.03_RF3084
MARIN,STATIONARY,FUEL COMBUSTION,MANUFACTURING AND INDUSTRIAL,TOG,ANNUAL AVERAGE,GROWN AND CONTROLLED,.02484255,.02393277,.02310529,.02423504,.02614037,.02720174,.0237759,.02134174,.01914056,.0197543,.02024749,.02250173,.02001849,.020264,.02068359,.02077253,.0273468,.02693844,.02708523,.02723959,.02739549,.02762686,v1.03_RF3084
MARIN,STATIONARY,FUEL COMBUSTION,FOOD AND AGRICULTURAL PROCESSING,TOG,ANNUAL AVERAGE,GROWN AND CONTROLLED,.00039985,.00039985,.00039985,.00039985,.00039985,.0003,.0003,.0003,.0003,.0003,.0003,.00019985,.00039985,.00039985,.00040009,.1025187,.10251893,.10251912,.10251912,.10251913,.10251913,.10251915,v1.03_RF3084
MARIN,STATIONARY,FUEL COMBUSTION,SERVICE AND COMMERCIAL,TOG,ANNUAL AVERAGE,GROWN AND CONTROLLED,.07553008,.0252153,.027941,.02695598,.02606311,.02597718,.02558572,.06100346,.12990124,.14960422,.16185868,.16787245,.16895489,.12035369,.20989863,.13589933,.20015748,.10986394,.1115104,.1130186,.11417053,.11538675,v1.03_RF3084
MARIN,STATIONARY,FUEL COMBUSTION,OTHER (FUEL COMBUSTION),TOG,ANNUAL AVERAGE,GROWN AND CONTROLLED,.02242086,.02242086,.01756104,.0105648,.01101569,.00710752,.00643551,.00599704,.00623964,.00617242,.00642485,.00547854,.00547854,.00643197,.00643427,.00494446,.00494132,.00494025,.00494255,.00495103,.00396043,.00396862,v1.03_RF3084
MARIN,STATIONARY,WASTE DISPOSAL,SEWAGE TREATMENT,TOG,ANNUAL AVERAGE,GROWN AND CONTROLLED,.01481097,.01619178,.01599452,.01670137,.01668219,.01825753,.01876986,.01390137,.01941918,.01784109,.02292603,.02336713,.02242192,.02398081,.02294176,.01960365,.02239988,.0278006,.02814354,.02846066,.02881186,.02913727,v1.03_RF3084
MARIN,STATIONARY,WASTE DISPOSAL,LANDFILLS,TOG,ANNUAL AVERAGE,GROWN AND CONTROLLED,14.42146675,15.49778089,16.04903293,16.56473352,17.04727364,9.11632862,11.81633703,13.162726,12.76379655,13.2884988,13.86772588,14.93497005,14.65669898,14.12800866,12.61937084,12.85876649,12.70423958,13.61984828,13.60625638,13.60625638,13.59266348,13.57907061,v1.03_RF3084
MARIN,STATIONARY,WASTE DISPOSAL,INCINERATORS,TOG,ANNUAL AVERAGE,GROWN AND CONTROLLED,.00014521,.0000274,.00003562,.00005206,.00004932,.40517533,.27663288,.40695614,.40490138,.44991779,.02986029,.03586028,.03586028,.03466027,.03402465,.03403162,.03402434,.02999971,.02997212,.02997364,.02994609,.02991835,v1.03_RF3084
MARIN,STATIONARY,WASTE DISPOSAL,SOIL REMEDIATION,TOG,ANNUAL AVERAGE,GROWN AND CONTROLLED,,.00408219,.01515342,.00007671,.00052055,.00128493,.0002137,.00016164,.00017808,.01473973,.01398904,.01443835,.01443836,.01530137,.01430523,.01442133,.01446287,.01435434,.01456563,.01477691,.01500141,.01517309,v1.03_RF3084
