src_type,category,subcategory,year,co,nh3,nox,pm,pm10,pm2_5,rog,sox,tog
STATIONARY,FUEL COMBUSTION,ELECTRIC UTILITIES,2000,0.04957534,0.02260959,0.03012055,0.0,0.0,0.0,0.02170562,0.00103836,0.23700823
STATIONARY,FUEL COMBUSTION,COGENERATION,2000,0.28246756,0.00010323,0.11005097,0.00099998,0.00045329,0.00041999,0.04105499,0.00013142,0.44952878
STATIONARY,FUEL COMBUSTION,OIL AND GAS PRODUCTION (COMBUSTION),2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
STATIONARY,FUEL COMBUSTION,MANUFACTURING AND INDUSTRIAL,2000,6.09019861,0.20400992,1.98315529,0.0809867,0.08065097,0.0804568,0.12765903,0.02172124,0.65006837
STATIONARY,FUEL COMBUSTION,FOOD AND AGRICULTURAL PROCESSING,2000,0.09014566,0.0,0.08202142,0.00518927,0.00490023,0.00490023,0.01087576,0.00055069,0.03216564
STATIONARY,FUEL COMBUSTION,SERVICE AND COMMERCIAL,2000,3.81645056,0.0663116,6.14271353,0.12993357,0.12932425,0.12926369,0.51232671,0.0418951,2.62533024
STATIONARY,FUEL COMBUSTION,OTHER (FUEL COMBUSTION),2000,0.26894004,0.0,1.27969184,0.04603883,0.0422692,0.03688577,0.14207391,0.07831448,0.18106725
STATIONARY,WASTE DISPOSAL,SEWAGE TREATMENT,2000,0.0,0.03861009,0.00082192,0.00027397,5.479e-05,2.74e-05,0.03621648,0.00136986,0.05055343
STATIONARY,WASTE DISPOSAL,LANDFILLS,2000,0.0,0.31254712,0.0,0.00515115,0.00252046,0.00037809,1.54691834,0.0,112.14534132
STATIONARY,WASTE DISPOSAL,INCINERATORS,2000,0.03475069,0.0,0.10185479,0.01300273,0.00535142,0.00425219,0.00432883,0.00347946,0.02630684
STATIONARY,WASTE DISPOSAL,SOIL REMEDIATION,2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
STATIONARY,WASTE DISPOSAL,OTHER (WASTE DISPOSAL),2000,0.00027397,0.29491577,0.08938355,0.00082192,0.00024658,0.00016438,2.00549159,0.0,24.71795293
STATIONARY,CLEANING AND SURFACE COATINGS,LAUNDERING,2000,0.0,0.0,0.0,0.0,0.0,0.0,0.01122681,0.0,0.27481254
STATIONARY,CLEANING AND SURFACE COATINGS,DEGREASING,2000,0.0,0.0,0.0,0.0,0.0,0.0,1.44281835,0.0,4.06126666
STATIONARY,CLEANING AND SURFACE COATINGS,COATINGS AND RELATED PROCESS SOLVENTS,2000,0.09766299,0.00806716,0.1025976,0.15585696,0.1501958,0.14438944,5.46580614,0.04289041,6.14200249
STATIONARY,CLEANING AND SURFACE COATINGS,PRINTING,2000,0.0,0.0,0.0,0.0,0.0,0.0,0.31411201,0.0,0.31398925
STATIONARY,CLEANING AND SURFACE COATINGS,ADHESIVES AND SEALANTS,2000,0.0,0.0,0.0,0.0,0.0,0.0,1.01573117,0.0,1.15046665
STATIONARY,CLEANING AND SURFACE COATINGS,OTHER (CLEANING AND SURFACE COATINGS),2000,0.0,0.0,0.0,0.0,0.0,0.0,0.15543286,0.0,0.15630567
STATIONARY,PETROLEUM PRODUCTION AND MARKETING,OIL AND GAS PRODUCTION,2000,0.0,1.92e-06,0.0,0.0,0.0,0.0,0.00085671,0.0,0.00109589
STATIONARY,PETROLEUM PRODUCTION AND MARKETING,PETROLEUM REFINING,2000,6.8e-07,0.0,2.74e-06,2.7e-07,1.6e-07,1.5e-07,0.00019181,9.7e-07,0.00015619
STATIONARY,PETROLEUM PRODUCTION AND MARKETING,PETROLEUM MARKETING,2000,0.0,0.00010685,0.002,0.03004657,0.02885072,0.02778106,3.01856718,0.0008411,6.97696582
STATIONARY,PETROLEUM PRODUCTION AND MARKETING,OTHER (PETROLEUM PRODUCTION AND MARKETING),2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0050958,0.0,0.00575342
STATIONARY,INDUSTRIAL PROCESSES,CHEMICAL,2000,0.0,0.02795108,0.0,0.00591994,0.00684835,0.00749241,1.44561549,0.0,1.67537404
STATIONARY,INDUSTRIAL PROCESSES,FOOD AND AGRICULTURE,2000,0.0,0.0,0.00023602,0.08154013,0.03419923,0.00499233,0.0967534,0.0,0.10152812
