AREA,SRC_TYPE,CATEGORY,SUBCATEGORY,POLLUTANT,SEASON,CONTROL_TYPE,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,v1.03_RF3084
RIVERSIDE,STATIONARY,FUEL COMBUSTION,ELECTRIC UTILITIES,COT,ANNUAL AVERAGE,GROWN AND CONTROLLED,.04957534,.02424658,.10116732,.78626293,.1157946,.10398356,.16536439,.16536439,.15271121,.28256225,.65240338,.76733697,.31033952,.39825139,.14494797,.3824014,.32588178,.39699131,.40229387,.3874044,.43332683,.43221052,v1.03_RF3084
RIVERSIDE,STATIONARY,FUEL COMBUSTION,COGENERATION,COT,ANNUAL AVERAGE,GROWN AND CONTROLLED,.28246756,.08250042,.00730865,.00730865,.01862782,.01362372,.01339631,.01339631,.00653123,.01015029,.01438276,.01184671,.0358278,.02375005,.01297488,.01562211,.00975235,.01117025,.01165658,.01228638,.01276882,.01325665,v1.03_RF3084
RIVERSIDE,STATIONARY,FUEL COMBUSTION,OIL AND GAS PRODUCTION (COMBUSTION),COT,ANNUAL AVERAGE,GROWN AND CONTROLLED,,.54043841,.54046124,,,,,,,,,,,,,,,,,,,,v1.03_RF3084
RIVERSIDE,STATIONARY,FUEL COMBUSTION,MANUFACTURING AND INDUSTRIAL,COT,ANNUAL AVERAGE,GROWN AND CONTROLLED,6.09019861,6.22269108,5.86574555,5.7121586,5.94403371,5.81866111,6.16931433,6.21914891,5.96565311,5.30714229,4.99390129,4.80564646,4.04227138,4.20735523,4.21209785,4.27882234,4.31322213,4.40011639,4.4381539,4.47515707,4.47864143,4.46590064,v1.03_RF3084
RIVERSIDE,STATIONARY,FUEL COMBUSTION,FOOD AND AGRICULTURAL PROCESSING,COT,ANNUAL AVERAGE,GROWN AND CONTROLLED,.09014566,.11415936,.08379904,.06194425,.06113765,.06150476,.09616674,.09577174,.07969279,.047548,.04751003,.02083508,.14170495,.14628666,.0241682,.02447699,.02720717,.03154283,.03188682,.03234191,.03270621,.03314586,v1.03_RF3084
RIVERSIDE,STATIONARY,FUEL COMBUSTION,SERVICE AND COMMERCIAL,COT,ANNUAL AVERAGE,GROWN AND CONTROLLED,3.81645056,2.87773116,2.77297613,2.72406359,2.77808286,3.02951985,3.06699211,3.08009508,3.32529461,3.34816608,3.36038676,3.09372834,2.93844362,3.05501686,2.90666461,3.02421296,2.92754987,3.05333199,3.0696396,3.1758989,3.05869518,3.06343314,v1.03_RF3084
RIVERSIDE,STATIONARY,FUEL COMBUSTION,OTHER (FUEL COMBUSTION),COT,ANNUAL AVERAGE,GROWN AND CONTROLLED,.26894004,.26602611,.30316122,.19253709,.20730263,.15730381,.14571355,.13792383,.13575567,.1373676,.1233926,.12344315,.34545305,.32847164,.333984,.29864719,.20107047,.09950972,.09973484,.10045827,.0853721,.08545724,v1.03_RF3084
RIVERSIDE,STATIONARY,WASTE DISPOSAL,SEWAGE TREATMENT,COT,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,.00000274,.00000548,.00000548,.00007238,.02610959,0,.00004392,.00005047,.00004986,.00037989,.00036589,.00444805,.00334325,.00340528,.0034673,.00353274,.00359478,v1.03_RF3084
RIVERSIDE,STATIONARY,WASTE DISPOSAL,LANDFILLS,COT,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,.00024,.00024,.00220384,.0049863,.0092685,.0092685,.02685085,.00336986,.00509742,.04727559,.04586186,.02117855,.03319967,.0090418,.00635616,.02591781,.02641978,.02692176,.02745016,.02795213,v1.03_RF3084
RIVERSIDE,STATIONARY,WASTE DISPOSAL,INCINERATORS,COT,ANNUAL AVERAGE,GROWN AND CONTROLLED,.03475069,.02583561,.01454328,.01454328,.01809881,.0170904,.02004383,.02004383,.01629272,.01555816,.0084248,.01792666,.01540362,.01363327,.00598053,.0064792,.00367917,.00512971,.00525693,.00538948,.00552142,.00565055,v1.03_RF3084
RIVERSIDE,STATIONARY,WASTE DISPOSAL,SOIL REMEDIATION,COT,ANNUAL AVERAGE,GROWN AND CONTROLLED,,,,,,,.00195616,.00195616,,,,,0,,,,,,,,,,v1.03_RF3084
RIVERSIDE,STATIONARY,WASTE DISPOSAL,OTHER (WASTE DISPOSAL),COT,ANNUAL AVERAGE,GROWN AND CONTROLLED,.00027397,.00027397,0,0,0,0,.00938082,.00938082,.00832942,.00824658,0,0,0,0,.00014885,.00001337,0,0,0,0,0,0,v1.03_RF3084
RIVERSIDE,STATIONARY,CLEANING AND SURFACE COATINGS,LAUNDERING,COT,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,v1.03_RF3084
RIVERSIDE,STATIONARY,CLEANING AND SURFACE COATINGS,DEGREASING,COT,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,v1.03_RF3084
RIVERSIDE,STATIONARY,CLEANING AND SURFACE COATINGS,COATINGS AND RELATED PROCESS SOLVENTS,COT,ANNUAL AVERAGE,GROWN AND CONTROLLED,.09766299,.12301363,.01931233,.01931233,.00304685,.00370685,.00323836,.00323836,.00330989,.00263014,.0000286,.00274197,.00256386,.0024823,.00244759,.00214737,.00219178,.00216438,.00221307,.00226176,.00231045,.00235692,v1.03_RF3084
RIVERSIDE,STATIONARY,CLEANING AND SURFACE COATINGS,PRINTING,COT,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,v1.03_RF3084
RIVERSIDE,STATIONARY,CLEANING AND SURFACE COATINGS,ADHESIVES AND SEALANTS,COT,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,v1.03_RF3084
RIVERSIDE,STATIONARY,CLEANING AND SURFACE COATINGS,OTHER (CLEANING AND SURFACE COATINGS),COT,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,0,0,0,0,.00024167,.00039858,.00051211,.00123036,0,0,0,0,0,0,0,0,0,v1.03_RF3084
RIVERSIDE,STATIONARY,PETROLEUM PRODUCTION AND MARKETING,OIL AND GAS PRODUCTION,COT,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,v1.03_RF3084
RIVERSIDE,STATIONARY,PETROLEUM PRODUCTION AND MARKETING,PETROLEUM REFINING,COT,ANNUAL AVERAGE,GROWN AND CONTROLLED,.00000068,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,v1.03_RF3084
