AREA,SRC_TYPE,CATEGORY,SUBCATEGORY,POLLUTANT,SEASON,CONTROL_TYPE,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,v1.03_RF3084
RIVERSIDE,STATIONARY,FUEL COMBUSTION,ELECTRIC UTILITIES,NH3,ANNUAL AVERAGE,GROWN AND CONTROLLED,.02260959,.02260959,.02466326,.02478381,.04055217,.07899099,.09027349,.09039404,.0975366,.36971507,.61585298,.53682611,.63780498,.42491775,.51931982,.38772326,.23955228,.23733593,.24152908,.23098818,.26552924,.26517135,v1.03_RF3084
RIVERSIDE,STATIONARY,FUEL COMBUSTION,COGENERATION,NH3,ANNUAL AVERAGE,GROWN AND CONTROLLED,.00010323,.00010323,.0019283,.0019283,.00401967,.00086955,.00140373,.00140373,.00030173,.00043568,.00126014,.00049713,.00142668,.00095777,.00054856,.00064334,.00041999,.00046259,.00048269,.00051207,.00053041,.00054951,v1.03_RF3084
RIVERSIDE,STATIONARY,FUEL COMBUSTION,OIL AND GAS PRODUCTION (COMBUSTION),NH3,ANNUAL AVERAGE,GROWN AND CONTROLLED,,0,0,,,,,,,,,,,,,,,,,,,,v1.03_RF3084
RIVERSIDE,STATIONARY,FUEL COMBUSTION,MANUFACTURING AND INDUSTRIAL,NH3,ANNUAL AVERAGE,GROWN AND CONTROLLED,.20400992,.19781606,.2462216,.23983419,.26049615,.25255835,.26284631,.26381411,.23998457,.21497053,.96221958,.21443593,.21089989,.2198029,.21779585,.22373898,.22157699,.25155959,.25398925,.25625874,.25691456,.25679826,v1.03_RF3084
RIVERSIDE,STATIONARY,FUEL COMBUSTION,FOOD AND AGRICULTURAL PROCESSING,NH3,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,.01242974,.01242974,.00468078,.00494606,.00726425,.00726425,.00544975,.00516732,.00387418,.00443609,.01254839,.01321493,.00423092,.00385831,.00463416,.00740571,.00754161,.00768239,.00782697,.007964,v1.03_RF3084
RIVERSIDE,STATIONARY,FUEL COMBUSTION,SERVICE AND COMMERCIAL,NH3,ANNUAL AVERAGE,GROWN AND CONTROLLED,.0663116,.07437826,.08859671,.08861276,.10234552,.09134242,.09709479,.09709763,.10883523,.10534688,.11066591,.10970122,.13129527,.12939371,.10977601,.10951486,.10748631,.10899185,.10989934,.1127777,.11094351,.11134075,v1.03_RF3084
RIVERSIDE,STATIONARY,FUEL COMBUSTION,OTHER (FUEL COMBUSTION),NH3,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,.0012137,.0012137,.00401054,.00269856,.0021159,.0021159,.00006015,.00265467,.00000049,.00000059,.00000022,.00000045,.05454591,.11513709,.13967047,.11966653,.11968828,.11970761,.11972694,.11974386,v1.03_RF3084
RIVERSIDE,STATIONARY,WASTE DISPOSAL,SEWAGE TREATMENT,NH3,ANNUAL AVERAGE,GROWN AND CONTROLLED,.03861009,.03991853,.04122699,.04356422,.04568702,.04780982,.04993262,.05205541,.05352498,.05499455,.05909374,.06059241,.05853117,.06303815,.05603882,.05963632,.06401006,.06852958,.0708341,.07323146,.07565296,.07805032,v1.03_RF3084
RIVERSIDE,STATIONARY,WASTE DISPOSAL,LANDFILLS,NH3,ANNUAL AVERAGE,GROWN AND CONTROLLED,.31254712,.31254712,.31254712,.31254712,.31254712,.31254712,.31254712,.31254712,.31254712,.31254712,.31254712,.31254712,.29522466,.29874716,.30226971,.30550203,.30915055,.35816356,.3632966,.36849235,.37394747,.37914316,v1.03_RF3084
RIVERSIDE,STATIONARY,WASTE DISPOSAL,INCINERATORS,NH3,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,.00684329,.00684329,.007807,.00519544,.00561453,.00561453,.0067943,.0067215,.00334411,.00758588,.00492602,.00448483,.00267883,.00298119,.00161196,.00227983,.00233588,.00239408,.00245215,.00250882,v1.03_RF3084
