AREA,SRC_TYPE,CATEGORY,SUBCATEGORY,POLLUTANT,SEASON,CONTROL_TYPE,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,v1.03_RF3084
RIVERSIDE,STATIONARY,FUEL COMBUSTION,ELECTRIC UTILITIES,NOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,.03012055,.01115069,.64726739,.68945095,.7780896,.64682741,.64701641,.68919997,.77795093,.78442356,.97146897,.86276328,.93603907,.8976997,.82059165,.78821338,.76238309,1.00163387,.99041986,1.20265858,1.32063294,1.29862334,v1.03_RF3084
RIVERSIDE,STATIONARY,FUEL COMBUSTION,COGENERATION,NOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,.11005097,.06002813,.0193767,.01937325,.02019516,.01793002,.0129848,.0129848,.00669254,.00856553,.01255913,.08389291,.18759471,.14469963,.03732681,.04587578,.02782875,.03195244,.0093654,.02836665,.02206145,.02040596,v1.03_RF3084
RIVERSIDE,STATIONARY,FUEL COMBUSTION,OIL AND GAS PRODUCTION (COMBUSTION),NOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,,5.00375319,5.00375509,,,,,,,,,,,,,,,,,,,,v1.03_RF3084
RIVERSIDE,STATIONARY,FUEL COMBUSTION,MANUFACTURING AND INDUSTRIAL,NOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,1.98315529,1.74498372,1.52614719,1.48733065,1.3066097,1.17096356,1.23807606,1.2273384,1.01223871,.83438447,.80118456,.79674254,.78046719,.86986777,.74603767,.76604016,.76808035,.78053416,.74409585,.78038881,.75831693,.75774162,v1.03_RF3084
RIVERSIDE,STATIONARY,FUEL COMBUSTION,FOOD AND AGRICULTURAL PROCESSING,NOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,.08202142,.08247895,.09938312,.09956942,.10573026,.10976439,.15602372,.1548189,.08095456,.0550571,.04778511,.04533942,.11143565,.15303045,.04848492,.03669889,.03166374,.02833752,.02841915,.0284271,.0285205,.02850355,v1.03_RF3084
RIVERSIDE,STATIONARY,FUEL COMBUSTION,SERVICE AND COMMERCIAL,NOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,6.14271353,2.94752974,1.99734635,1.94257485,2.21450548,2.09516357,2.06753515,2.06571943,2.81019349,2.62389432,2.54260232,2.03697758,2.5714172,2.52673538,2.17215783,2.37188639,2.20884105,2.43662831,2.37232684,2.49845745,2.43981074,2.43782219,v1.03_RF3084
RIVERSIDE,STATIONARY,FUEL COMBUSTION,OTHER (FUEL COMBUSTION),NOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,1.27969184,1.25958548,.5857917,.42449726,.54931199,.52617401,.48953915,.46588663,.46763567,.47551179,.42823634,.42826559,.46742033,.4720256,.4837331,.4049616,.36708682,.35326952,.35342788,.35368626,.29455725,.29468583,v1.03_RF3084
RIVERSIDE,STATIONARY,WASTE DISPOSAL,SEWAGE TREATMENT,NOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,.00082192,.00082192,.00082192,.00164384,.00082192,.00083562,.00083836,.00083836,.00179918,.00512329,.00082192,.00148263,.00075699,.00076712,.00014836,.00009456,.00069139,.00052054,.00053029,.00054003,.00055031,.00056005,v1.03_RF3084
RIVERSIDE,STATIONARY,WASTE DISPOSAL,LANDFILLS,NOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,.01391781,.01391781,.01187945,.02105753,.03118631,.03118631,.01979454,.01704109,.01538,.02627293,.03573589,.04550965,.02048783,.03077872,.02345206,.01638356,.01670087,.01701819,.01735222,.01766953,v1.03_RF3084
RIVERSIDE,STATIONARY,WASTE DISPOSAL,INCINERATORS,NOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,.10185479,.03671232,.0644948,.0644948,.06635684,.07008493,.06346026,.06346026,.06243073,.06304467,.03441701,.05682608,.05671245,.04390648,.01745137,.0180952,.00994597,.01658136,.01370205,.01390603,.01402676,.0141706,v1.03_RF3084
