AREA,SRC_TYPE,CATEGORY,SUBCATEGORY,POLLUTANT,SEASON,CONTROL_TYPE,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,v1.03_RF3084
RIVERSIDE,STATIONARY,FUEL COMBUSTION,ELECTRIC UTILITIES,PM,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,.02938276,.06678002,.03716841,.02628219,.03768221,.07507947,.06932434,.10329407,.30199884,.24849884,.21914262,.18253584,.09160847,.07515761,.04300571,.22610221,.22897134,.21771112,.24900076,.24737497,v1.03_RF3084
RIVERSIDE,STATIONARY,FUEL COMBUSTION,COGENERATION,PM,ANNUAL AVERAGE,GROWN AND CONTROLLED,.00099998,.00099998,.00276162,.00276162,.0014019,.00214793,.00206573,.00206573,.00142051,.00153173,.00178328,.00173242,.00387511,.00278223,.00196981,.00206709,.00150883,.00162124,.00168739,.00183162,.00186886,.00191631,v1.03_RF3084
RIVERSIDE,STATIONARY,FUEL COMBUSTION,OIL AND GAS PRODUCTION (COMBUSTION),PM,ANNUAL AVERAGE,GROWN AND CONTROLLED,,.01561644,.01562026,,,,,,,,,,,,,,,,,,,,v1.03_RF3084
RIVERSIDE,STATIONARY,FUEL COMBUSTION,MANUFACTURING AND INDUSTRIAL,PM,ANNUAL AVERAGE,GROWN AND CONTROLLED,.0809867,.0969242,.06849147,.06761979,.08176378,.08299211,.10098758,.10119814,.06742582,.04938028,.23139485,.05417735,.05724463,.07776752,.05433387,.05559028,.05368595,.05439359,.05508876,.05576792,.0561707,.05644791,v1.03_RF3084
RIVERSIDE,STATIONARY,FUEL COMBUSTION,FOOD AND AGRICULTURAL PROCESSING,PM,ANNUAL AVERAGE,GROWN AND CONTROLLED,.00518927,.00682491,.00858945,.00860589,.00389186,.00467833,.00850572,.00830548,.00362448,.00288692,.00271849,.00268825,.00342822,.00369828,.00282315,.00322377,.00341525,.00413267,.00418902,.00424679,.00420549,.00426142,v1.03_RF3084
RIVERSIDE,STATIONARY,FUEL COMBUSTION,SERVICE AND COMMERCIAL,PM,ANNUAL AVERAGE,GROWN AND CONTROLLED,.12993357,.15854152,.10742886,.11273754,.14316548,.13427975,.13644353,.13743974,.1563586,.15191718,.17313688,.1489801,.16943406,.17614404,.15590795,.16397095,.15841821,.16543624,.16667291,.17185547,.16792547,.16865281,v1.03_RF3084
RIVERSIDE,STATIONARY,FUEL COMBUSTION,OTHER (FUEL COMBUSTION),PM,ANNUAL AVERAGE,GROWN AND CONTROLLED,.04603883,.12140232,.02699055,.01938023,.02261099,.02079867,.01882097,.01807368,.01727527,.01672177,.01473048,.01475703,.01633518,.01544605,.04549695,.05953945,.06226612,.06287686,.06409517,.06559018,.06362826,.06477241,v1.03_RF3084
RIVERSIDE,STATIONARY,WASTE DISPOSAL,SEWAGE TREATMENT,PM,ANNUAL AVERAGE,GROWN AND CONTROLLED,.00027397,.00027397,.00027397,.00054795,.00027397,.00027397,.00027397,.00027397,.00027493,.00027738,.00027397,.00027455,.00000066,.0000001,0,0,.00021917,.00016442,.00016727,.00017012,.00017314,.00017598,v1.03_RF3084
RIVERSIDE,STATIONARY,WASTE DISPOSAL,LANDFILLS,PM,ANNUAL AVERAGE,GROWN AND CONTROLLED,.00515115,.00515115,.01909636,.01909636,.04811252,.05503609,.05586621,.05586621,.01739058,.02304156,.00920375,.01521923,.01965498,.02836651,.02786409,.02089264,.01968686,.02236829,.02281145,.02327261,.02374159,.02420275,v1.03_RF3084
RIVERSIDE,STATIONARY,WASTE DISPOSAL,INCINERATORS,PM,ANNUAL AVERAGE,GROWN AND CONTROLLED,.01300273,.00597261,.00633235,.00633235,.00662221,.00695069,.00696987,.00696987,.00577298,.00536145,.00425525,.00444987,.00439179,.00412159,.00129593,.00140098,.00071855,.00100291,.00102693,.0010519,.00107678,.00110111,v1.03_RF3084
