AREA,SRC_TYPE,CATEGORY,SUBCATEGORY,POLLUTANT,SEASON,CONTROL_TYPE,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,v1.03_RF3084
RIVERSIDE,STATIONARY,FUEL COMBUSTION,ELECTRIC UTILITIES,PM10,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,.02926329,.06643872,.03662509,.02596928,.03726229,.07443517,.06870757,.10262148,.27870236,.24570471,.21779949,.1813282,.09106564,.07481746,.04283801,.25758652,.26077013,.24785251,.28336629,.28141851,v1.03_RF3084
RIVERSIDE,STATIONARY,FUEL COMBUSTION,COGENERATION,PM10,ANNUAL AVERAGE,GROWN AND CONTROLLED,.00045329,.00045329,.00220436,.00220665,.0008528,.00159435,.00151265,.00151265,.00086913,.00103505,.00130192,.00124757,.00324776,.00223514,.00139438,.00156175,.00100985,.00113488,.00118283,.00126785,.00130438,.00134511,v1.03_RF3084
RIVERSIDE,STATIONARY,FUEL COMBUSTION,OIL AND GAS PRODUCTION (COMBUSTION),PM10,ANNUAL AVERAGE,GROWN AND CONTROLLED,,.01095962,.01499545,,,,,,,,,,,,,,,,,,,,v1.03_RF3084
RIVERSIDE,STATIONARY,FUEL COMBUSTION,MANUFACTURING AND INDUSTRIAL,PM10,ANNUAL AVERAGE,GROWN AND CONTROLLED,.08065097,.0966776,.06811179,.06732306,.08135227,.082767,.10036766,.10060572,.06650544,.04909724,.14872054,.0539694,.05690525,.07662911,.05390652,.05517621,.05328608,.05396368,.05464991,.05532002,.05571361,.05598187,v1.03_RF3084
RIVERSIDE,STATIONARY,FUEL COMBUSTION,FOOD AND AGRICULTURAL PROCESSING,PM10,ANNUAL AVERAGE,GROWN AND CONTROLLED,.00490023,.00640701,.00825763,.00833327,.00363345,.00441748,.00818637,.00802285,.00338709,.00266848,.00253171,.00253196,.00330807,.00357784,.00265911,.00307337,.0031884,.00390596,.00396154,.00401852,.00399647,.00405166,v1.03_RF3084
RIVERSIDE,STATIONARY,FUEL COMBUSTION,SERVICE AND COMMERCIAL,PM10,ANNUAL AVERAGE,GROWN AND CONTROLLED,.12932425,.15785074,.10725659,.11243678,.14244933,.13407093,.13675423,.13775577,.15601835,.15125769,.17181193,.15334555,.16889355,.17573359,.15565001,.16367652,.1581439,.16433555,.16556362,.1707377,.16679745,.16751612,v1.03_RF3084
RIVERSIDE,STATIONARY,FUEL COMBUSTION,OTHER (FUEL COMBUSTION),PM10,ANNUAL AVERAGE,GROWN AND CONTROLLED,.0422692,.09548657,.02591397,.01829745,.02152396,.01971649,.01773732,.01698931,.01618597,.01573614,.01378609,.01380492,.01511605,.01437867,.04320047,.05668478,.05938219,.05988508,.06102339,.06235611,.06034672,.06143381,v1.03_RF3084
RIVERSIDE,STATIONARY,WASTE DISPOSAL,SEWAGE TREATMENT,PM10,ANNUAL AVERAGE,GROWN AND CONTROLLED,.00005479,.00005479,.00005205,.00010685,.00005205,.00005205,.00005205,.00005205,.00005301,.00005546,.00005205,.00005263,.00000066,.0000001,0,0,.00017479,.00012001,.00012227,.00012453,.00012691,.00012917,v1.03_RF3084
RIVERSIDE,STATIONARY,WASTE DISPOSAL,LANDFILLS,PM10,ANNUAL AVERAGE,GROWN AND CONTROLLED,.00252046,.00252046,.00517005,.00515053,.01175032,.01759315,.02184969,.02184969,.01475989,.02041087,.00657306,.01258854,.01712547,.02581676,.02527426,.01830242,.01707641,.0186123,.01897763,.01935179,.01973758,.02011173,v1.03_RF3084
RIVERSIDE,STATIONARY,WASTE DISPOSAL,INCINERATORS,PM10,ANNUAL AVERAGE,GROWN AND CONTROLLED,.00535142,.00389856,.00384522,.00391782,.00448796,.00507699,.00430055,.00430055,.00397114,.00361076,.00233628,.00379233,.0035063,.00322684,.00129593,.00140098,.00071855,.00100291,.00102693,.0010519,.00107678,.00110111,v1.03_RF3084
