AREA,SRC_TYPE,CATEGORY,SUBCATEGORY,POLLUTANT,SEASON,CONTROL_TYPE,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,v1.03_RF3084
RIVERSIDE,STATIONARY,FUEL COMBUSTION,ELECTRIC UTILITIES,PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,.02922337,.06630008,.03635039,.02581909,.03706485,.07416293,.06844047,.10238166,.2580388,.24458101,.21727863,.18083512,.09074396,.07459278,.04256273,.25724086,.26041981,.24751909,.28298459,.28103898,v1.03_RF3084
RIVERSIDE,STATIONARY,FUEL COMBUSTION,COGENERATION,PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,.00041999,.00041999,.00216754,.00217335,.00081869,.00155876,.00147722,.00147722,.00083487,.00100377,.00127111,.00121664,.00320505,.00219887,.0013578,.00152908,.00097848,.00110404,.00115084,.0012322,.00126862,.00130888,v1.03_RF3084
RIVERSIDE,STATIONARY,FUEL COMBUSTION,OIL AND GAS PRODUCTION (COMBUSTION),PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,,.00654797,.01444874,,,,,,,,,,,,,,,,,,,,v1.03_RF3084
RIVERSIDE,STATIONARY,FUEL COMBUSTION,MANUFACTURING AND INDUSTRIAL,PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,.0804568,.09653979,.0679604,.06709785,.08119094,.08213781,.09928793,.09955202,.06608078,.04898251,.07706684,.05388611,.05677064,.07617769,.05367696,.05496243,.05307972,.05374448,.05442721,.05509373,.05548371,.05574845,v1.03_RF3084
RIVERSIDE,STATIONARY,FUEL COMBUSTION,FOOD AND AGRICULTURAL PROCESSING,PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,.00490023,.00635235,.00822631,.00830554,.0036248,.0043781,.00811528,.00795176,.00336991,.00265447,.00253038,.00252948,.00330553,.00357525,.00263891,.00305226,.00317508,.00389267,.00394793,.0040046,.00398225,.00403713,v1.03_RF3084
RIVERSIDE,STATIONARY,FUEL COMBUSTION,SERVICE AND COMMERCIAL,PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,.12926369,.15763871,.10719581,.11235819,.14218594,.13367723,.13631086,.13731955,.15547746,.15102487,.16609132,.15320639,.16874392,.17559123,.15556211,.16357551,.1580515,.16499044,.166216,.17138775,.16744443,.16816065,v1.03_RF3084
RIVERSIDE,STATIONARY,FUEL COMBUSTION,OTHER (FUEL COMBUSTION),PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,.03688577,.06938207,.02358605,.01639474,.01945374,.01774253,.01587339,.01516718,.01440566,.01407921,.01224956,.01226119,.01332563,.01272849,.04047382,.05363165,.05631085,.05671071,.05777686,.05896068,.05708301,.05811941,v1.03_RF3084
RIVERSIDE,STATIONARY,WASTE DISPOSAL,SEWAGE TREATMENT,PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,.0000274,.0000274,.00003562,.00006301,.00003562,.00003562,.00003562,.00003562,.00003658,.00003903,.00003562,.0000362,.00000066,.0000001,0,0,.0001715,.00011672,.00011894,.00012115,.00012349,.00012571,v1.03_RF3084
RIVERSIDE,STATIONARY,WASTE DISPOSAL,LANDFILLS,PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,.00037809,.00037809,.00219097,.00215889,.00710932,.01287209,.01738244,.01738244,.01261752,.0182685,.00443069,.01044617,.0150655,.02374032,.02316518,.01619302,.01495053,.01555352,.01585549,.01615878,.01647683,.01678012,v1.03_RF3084
RIVERSIDE,STATIONARY,WASTE DISPOSAL,INCINERATORS,PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,.00425219,.00362197,.00358385,.00372611,.0043592,.00480932,.00409535,.00409535,.00380767,.0035368,.00223827,.00387453,.0033798,.00309901,.00129593,.00140098,.00071855,.00100291,.00102693,.0010519,.00107678,.00110111,v1.03_RF3084
