AREA,SRC_TYPE,CATEGORY,SUBCATEGORY,POLLUTANT,SEASON,CONTROL_TYPE,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,v1.03_RF3084
RIVERSIDE,STATIONARY,FUEL COMBUSTION,ELECTRIC UTILITIES,ROG,ANNUAL AVERAGE,GROWN AND CONTROLLED,.02170562,.00361788,.04024494,.04362161,.02135689,.0404411,.06908493,.07237808,.06466424,.05853728,.09483521,.14553884,.10559071,.10764088,.08516958,.04184262,.04178067,.06981801,.07091116,.06886928,.07634707,.07646067,v1.03_RF3084
RIVERSIDE,STATIONARY,FUEL COMBUSTION,COGENERATION,ROG,ANNUAL AVERAGE,GROWN AND CONTROLLED,.04105499,.04040863,.00059047,.0005753,.0000638,.00080822,.00080822,.00080822,.00013241,.00019178,.0003369,.00027181,.0008769,.00057274,.00029488,.00036763,.00013699,.00021918,.00022903,.00023979,.00025055,.00026109,v1.03_RF3084
RIVERSIDE,STATIONARY,FUEL COMBUSTION,OIL AND GAS PRODUCTION (COMBUSTION),ROG,ANNUAL AVERAGE,GROWN AND CONTROLLED,,.00671368,.00672392,,,,,,,,,,,,,,,,,,,,v1.03_RF3084
RIVERSIDE,STATIONARY,FUEL COMBUSTION,MANUFACTURING AND INDUSTRIAL,ROG,ANNUAL AVERAGE,GROWN AND CONTROLLED,.12765903,.13724172,.14469428,.14433939,.08934658,.15459016,.16786777,.16942786,.10317904,.08749542,.3449306,.09009498,.08327114,.08906324,.08084701,.08491402,.08456429,.08961332,.09078799,.09195547,.09275626,.09339574,v1.03_RF3084
RIVERSIDE,STATIONARY,FUEL COMBUSTION,FOOD AND AGRICULTURAL PROCESSING,ROG,ANNUAL AVERAGE,GROWN AND CONTROLLED,.01087576,.0115757,.00834635,.00835209,.00362716,.0066402,.01097943,.01080804,.00515864,.00393227,.00344826,.00328319,.00463766,.00587928,.00344977,.00367847,.00396198,.0158067,.01612548,.01639913,.01668285,.01702486,v1.03_RF3084
RIVERSIDE,STATIONARY,FUEL COMBUSTION,SERVICE AND COMMERCIAL,ROG,ANNUAL AVERAGE,GROWN AND CONTROLLED,.51232671,.55876948,.40806226,.42593724,.38526855,.47363436,.49011311,.49614942,.52199644,.50427965,.55361157,.50175625,.50167844,.51892347,.41887181,.50229142,.50712319,.52718833,.53109037,.53827081,.53800997,.54134719,v1.03_RF3084
RIVERSIDE,STATIONARY,FUEL COMBUSTION,OTHER (FUEL COMBUSTION),ROG,ANNUAL AVERAGE,GROWN AND CONTROLLED,.14207391,.09995591,.07004521,.049286,.04835879,.0376059,.03472323,.0325482,.0321651,.03245894,.02911416,.02911676,.03978281,.04322131,.07007446,.0712767,.08168242,.06350173,.06397023,.06447546,.05995546,.06043362,v1.03_RF3084
RIVERSIDE,STATIONARY,WASTE DISPOSAL,SEWAGE TREATMENT,ROG,ANNUAL AVERAGE,GROWN AND CONTROLLED,.03621648,.01983468,.06238336,.04928566,.04264401,.07336857,.07397952,.07397952,.00006037,.00119048,.06633561,.07832355,.08175518,.08063549,.0726366,.06221354,.07266237,.13375271,.13555879,.13736604,.13930806,.14111532,v1.03_RF3084
RIVERSIDE,STATIONARY,WASTE DISPOSAL,LANDFILLS,ROG,ANNUAL AVERAGE,GROWN AND CONTROLLED,1.54691834,1.54691834,1.54883867,1.54790957,1.54746169,1.54921971,1.55011834,1.55011834,1.57780018,1.55961708,1.549871,1.55659626,1.46804945,1.48808417,1.499966,1.52157546,1.5430922,1.5631569,1.58387211,1.60459926,1.62689088,1.64761608,v1.03_RF3084
RIVERSIDE,STATIONARY,WASTE DISPOSAL,INCINERATORS,ROG,ANNUAL AVERAGE,GROWN AND CONTROLLED,.00432883,.01399738,.0029528,.00297637,.00063605,.00346146,.00460118,.00460118,.00313962,.00279881,.00167476,.00338682,.00299649,.0027305,.00119609,.00129594,.0006558,.00093793,.00096113,.00098522,.00100927,.00103278,v1.03_RF3084
RIVERSIDE,STATIONARY,WASTE DISPOSAL,SOIL REMEDIATION,ROG,ANNUAL AVERAGE,GROWN AND CONTROLLED,,,,,,,.00069863,.00069863,,,,,.00006937,,,,,,,,,,v1.03_RF3084
RIVERSIDE,STATIONARY,WASTE DISPOSAL,OTHER (WASTE DISPOSAL),ROG,ANNUAL AVERAGE,GROWN AND CONTROLLED,2.00549159,2.02456011,2.02190675,2.02469866,2.03628101,2.92049756,2.84917908,2.8519947,2.77337341,2.66953712,2.31905978,2.51059936,2.00778594,2.04031172,2.07339896,2.10589536,2.13844293,2.17299415,1.98952414,2.00145758,2.01324274,2.02517552,v1.03_RF3084
RIVERSIDE,STATIONARY,CLEANING AND SURFACE COATINGS,LAUNDERING,ROG,ANNUAL AVERAGE,GROWN AND CONTROLLED,.01122681,.01828732,.01264543,.01672023,.02286079,.0145867,.01518173,.01577677,.01637185,.01696688,.01756192,.0182633,.01798962,.01882206,.01943531,.02024998,.02108241,.02191449,.02231957,.02272466,.02312575,.02353041,v1.03_RF3084
RIVERSIDE,STATIONARY,CLEANING AND SURFACE COATINGS,DEGREASING,ROG,ANNUAL AVERAGE,GROWN AND CONTROLLED,1.44281835,1.15765313,1.23768955,1.06599742,1.01411464,.78297962,.78593204,.83552989,.90230081,.91445527,.97599426,1.03969752,.88953372,.9788308,.97912468,1.07901284,1.13469889,1.21452912,1.23630369,1.25820762,1.27946051,1.30133473,v1.03_RF3084
RIVERSIDE,STATIONARY,CLEANING AND SURFACE COATINGS,COATINGS AND RELATED PROCESS SOLVENTS,ROG,ANNUAL AVERAGE,GROWN AND CONTROLLED,5.46580614,5.0201686,4.84529274,5.11187264,5.01622175,5.27621908,5.27105485,5.41570105,4.10329454,4.07913058,4.15532837,4.34238167,3.99889363,4.25165904,4.41938625,4.67133946,4.91109109,5.12360459,5.21750936,5.31028377,5.40468389,5.49630508,v1.03_RF3084
RIVERSIDE,STATIONARY,CLEANING AND SURFACE COATINGS,PRINTING,ROG,ANNUAL AVERAGE,GROWN AND CONTROLLED,.31411201,.26276624,.26319121,.25083844,.23012961,.25731786,.29493746,.29583255,.2189822,.19456176,.17574596,.18327932,.18621465,.13999738,.1540976,.11397652,.10786577,.12847711,.1327249,.13721196,.14167103,.14607245,v1.03_RF3084
RIVERSIDE,STATIONARY,CLEANING AND SURFACE COATINGS,ADHESIVES AND SEALANTS,ROG,ANNUAL AVERAGE,GROWN AND CONTROLLED,1.01573117,.86783481,.47585708,.43747207,.53151642,.58569485,.55323099,.59017691,.62521015,.64214856,.67466549,.69743402,.61450437,.64621858,.69224903,.74202564,.77887254,.82817266,.84223207,.84352336,.83513692,.82723367,v1.03_RF3084
RIVERSIDE,STATIONARY,CLEANING AND SURFACE COATINGS,OTHER (CLEANING AND SURFACE COATINGS),ROG,ANNUAL AVERAGE,GROWN AND CONTROLLED,.15543286,.11563335,.12537779,.13542072,.1444699,.0520472,.05603444,.06009867,.06409378,.07523294,.13057429,.07860732,.06540672,.07438333,.07392379,.07874893,.08356454,.08895603,.09051929,.09210317,.09364215,.09522601,v1.03_RF3084
RIVERSIDE,STATIONARY,PETROLEUM PRODUCTION AND MARKETING,OIL AND GAS PRODUCTION,ROG,ANNUAL AVERAGE,GROWN AND CONTROLLED,.00085671,.00085671,.00085671,.00085671,.00155313,.0009762,.0009762,.0009762,.00393045,.01076762,.00093903,.00089305,.0022527,.00137986,.00085671,.00169834,.01351503,.00179288,.00179288,.00179288,.00179288,.00179288,v1.03_RF3084
RIVERSIDE,STATIONARY,PETROLEUM PRODUCTION AND MARKETING,PETROLEUM REFINING,ROG,ANNUAL AVERAGE,GROWN AND CONTROLLED,.00019181,,.00019704,.00021919,.00012614,.00014521,.0001863,.0001863,.00017427,.00009121,.00016181,.00015537,.0001571,.00012573,.00012592,.00023352,.00018036,.0003177,.00032299,.00031905,.00034315,.0003454,v1.03_RF3084
RIVERSIDE,STATIONARY,PETROLEUM PRODUCTION AND MARKETING,PETROLEUM MARKETING,ROG,ANNUAL AVERAGE,GROWN AND CONTROLLED,3.01856718,2.19217829,2.32651924,2.39252167,2.44244343,2.53273951,2.5456066,2.52574887,2.41847267,2.2660104,2.29331874,2.27531829,2.47695992,2.22109642,1.93928237,1.82116484,1.65815105,1.64616268,1.6128035,1.59893833,1.58531625,1.57510331,v1.03_RF3084
RIVERSIDE,STATIONARY,PETROLEUM PRODUCTION AND MARKETING,OTHER (PETROLEUM PRODUCTION AND MARKETING),ROG,ANNUAL AVERAGE,GROWN AND CONTROLLED,.0050958,.0050958,.00559209,.00561635,.00547304,.0056041,.00569453,.00569453,.00571186,.00547534,1.36190623,.0051343,.00567119,.00561856,.0009028,.00030796,.00034386,.00023625,.00023815,.00023985,.00024154,.00024324,v1.03_RF3084
RIVERSIDE,STATIONARY,INDUSTRIAL PROCESSES,CHEMICAL,ROG,ANNUAL AVERAGE,GROWN AND CONTROLLED,1.44561549,.94217822,1.00440758,1.04980833,.95329812,1.04484943,1.13815696,1.163207,1.01110052,.946155,.89860441,.93513934,.92383384,.91529716,.92124067,.9585389,.98598085,.99126389,1.00398892,1.01637243,1.02830383,1.04067014,v1.03_RF3084
RIVERSIDE,STATIONARY,INDUSTRIAL PROCESSES,FOOD AND AGRICULTURE,ROG,ANNUAL AVERAGE,GROWN AND CONTROLLED,.0967534,.08737335,.16975457,.17280312,.09411062,.11259019,.13764316,.13956189,.17334051,.15719881,.15734116,.14613941,.16416125,.17351419,.17002888,.16058466,.15767237,.15696253,.15993559,.16027528,.16341435,.16471985,v1.03_RF3084
RIVERSIDE,STATIONARY,INDUSTRIAL PROCESSES,MINERAL PROCESSES,ROG,ANNUAL AVERAGE,GROWN AND CONTROLLED,.31186006,.08329506,.04034707,.04032933,.04532289,.05221981,.05130749,.05130749,.04057287,.0343219,.05150934,.05429811,.03535077,.03642118,.05030944,.0522822,.12279031,.10851316,.11162207,.11528165,.11890269,.12249537,v1.03_RF3084
RIVERSIDE,STATIONARY,INDUSTRIAL PROCESSES,METAL PROCESSES,ROG,ANNUAL AVERAGE,GROWN AND CONTROLLED,.13443324,.0131225,.00240766,.00238245,.00324914,.00105638,.00057419,.00057419,.00436968,.00057419,.00437152,.00436968,.00564612,.0055097,.00057438,.00057441,.00057441,.00057419,.00057419,.00057419,.00057419,.00057419,v1.03_RF3084
