AREA,SRC_TYPE,CATEGORY,SUBCATEGORY,POLLUTANT,SEASON,CONTROL_TYPE,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,v1.03_RF3084
RIVERSIDE,STATIONARY,FUEL COMBUSTION,ELECTRIC UTILITIES,SOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,.00103836,.0009863,.13515309,.13755514,.11201235,.14613427,.17272328,.17512533,.17932814,.1850294,.21330329,.20706651,.20678192,.18975552,.17465082,.15882109,.17043846,.159132,.16151604,.16212048,.16797586,.16979704,v1.03_RF3084
RIVERSIDE,STATIONARY,FUEL COMBUSTION,COGENERATION,SOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,.00013142,.0000548,.00013575,.00013575,.00069953,.00059453,.00055342,.00055342,.00021474,.00030137,.00054633,.00044079,.00142192,.00092871,.00047816,.00059521,.00032877,.00035616,.00037217,.00038966,.00040715,.00042427,v1.03_RF3084
RIVERSIDE,STATIONARY,FUEL COMBUSTION,OIL AND GAS PRODUCTION (COMBUSTION),SOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,,.0009589,.00094785,,,,,,,,,,,,,,,,,,,,v1.03_RF3084
RIVERSIDE,STATIONARY,FUEL COMBUSTION,MANUFACTURING AND INDUSTRIAL,SOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,.02172124,.01251112,.01588002,.0157919,.0123243,.09446586,.08784446,.08798919,.05292993,.00914671,.03302385,.0133753,.03677307,.01139974,.00942219,.00975957,.00961829,.0108389,.01100159,.01116653,.01128095,.01137395,v1.03_RF3084
RIVERSIDE,STATIONARY,FUEL COMBUSTION,FOOD AND AGRICULTURAL PROCESSING,SOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,.00055069,.00046576,.00063423,.00063533,.00022131,.0004126,.0007578,.0007578,.00057337,.00052967,.00037671,.00016559,.00021764,.00023406,.00017037,.00017216,.00018131,.00020748,.00021151,.00021568,.00021989,.00022391,v1.03_RF3084
RIVERSIDE,STATIONARY,FUEL COMBUSTION,SERVICE AND COMMERCIAL,SOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,.0418951,.04157615,.03330892,.03476331,.03791915,.0436451,.04318024,.04443444,.04672555,.04626147,.06740228,.05062567,.04513105,.05058129,.04847288,.05223071,.05669402,.0620593,.06330702,.06484469,.0657743,.06698062,v1.03_RF3084
RIVERSIDE,STATIONARY,FUEL COMBUSTION,OTHER (FUEL COMBUSTION),SOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,.07831448,.15439536,.00083373,.00083373,.00096688,.00096798,.00097072,.00097072,.00098555,.00088044,.00072726,.0007335,.00622993,.00570066,.00723918,.00454098,.00196227,.0007382,.00076572,.00085574,.00085656,.00086653,v1.03_RF3084
RIVERSIDE,STATIONARY,WASTE DISPOSAL,SEWAGE TREATMENT,SOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,.00136986,.00136986,.00136986,.00273973,.00136986,.00136986,.00136986,.00136986,.00136986,.00137674,.00136986,.00216501,.00091099,.00082192,.00000016,.00000019,.0001371,.00008296,.00008456,.00008617,.00008786,.00008945,v1.03_RF3084
RIVERSIDE,STATIONARY,WASTE DISPOSAL,LANDFILLS,SOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,.0069589,.0069589,.00436986,.00754247,.01016713,.01016713,.010492,.01205479,.00769622,.02050335,.02315978,.03281312,.02486383,.02386839,.02676712,.02589042,.02639185,.0268933,.02742114,.02792258,v1.03_RF3084
RIVERSIDE,STATIONARY,WASTE DISPOSAL,INCINERATORS,SOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,.00347946,.00361644,.00099702,.00099702,.0007973,.00090412,.00660276,.00660276,.00116528,.00082221,.00065494,.00048776,.00057667,.00056877,.00016679,.00016757,.00009439,.00011982,.00012264,.00012554,.00012847,.0001313,v1.03_RF3084
