AREA,SRC_TYPE,CATEGORY,SUBCATEGORY,POLLUTANT,SEASON,CONTROL_TYPE,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,v1.03_RF3084
RIVERSIDE,STATIONARY,FUEL COMBUSTION,ELECTRIC UTILITIES,TOG,ANNUAL AVERAGE,GROWN AND CONTROLLED,.23700823,.03912328,.35603321,.39355946,.05631334,.30913107,.40875189,.44478199,.35758659,.5335594,.92889159,.91431728,1.04027947,1.03938011,.80218642,.4556789,.25616875,.67662476,.68676831,.65736401,.74790506,.74563264,v1.03_RF3084
RIVERSIDE,STATIONARY,FUEL COMBUSTION,COGENERATION,TOG,ANNUAL AVERAGE,GROWN AND CONTROLLED,.44952878,.44252056,.00646028,.00646302,.00069808,.00884265,.00884266,.00884266,.0014487,.00209826,.00368604,.00297383,.00959414,.0062663,.00316731,.00394878,.00147139,.00235422,.00246,.00257562,.00269124,.0028044,v1.03_RF3084
RIVERSIDE,STATIONARY,FUEL COMBUSTION,OIL AND GAS PRODUCTION (COMBUSTION),TOG,ANNUAL AVERAGE,GROWN AND CONTROLLED,,.07353425,.07356589,,,,,,,,,,,,,,,,,,,,v1.03_RF3084
RIVERSIDE,STATIONARY,FUEL COMBUSTION,MANUFACTURING AND INDUSTRIAL,TOG,ANNUAL AVERAGE,GROWN AND CONTROLLED,.65006837,.73119783,.95088065,.9414271,.46268249,.77366314,.82833067,.83071377,.49771288,.42385195,.80270205,.43237078,.37930648,.37272338,.34286607,.35791425,.3560702,.3659421,.36937972,.37270367,.37338691,.37280536,v1.03_RF3084
RIVERSIDE,STATIONARY,FUEL COMBUSTION,FOOD AND AGRICULTURAL PROCESSING,TOG,ANNUAL AVERAGE,GROWN AND CONTROLLED,.03216564,.03361459,.01769766,.01770943,.00751171,.02286186,.04422714,.04393031,.01905627,.01052564,.00838211,.00810195,.01913625,.03207285,.00904375,.00834469,.01839121,.14703226,.15014757,.1534364,.15686675,.16026583,v1.03_RF3084
RIVERSIDE,STATIONARY,FUEL COMBUSTION,SERVICE AND COMMERCIAL,TOG,ANNUAL AVERAGE,GROWN AND CONTROLLED,2.62533024,3.17322086,1.53510569,1.56917269,.87010362,1.74186953,1.84775576,1.85788443,2.15826172,1.9750934,1.77774728,1.81938071,1.95076561,1.91093981,1.07649635,1.86493839,1.74039524,1.27276814,1.28514901,1.30160786,1.31275189,1.32304966,v1.03_RF3084
RIVERSIDE,STATIONARY,FUEL COMBUSTION,OTHER (FUEL COMBUSTION),TOG,ANNUAL AVERAGE,GROWN AND CONTROLLED,.18106725,.11961985,.08199108,.0587093,.05732038,.04508321,.0418016,.03932574,.03890115,.03900485,.03510683,.03512571,.15181143,.18943784,.26349527,.20804642,.18255132,.07698724,.07762487,.07847488,.07336378,.07396584,v1.03_RF3084
RIVERSIDE,STATIONARY,WASTE DISPOSAL,SEWAGE TREATMENT,TOG,ANNUAL AVERAGE,GROWN AND CONTROLLED,.05055343,.02745206,.11029589,.0872,.07539606,.12971811,.1307983,.1307983,.0003139,.00719223,.1172836,.13860256,.14469038,.14274091,.10140528,.08685402,.10206057,.18711261,.18964147,.19217205,.19489112,.19742169,v1.03_RF3084
RIVERSIDE,STATIONARY,WASTE DISPOSAL,LANDFILLS,TOG,ANNUAL AVERAGE,GROWN AND CONTROLLED,112.14534132,112.14534132,112.4363002,112.29328653,112.14647803,112.1501559,112.15203588,112.15203588,112.20994767,112.17190772,112.15151843,112.60605865,106.40002601,107.83888207,108.45787197,109.65857992,111.03879022,113.36701768,114.87088325,116.37627922,117.99389157,119.49927065,v1.03_RF3084
RIVERSIDE,STATIONARY,WASTE DISPOSAL,INCINERATORS,TOG,ANNUAL AVERAGE,GROWN AND CONTROLLED,.02630684,.08512329,.01789971,.01793698,.00387131,.02106789,.02800475,.02800475,.0187988,.01691585,.01011898,.0204318,.01822875,.01661215,.0070696,.00766112,.00387211,.00553816,.00567506,.00581762,.00595969,.00609848,v1.03_RF3084
