src_type,category,subcategory,year,co,nh3,nox,pm,pm10,pm2_5,rog,sox,tog
STATIONARY,FUEL COMBUSTION,ELECTRIC UTILITIES,2000,0.20681372,0.0,0.44468493,0.15557159,0.15549461,0.15454041,0.10829425,0.0220274,0.12390321
STATIONARY,FUEL COMBUSTION,COGENERATION,2000,0.01327511,0.0,0.02398626,0.00564284,0.00550341,0.00537328,0.0450123,0.00117571,0.05638343
STATIONARY,FUEL COMBUSTION,OIL AND GAS PRODUCTION (COMBUSTION),2000,0.01174655,0.0,0.00744553,0.00056752,0.00056703,0.00056686,0.00124,9.59e-06,0.00503736
STATIONARY,FUEL COMBUSTION,MANUFACTURING AND INDUSTRIAL,2000,0.19956173,0.0,0.20542042,0.02759587,0.02681959,0.02606697,0.02540006,0.0077158,0.12478056
STATIONARY,FUEL COMBUSTION,FOOD AND AGRICULTURAL PROCESSING,2000,0.14361732,0.0,0.36550186,0.02499769,0.02512596,0.02405684,0.02528058,0.00081346,0.07618072
STATIONARY,FUEL COMBUSTION,SERVICE AND COMMERCIAL,2000,1.27739779,0.0,0.92535113,0.09898146,0.09852584,0.0982928,0.13058462,0.10274318,2.80811965
STATIONARY,FUEL COMBUSTION,OTHER (FUEL COMBUSTION),2000,0.23530762,0.0,0.34396616,0.01711854,0.01706507,0.01621075,0.0466649,0.00045027,0.05350811
STATIONARY,WASTE DISPOSAL,SEWAGE TREATMENT,2000,0.0,0.00258687,0.0,0.0,0.0,0.0,0.01900274,0.0,0.02191781
STATIONARY,WASTE DISPOSAL,LANDFILLS,2000,0.05253424,0.24591736,0.01764384,0.00758904,0.00758904,0.00758904,0.54254049,0.00131507,70.28344835
STATIONARY,WASTE DISPOSAL,INCINERATORS,2000,0.0020274,0.0,0.01413699,0.0003452,0.0003452,0.0003452,0.0001142,5.479e-05,0.00015069
STATIONARY,WASTE DISPOSAL,SOIL REMEDIATION,2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
STATIONARY,WASTE DISPOSAL,OTHER (WASTE DISPOSAL),2000,0.0,0.01469402,0.0,0.0,0.0,0.0,0.07167888,0.0,2.08813694
STATIONARY,CLEANING AND SURFACE COATINGS,LAUNDERING,2000,0.0,0.0,0.0,0.0,0.0,0.0,0.01913417,0.0,0.24561301
STATIONARY,CLEANING AND SURFACE COATINGS,DEGREASING,2000,0.0,2.04e-06,0.0,0.0,0.0,0.0,3.23424583,0.0,4.73090412
STATIONARY,CLEANING AND SURFACE COATINGS,COATINGS AND RELATED PROCESS SOLVENTS,2000,0.0,0.0,0.0,0.0,0.0,0.0,2.30440945,0.0,2.58682245
STATIONARY,CLEANING AND SURFACE COATINGS,PRINTING,2000,0.0,1.49e-06,0.0,0.0,0.0,0.0,0.56626356,0.0,0.56895584
STATIONARY,CLEANING AND SURFACE COATINGS,ADHESIVES AND SEALANTS,2000,0.0,0.0,0.0,0.0,0.0,0.0,0.50368138,0.0,0.54947254
STATIONARY,CLEANING AND SURFACE COATINGS,OTHER (CLEANING AND SURFACE COATINGS),2000,0.0,0.0,0.0,0.0,0.0,0.0,0.6157878,0.0,0.6157878
STATIONARY,PETROLEUM PRODUCTION AND MARKETING,OIL AND GAS PRODUCTION,2000,0.00015293,4e-08,2.895e-05,0.0,0.0,0.0,0.95181208,0.0,2.46068717
STATIONARY,PETROLEUM PRODUCTION AND MARKETING,PETROLEUM REFINING,2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
STATIONARY,PETROLEUM PRODUCTION AND MARKETING,PETROLEUM MARKETING,2000,0.0,0.0,0.0,0.0,0.0,0.0,2.97875836,0.0,43.84237078
STATIONARY,PETROLEUM PRODUCTION AND MARKETING,OTHER (PETROLEUM PRODUCTION AND MARKETING),2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
STATIONARY,INDUSTRIAL PROCESSES,CHEMICAL,2000,0.00646065,0.06978082,0.05156164,0.01747946,0.01747946,0.01561699,0.21845968,0.0,0.22851587
STATIONARY,INDUSTRIAL PROCESSES,FOOD AND AGRICULTURE,2000,0.0,0.01876438,0.0,0.18497724,0.0990565,0.06795046,0.33499135,0.0,0.33499135
STATIONARY,INDUSTRIAL PROCESSES,MINERAL PROCESSES,2000,0.63439144,0.0,0.24218534,1.90941441,1.01429938,0.25298123,0.08536449,0.26512259,0.12130124
STATIONARY,INDUSTRIAL PROCESSES,METAL PROCESSES,2000,0.01409682,0.00032877,0.00720692,0.01115188,0.00785538,0.00568523,0.00380441,0.00019726,0.00472715
STATIONARY,INDUSTRIAL PROCESSES,WOOD AND PAPER,2000,0.00060274,0.00136577,0.0,0.25746547,0.18144232,0.10952528,0.01065753,0.0,0.01065753
STATIONARY,INDUSTRIAL PROCESSES,ELECTRONICS,2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
