AREA,SRC_TYPE,CATEGORY,SUBCATEGORY,POLLUTANT,SEASON,CONTROL_TYPE,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,v1.03_RF3084
SACRAMENTO,STATIONARY,FUEL COMBUSTION,ELECTRIC UTILITIES,COT,ANNUAL AVERAGE,GROWN AND CONTROLLED,.20681372,.26117808,.83567632,.78043967,.93439473,1.11232587,1.12338228,1.26425777,1.52743477,1.45818309,1.30034523,1.45577704,1.44644903,1.57209822,1.49820023,1.39946064,1.26814403,1.50222548,1.54092127,1.47967247,1.56784695,1.54743791,v1.03_RF3084
SACRAMENTO,STATIONARY,FUEL COMBUSTION,COGENERATION,COT,ANNUAL AVERAGE,GROWN AND CONTROLLED,.01327511,.04935774,.00243606,.00268856,.00269719,.00266519,.00272971,.00274038,.00295579,.00286688,.00287857,.00292327,.00286078,.00279271,.00360608,.00360151,.00365892,.00376256,.00361269,.00361878,.0036259,.00363199,v1.03_RF3084
SACRAMENTO,STATIONARY,FUEL COMBUSTION,OIL AND GAS PRODUCTION (COMBUSTION),COT,ANNUAL AVERAGE,GROWN AND CONTROLLED,.01174655,.01122367,.01106017,.01063021,.01022469,.00977315,.00952615,.00929183,.00911695,.00877919,.0085053,.00827605,.00822638,.008341,.00855497,.00814232,.00736667,.00715305,.0069456,.00674419,.0065486,.00635868,v1.03_RF3084
SACRAMENTO,STATIONARY,FUEL COMBUSTION,MANUFACTURING AND INDUSTRIAL,COT,ANNUAL AVERAGE,GROWN AND CONTROLLED,.19956173,.19540121,.18191017,.17446784,.19917492,.23259854,.25393231,.21738179,.29942405,.23256116,.21233399,.22815607,.26267772,.24318129,.24210912,.22916986,.22652664,.21902702,.23049408,.22180384,.22133105,.221863,v1.03_RF3084
SACRAMENTO,STATIONARY,FUEL COMBUSTION,FOOD AND AGRICULTURAL PROCESSING,COT,ANNUAL AVERAGE,GROWN AND CONTROLLED,.14361732,.14879265,.14803141,.14301549,.14305414,.14971961,.14814158,.13379818,.13019967,.14619656,.15948097,.16261416,.18744788,.15113599,.17377335,.13888352,.13287156,.1377645,.13873562,.13700752,.13409134,.13520325,v1.03_RF3084
SACRAMENTO,STATIONARY,FUEL COMBUSTION,SERVICE AND COMMERCIAL,COT,ANNUAL AVERAGE,GROWN AND CONTROLLED,1.27739779,1.20527554,.64560594,.6811834,.70876229,.66858444,.67161757,.6576098,.67768505,.65642138,.65664052,.66990919,.67333193,.68710622,.61640132,.60537661,.64256741,.65101964,.67784524,.69656464,.69973703,.70207338,v1.03_RF3084
SACRAMENTO,STATIONARY,FUEL COMBUSTION,OTHER (FUEL COMBUSTION),COT,ANNUAL AVERAGE,GROWN AND CONTROLLED,.23530762,.24406686,.25282611,.259333,.27134569,.22880074,.21803938,.27946611,.26870474,.28157612,.25525635,.26724005,.29392378,.29651588,.29651588,.24139868,.24528197,.24431358,.24456602,.24549643,.22341132,.22431114,v1.03_RF3084
SACRAMENTO,STATIONARY,WASTE DISPOSAL,SEWAGE TREATMENT,COT,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,v1.03_RF3084
SACRAMENTO,STATIONARY,WASTE DISPOSAL,LANDFILLS,COT,ANNUAL AVERAGE,GROWN AND CONTROLLED,.05253424,.05936987,.13818434,.0449982,.04810357,.04868081,.04160438,.02976318,.01119449,.00437808,.01544795,.03372644,.01550429,.01032876,.0053,.00721863,.01263524,.02046387,.02053075,.0205983,.02065654,.02073906,v1.03_RF3084
SACRAMENTO,STATIONARY,WASTE DISPOSAL,INCINERATORS,COT,ANNUAL AVERAGE,GROWN AND CONTROLLED,.0020274,.00424657,.00423701,.0089905,.00855589,.00657263,.00689089,.0068905,.01700453,.05786493,.03361405,.01931974,.01922758,.02198411,.03163299,.03273507,.01498528,.01999654,.02022388,.02030178,.02038165,.02067651,v1.03_RF3084
