AREA,SRC_TYPE,CATEGORY,SUBCATEGORY,POLLUTANT,SEASON,CONTROL_TYPE,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,v1.03_RF3084
SACRAMENTO,STATIONARY,FUEL COMBUSTION,ELECTRIC UTILITIES,NOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,.44468493,.43578084,.51051144,.48171952,.51223502,.52140543,.63867983,.69919407,.6894296,.57456698,.54148794,.49563207,.54226909,.59677833,.59030731,.62888776,.59916841,.53693324,.61670963,.58125014,.66039066,.64205666,v1.03_RF3084
SACRAMENTO,STATIONARY,FUEL COMBUSTION,COGENERATION,NOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,.02398626,.02200321,.0014903,.00164477,.00165005,.00163047,.00166994,.00167647,.00180825,.00175386,.00176101,.00178836,.00175013,.00170848,.00220607,.00220328,.0022384,.0023018,.00221011,.00221384,.0022182,.00222192,v1.03_RF3084
SACRAMENTO,STATIONARY,FUEL COMBUSTION,OIL AND GAS PRODUCTION (COMBUSTION),NOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,.00744553,.00711411,.00701048,.00673793,.0064809,.00619468,.00603814,.00588961,.00577875,.00556466,.00539108,.00524574,.00521427,.00528692,.00542255,.00516099,.00466935,.00453394,.00440245,.00427478,.00415082,.00403045,v1.03_RF3084
SACRAMENTO,STATIONARY,FUEL COMBUSTION,MANUFACTURING AND INDUSTRIAL,NOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,.20542042,.20875264,.22033348,.1799089,.22574365,.30224204,.30044737,.28310634,.21992118,.16444556,.13987215,.13556417,.13960039,.14732152,.14800019,.14262852,.15011329,.14599287,.15388154,.14700629,.14570651,.14457308,v1.03_RF3084
SACRAMENTO,STATIONARY,FUEL COMBUSTION,FOOD AND AGRICULTURAL PROCESSING,NOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,.36550186,.35885255,.35807175,.3520122,.34416741,.34116162,.33494473,.31655213,.29767829,.29396557,.30769136,.27810712,.280187,.26797902,.262458,.23098672,.19918177,.19588506,.18890653,.18162418,.17151799,.16447596,v1.03_RF3084
SACRAMENTO,STATIONARY,FUEL COMBUSTION,SERVICE AND COMMERCIAL,NOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,.92535113,.74142084,.72830338,.77859028,.83820694,.80825778,.81988307,.80032194,.77680051,.75313199,.72151944,.74627136,.72765477,.74963373,.66820211,.65706554,.66986446,.68358632,.70569785,.71740544,.71417465,.7100537,v1.03_RF3084
SACRAMENTO,STATIONARY,FUEL COMBUSTION,OTHER (FUEL COMBUSTION),NOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,.34396616,.35647622,.36898628,.37892071,.39584607,.35316473,.33881495,.34331066,.32969678,.32189465,.30429946,.30729555,.31396607,.31461477,.31461478,.25568777,.25642257,.25591525,.25597714,.25620522,.21774011,.21796069,v1.03_RF3084
SACRAMENTO,STATIONARY,WASTE DISPOSAL,SEWAGE TREATMENT,NOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,v1.03_RF3084
SACRAMENTO,STATIONARY,WASTE DISPOSAL,LANDFILLS,NOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,.01764384,.02123287,.03020937,.03024842,.04678271,.04572018,.03404119,.02983013,.02440225,.01793424,.02509452,.03762773,.0237744,.02671233,.02262603,.02332137,.02641982,.03177042,.03182005,.03187019,.03191341,.03197465,v1.03_RF3084
SACRAMENTO,STATIONARY,WASTE DISPOSAL,INCINERATORS,NOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,.01413699,.01389041,.01388766,.01313586,.01146982,.01101084,.01235366,.0123532,.01376303,.02114901,.0165887,.01415741,.01427819,.03383233,.03083403,.03656383,.0365078,.03906614,.03977995,.03922319,.03834336,.03888481,v1.03_RF3084
SACRAMENTO,STATIONARY,WASTE DISPOSAL,SOIL REMEDIATION,NOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,,0,0,0,0,,,,,,,,,,,,,,,,,,v1.03_RF3084
SACRAMENTO,STATIONARY,WASTE DISPOSAL,OTHER (WASTE DISPOSAL),NOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,v1.03_RF3084
SACRAMENTO,STATIONARY,CLEANING AND SURFACE COATINGS,LAUNDERING,NOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,0,0,0,0,0,0,0,.00262411,0,0,0,0,0,0,0,0,0,v1.03_RF3084
SACRAMENTO,STATIONARY,CLEANING AND SURFACE COATINGS,DEGREASING,NOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,v1.03_RF3084
SACRAMENTO,STATIONARY,CLEANING AND SURFACE COATINGS,COATINGS AND RELATED PROCESS SOLVENTS,NOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,v1.03_RF3084
SACRAMENTO,STATIONARY,CLEANING AND SURFACE COATINGS,PRINTING,NOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,v1.03_RF3084
SACRAMENTO,STATIONARY,CLEANING AND SURFACE COATINGS,ADHESIVES AND SEALANTS,NOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,v1.03_RF3084
SACRAMENTO,STATIONARY,CLEANING AND SURFACE COATINGS,OTHER (CLEANING AND SURFACE COATINGS),NOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,v1.03_RF3084
SACRAMENTO,STATIONARY,PETROLEUM PRODUCTION AND MARKETING,OIL AND GAS PRODUCTION,NOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,.00002895,.00002766,.00002726,.00002619,.00002519,.00002408,.00002347,.0000229,.00002246,.00002163,.00002096,.00002039,.00002027,.00002055,.00002108,.00002006,.00001815,.00001763,.00001712,.00001662,.00001614,.00001567,v1.03_RF3084
SACRAMENTO,STATIONARY,PETROLEUM PRODUCTION AND MARKETING,PETROLEUM REFINING,NOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,,,,,,.00447998,.00264584,.00301349,,,,,,,,,,,,,,,v1.03_RF3084
