AREA,SRC_TYPE,CATEGORY,SUBCATEGORY,POLLUTANT,SEASON,CONTROL_TYPE,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,v1.03_RF3084
SACRAMENTO,STATIONARY,FUEL COMBUSTION,ELECTRIC UTILITIES,PM,ANNUAL AVERAGE,GROWN AND CONTROLLED,.15557159,.16558905,.1788802,.1597864,.17436231,.16368268,.21306574,.24057965,.24889402,.23431715,.19212608,.18395981,.19531875,.21296152,.20073298,.3462201,.14370231,.11578252,.13699549,.12852406,.1484858,.143861,v1.03_RF3084
SACRAMENTO,STATIONARY,FUEL COMBUSTION,COGENERATION,PM,ANNUAL AVERAGE,GROWN AND CONTROLLED,.00564284,.01288373,.00053225,.00058742,.0005893,.00058231,.00059641,.00059874,.0006458,.00062638,.00062893,.0006387,.00062505,.00061017,.00078788,.00078688,.00079943,.00082207,.00078933,.00079066,.00079221,.00079354,v1.03_RF3084
SACRAMENTO,STATIONARY,FUEL COMBUSTION,OIL AND GAS PRODUCTION (COMBUSTION),PM,ANNUAL AVERAGE,GROWN AND CONTROLLED,.00056752,.00054226,.00053436,.00051358,.00049399,.00047218,.00046024,.00044892,.00044047,.00042416,.00041092,.00039985,.00039744,.00040298,.00041332,.00039338,.00035591,.00034558,.00033557,.00032583,.00031639,.00030721,v1.03_RF3084
SACRAMENTO,STATIONARY,FUEL COMBUSTION,MANUFACTURING AND INDUSTRIAL,PM,ANNUAL AVERAGE,GROWN AND CONTROLLED,.02759587,.13700279,.13746032,.13903985,.0656682,.03118171,.03160536,.04272435,.02890099,.02739365,.02602829,.02272994,.03899568,.03245768,.02612075,.0257978,.02779262,.02807275,.02882996,.02882132,.02875739,.02877315,v1.03_RF3084
SACRAMENTO,STATIONARY,FUEL COMBUSTION,FOOD AND AGRICULTURAL PROCESSING,PM,ANNUAL AVERAGE,GROWN AND CONTROLLED,.02499769,.02325795,.02320162,.02231702,.02175722,.02178313,.02127652,.01939234,.01730821,.01853979,.01949964,.01853976,.0205677,.02028369,.02012372,.01906258,.01701666,.0171796,.01697525,.01645117,.01575616,.01571014,v1.03_RF3084
SACRAMENTO,STATIONARY,FUEL COMBUSTION,SERVICE AND COMMERCIAL,PM,ANNUAL AVERAGE,GROWN AND CONTROLLED,.09898146,.10323986,.07846778,.08106873,.08530359,.08143916,.08136972,.08047454,.08251954,.08211814,.07895246,.08153922,.08013303,.08138143,.07220587,.0719282,.07619008,.07568965,.07845287,.0804574,.08065648,.08070907,v1.03_RF3084
SACRAMENTO,STATIONARY,FUEL COMBUSTION,OTHER (FUEL COMBUSTION),PM,ANNUAL AVERAGE,GROWN AND CONTROLLED,.01711854,.01762593,.01815145,.01918437,.01970988,.01659302,.0155601,.01866342,.01761238,.01776837,.01647338,.01707624,.01841835,.01854901,.01854901,.01445846,.0146062,.01449901,.01451145,.01455729,.0114925,.01153684,v1.03_RF3084
SACRAMENTO,STATIONARY,WASTE DISPOSAL,SEWAGE TREATMENT,PM,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,v1.03_RF3084
SACRAMENTO,STATIONARY,WASTE DISPOSAL,LANDFILLS,PM,ANNUAL AVERAGE,GROWN AND CONTROLLED,.00758904,.00610959,.0100452,.01090741,.01627902,.01575674,.01453686,.0114401,.00522197,.00355206,.0076452,.00437019,.00279474,.0040274,.00750301,.0087663,.00621337,.00845669,.00846452,.00847242,.00847924,.00848889,v1.03_RF3084
SACRAMENTO,STATIONARY,WASTE DISPOSAL,INCINERATORS,PM,ANNUAL AVERAGE,GROWN AND CONTROLLED,.0003452,.00071233,.00071948,.0004054,.00038146,.00036547,.00036357,.00034781,.00063841,.00229912,.00125285,.00083054,.00064562,.00742839,.0075027,.00934904,.00974974,.01049887,.01070666,.010545,.0102324,.01039859,v1.03_RF3084
SACRAMENTO,STATIONARY,WASTE DISPOSAL,SOIL REMEDIATION,PM,ANNUAL AVERAGE,GROWN AND CONTROLLED,,0,0,0,0,,,,,,,,,,,,,,,,,,v1.03_RF3084
SACRAMENTO,STATIONARY,WASTE DISPOSAL,OTHER (WASTE DISPOSAL),PM,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,v1.03_RF3084
SACRAMENTO,STATIONARY,CLEANING AND SURFACE COATINGS,LAUNDERING,PM,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,0,0,0,0,0,0,0,.00054795,0,0,0,0,0,0,0,0,0,v1.03_RF3084
SACRAMENTO,STATIONARY,CLEANING AND SURFACE COATINGS,DEGREASING,PM,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,v1.03_RF3084
