AREA,SRC_TYPE,CATEGORY,SUBCATEGORY,POLLUTANT,SEASON,CONTROL_TYPE,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,v1.03_RF3084
SACRAMENTO,STATIONARY,FUEL COMBUSTION,ELECTRIC UTILITIES,PM10,ANNUAL AVERAGE,GROWN AND CONTROLLED,.15549461,.16545759,.1787262,.15880286,.16501878,.16270058,.21178735,.23913617,.24740066,.23309244,.19113641,.18297774,.1945347,.21168376,.19952857,.34414277,.14284004,.11508782,.13617352,.12775292,.14759488,.14299783,v1.03_RF3084
SACRAMENTO,STATIONARY,FUEL COMBUSTION,COGENERATION,PM10,ANNUAL AVERAGE,GROWN AND CONTROLLED,.00550341,.01273368,.00037258,.00041119,.00041251,.00040762,.00041749,.00041912,.00045206,.00043847,.00044025,.00044709,.00043754,.00042712,.00055152,.00055082,.0005596,.00057545,.00055253,.00055346,.00055455,.00055548,v1.03_RF3084
SACRAMENTO,STATIONARY,FUEL COMBUSTION,OIL AND GAS PRODUCTION (COMBUSTION),PM10,ANNUAL AVERAGE,GROWN AND CONTROLLED,.00056703,.00054178,.00053389,.00051314,.00049356,.00047176,.00045984,.00044853,.00044009,.00042379,.00041056,.00039951,.0003971,.00040263,.00041296,.00039304,.0003556,.00034527,.00033528,.00032555,.00031612,.00030694,v1.03_RF3084
SACRAMENTO,STATIONARY,FUEL COMBUSTION,MANUFACTURING AND INDUSTRIAL,PM10,ANNUAL AVERAGE,GROWN AND CONTROLLED,.02681959,.13688158,.13734668,.13899848,.06554406,.0310625,.03067779,.04260634,.02868488,.02717018,.02581713,.02264303,.03890757,.03232582,.02602392,.02570129,.02769319,.02797807,.02873322,.02872435,.02866044,.02867602,v1.03_RF3084
SACRAMENTO,STATIONARY,FUEL COMBUSTION,FOOD AND AGRICULTURAL PROCESSING,PM10,ANNUAL AVERAGE,GROWN AND CONTROLLED,.02512596,.02331504,.02327151,.0224481,.02185668,.02187526,.02136427,.01946706,.01737814,.01860153,.0195445,.01852308,.02053969,.02028664,.02010164,.01904843,.01694404,.01710117,.01689808,.01637711,.01568611,.0156406,v1.03_RF3084
SACRAMENTO,STATIONARY,FUEL COMBUSTION,SERVICE AND COMMERCIAL,PM10,ANNUAL AVERAGE,GROWN AND CONTROLLED,.09852584,.10285754,.0780299,.08059049,.08479658,.08095805,.08086983,.07999048,.08202683,.08159422,.07847597,.08100435,.07964301,.08086848,.07174693,.07147504,.07573096,.07521362,.07795759,.07995057,.08014922,.08020223,v1.03_RF3084
SACRAMENTO,STATIONARY,FUEL COMBUSTION,OTHER (FUEL COMBUSTION),PM10,ANNUAL AVERAGE,GROWN AND CONTROLLED,.01706507,.01757114,.01809529,.01912553,.01964967,.01654092,.01551068,.01859366,.01754535,.01769689,.01640795,.01700719,.01834125,.01847112,.01847112,.01439452,.01454137,.01443482,.01444719,.01449275,.01143582,.01147989,v1.03_RF3084
SACRAMENTO,STATIONARY,WASTE DISPOSAL,SEWAGE TREATMENT,PM10,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,v1.03_RF3084
SACRAMENTO,STATIONARY,WASTE DISPOSAL,LANDFILLS,PM10,ANNUAL AVERAGE,GROWN AND CONTROLLED,.00758904,.00610959,.0100452,.01091232,.01627902,.01575674,.01453686,.0114401,.00522197,.00355206,.0076452,.00437019,.00279474,.0040274,.00750301,.0087663,.00621337,.00845669,.00846452,.00847242,.00847924,.00848889,v1.03_RF3084
SACRAMENTO,STATIONARY,WASTE DISPOSAL,INCINERATORS,PM10,ANNUAL AVERAGE,GROWN AND CONTROLLED,.0003452,.00071233,.00071948,.00041096,.00038146,.00036547,.00036357,.00034781,.00063841,.00229912,.00125285,.00083054,.00064562,.00742839,.0075027,.00934904,.00974974,.01049887,.01070666,.010545,.0102324,.01039859,v1.03_RF3084
SACRAMENTO,STATIONARY,WASTE DISPOSAL,SOIL REMEDIATION,PM10,ANNUAL AVERAGE,GROWN AND CONTROLLED,,0,0,0,0,,,,,,,,,,,,,,,,,,v1.03_RF3084
SACRAMENTO,STATIONARY,WASTE DISPOSAL,OTHER (WASTE DISPOSAL),PM10,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,v1.03_RF3084
SACRAMENTO,STATIONARY,CLEANING AND SURFACE COATINGS,LAUNDERING,PM10,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,0,0,0,0,0,0,0,.00052603,0,0,0,0,0,0,0,0,0,v1.03_RF3084
SACRAMENTO,STATIONARY,CLEANING AND SURFACE COATINGS,DEGREASING,PM10,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,v1.03_RF3084
SACRAMENTO,STATIONARY,CLEANING AND SURFACE COATINGS,COATINGS AND RELATED PROCESS SOLVENTS,PM10,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,v1.03_RF3084
SACRAMENTO,STATIONARY,CLEANING AND SURFACE COATINGS,PRINTING,PM10,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,v1.03_RF3084
SACRAMENTO,STATIONARY,CLEANING AND SURFACE COATINGS,ADHESIVES AND SEALANTS,PM10,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,v1.03_RF3084
SACRAMENTO,STATIONARY,CLEANING AND SURFACE COATINGS,OTHER (CLEANING AND SURFACE COATINGS),PM10,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,v1.03_RF3084
SACRAMENTO,STATIONARY,PETROLEUM PRODUCTION AND MARKETING,OIL AND GAS PRODUCTION,PM10,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,v1.03_RF3084
SACRAMENTO,STATIONARY,PETROLEUM PRODUCTION AND MARKETING,PETROLEUM REFINING,PM10,ANNUAL AVERAGE,GROWN AND CONTROLLED,,,,,,0,0,0,,,,,,,,,,,,,,,v1.03_RF3084
SACRAMENTO,STATIONARY,PETROLEUM PRODUCTION AND MARKETING,PETROLEUM MARKETING,PM10,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,v1.03_RF3084
SACRAMENTO,STATIONARY,PETROLEUM PRODUCTION AND MARKETING,OTHER (PETROLEUM PRODUCTION AND MARKETING),PM10,ANNUAL AVERAGE,GROWN AND CONTROLLED,,,,,,,,,,,0,,,,,,,,,,,,v1.03_RF3084
SACRAMENTO,STATIONARY,INDUSTRIAL PROCESSES,CHEMICAL,PM10,ANNUAL AVERAGE,GROWN AND CONTROLLED,.01747946,.01550685,.01538833,.03330598,.03115739,.05274059,.06756224,.02408895,.02988251,.01812684,.02807346,.0257566,.04366592,.02117617,.03054661,.02215946,.0428245,.04393743,.04502512,.04566776,.04432987,.0443836,v1.03_RF3084
