AREA,SRC_TYPE,CATEGORY,SUBCATEGORY,POLLUTANT,SEASON,CONTROL_TYPE,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,v1.03_RF3084
SACRAMENTO,STATIONARY,FUEL COMBUSTION,ELECTRIC UTILITIES,PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,.15454041,.08238939,.17744915,.15849899,.16460992,.16237322,.21136121,.23865501,.24690287,.2326238,.19058906,.18248812,.1940922,.21125783,.19912712,.34345035,.14255262,.11485626,.13589953,.12749587,.14729791,.14271011,v1.03_RF3084
SACRAMENTO,STATIONARY,FUEL COMBUSTION,COGENERATION,PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,.00537328,.01259363,.00022355,.00024672,.00024751,.00024457,.00025049,.00025147,.00027124,.00026308,.00026415,.00026825,.00026252,.00025627,.00033091,.00033049,.00033576,.00034527,.00033152,.00033208,.00033273,.00033329,v1.03_RF3084
SACRAMENTO,STATIONARY,FUEL COMBUSTION,OIL AND GAS PRODUCTION (COMBUSTION),PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,.00056686,.00054163,.00053374,.00051298,.00049341,.00047163,.0004597,.00044839,.00043996,.00042367,.00041044,.00039938,.00039698,.00040251,.00041284,.00039293,.00035549,.00034518,.00033518,.00032545,.00031602,.00030685,v1.03_RF3084
SACRAMENTO,STATIONARY,FUEL COMBUSTION,MANUFACTURING AND INDUSTRIAL,PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,.02606697,.12803488,.12904671,.13042529,.06237182,.03057629,.0297313,.04128655,.02815463,.0265161,.02508656,.02217488,.03741973,.03135616,.0255084,.02520982,.02708334,.02733768,.02809205,.02808311,.02801919,.02803473,v1.03_RF3084
SACRAMENTO,STATIONARY,FUEL COMBUSTION,FOOD AND AGRICULTURAL PROCESSING,PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,.02405684,.02210893,.02217364,.02135192,.02079358,.02084797,.02037447,.01853901,.01648668,.01772905,.0187044,.01788313,.01992303,.01969794,.01950593,.01852248,.01664072,.01680837,.01662283,.01611579,.01543877,.01540621,v1.03_RF3084
SACRAMENTO,STATIONARY,FUEL COMBUSTION,SERVICE AND COMMERCIAL,PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,.0982928,.10080752,.07787738,.08043409,.08463016,.08079286,.08070548,.07983122,.08186478,.08141972,.07831936,.08082157,.07948147,.08069838,.07159476,.07132496,.07557935,.0750561,.07779359,.07978284,.07998138,.08003458,v1.03_RF3084
SACRAMENTO,STATIONARY,FUEL COMBUSTION,OTHER (FUEL COMBUSTION),PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,.01621075,.01669171,.01718985,.01816895,.01866709,.01571261,.01473351,.01783437,.01683809,.01703839,.01577613,.01637417,.01770554,.01783516,.01783516,.01391479,.01406135,.01395501,.01396735,.01401283,.01110922,.0111532,v1.03_RF3084
SACRAMENTO,STATIONARY,WASTE DISPOSAL,SEWAGE TREATMENT,PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,v1.03_RF3084
SACRAMENTO,STATIONARY,WASTE DISPOSAL,LANDFILLS,PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,.00758904,.00606071,.0100452,.01090443,.01627902,.01575674,.01453686,.0114401,.00522197,.00355206,.0076452,.00437019,.00279474,.0040274,.00750301,.0087663,.00621337,.00845669,.00846452,.00847242,.00847924,.00848889,v1.03_RF3084
SACRAMENTO,STATIONARY,WASTE DISPOSAL,INCINERATORS,PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,.0003452,.00071233,.00071948,.00041096,.00038146,.00036547,.00036357,.00034781,.00063841,.00229912,.00125285,.00083054,.00064562,.0023385,.00242916,.00294246,.00670484,.00281821,.00286706,.00283969,.0027832,.00282664,v1.03_RF3084
SACRAMENTO,STATIONARY,WASTE DISPOSAL,SOIL REMEDIATION,PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,,0,0,0,0,,,,,,,,,,,,,,,,,,v1.03_RF3084
SACRAMENTO,STATIONARY,WASTE DISPOSAL,OTHER (WASTE DISPOSAL),PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,v1.03_RF3084
