AREA,SRC_TYPE,CATEGORY,SUBCATEGORY,POLLUTANT,SEASON,CONTROL_TYPE,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,v1.03_RF3084
SACRAMENTO,STATIONARY,FUEL COMBUSTION,ELECTRIC UTILITIES,ROG,ANNUAL AVERAGE,GROWN AND CONTROLLED,.10829425,.09073245,.12326164,.13510857,.13835107,.12076931,.12406682,.14527353,.14768928,.15430557,.13709718,.13438615,.16568845,.14581122,.09432964,.15440559,.08410811,.0989951,.10148682,.09746259,.10323109,.1018959,v1.03_RF3084
SACRAMENTO,STATIONARY,FUEL COMBUSTION,COGENERATION,ROG,ANNUAL AVERAGE,GROWN AND CONTROLLED,.0450123,.03042718,.00074515,.00082238,.00082503,.00081523,.00083497,.00083824,.00090412,.00087693,.0008805,.00089418,.00087507,.00085424,.00110303,.00110164,.0011192,.0011509,.00110506,.00110692,.0011091,.00111096,v1.03_RF3084
SACRAMENTO,STATIONARY,FUEL COMBUSTION,OIL AND GAS PRODUCTION (COMBUSTION),ROG,ANNUAL AVERAGE,GROWN AND CONTROLLED,.00124,.00118481,.00116754,.00112216,.00107935,.00103169,.00100561,.00098087,.00096241,.00092676,.00089785,.00087364,.00086841,.0008805,.0009031,.00085953,.00077766,.0007551,.00073321,.00071193,.00069129,.00067125,v1.03_RF3084
SACRAMENTO,STATIONARY,FUEL COMBUSTION,MANUFACTURING AND INDUSTRIAL,ROG,ANNUAL AVERAGE,GROWN AND CONTROLLED,.02540006,.02626024,.02668992,.02583407,.02829934,.03423756,.0348529,.03149804,.03557243,.03333376,.02459518,.02565475,.0267244,.02705729,.02699247,.02691862,.02752063,.02622342,.02756526,.02654481,.02647171,.02652057,v1.03_RF3084
SACRAMENTO,STATIONARY,FUEL COMBUSTION,FOOD AND AGRICULTURAL PROCESSING,ROG,ANNUAL AVERAGE,GROWN AND CONTROLLED,.02528058,.02513605,.02503851,.02399851,.02361986,.02351781,.02281012,.02141467,.02057898,.02062911,.02944336,.02906522,.03143548,.03121272,.03065933,.02636665,.02560031,.02653226,.02551338,.02468146,.02351052,.02314502,v1.03_RF3084
SACRAMENTO,STATIONARY,FUEL COMBUSTION,SERVICE AND COMMERCIAL,ROG,ANNUAL AVERAGE,GROWN AND CONTROLLED,.13058462,.07978141,.06741188,.06648171,.06386446,.06027947,.06027504,.05904873,.06106583,.06060056,.05881451,.06281711,.06297692,.06910681,.0606212,.05948951,.06173445,.0632273,.06616838,.06767615,.06780262,.0678717,v1.03_RF3084
SACRAMENTO,STATIONARY,FUEL COMBUSTION,OTHER (FUEL COMBUSTION),ROG,ANNUAL AVERAGE,GROWN AND CONTROLLED,.0466649,.04844005,.05082381,.05259895,.05498272,.04722281,.04483905,.06000697,.0575725,.06093596,.05463511,.05763134,.06430166,.06495069,.06495069,.05118484,.05191964,.05141232,.0514742,.05170228,.04588642,.046107,v1.03_RF3084
SACRAMENTO,STATIONARY,WASTE DISPOSAL,SEWAGE TREATMENT,ROG,ANNUAL AVERAGE,GROWN AND CONTROLLED,.01900274,.01347923,.01347923,.02009,.02009,.01876296,.01876296,.01876296,.01906925,.01832765,.01709309,.0168112,.01636639,.01556926,.01550621,.0142808,.01524191,.017679,.01784807,.01801886,.01816609,.01837473,v1.03_RF3084
SACRAMENTO,STATIONARY,WASTE DISPOSAL,LANDFILLS,ROG,ANNUAL AVERAGE,GROWN AND CONTROLLED,.54254049,.5288863,.53889929,.54634995,.61589131,.63343066,.63285594,.60599682,.58223853,.57711639,.56311328,.62268988,.60909665,.64492926,.64004589,.53315689,.51384229,.55027629,.55580877,.56107947,.56581547,.56811193,v1.03_RF3084
SACRAMENTO,STATIONARY,WASTE DISPOSAL,INCINERATORS,ROG,ANNUAL AVERAGE,GROWN AND CONTROLLED,.0001142,.00520531,.00521578,.00034024,.00033061,.00023162,.00023111,.00023069,.00125725,.00487538,.00258927,.00157459,.00136383,.00229342,.00248457,.00283817,.00133175,.00195817,.00197883,.00199219,.00200277,.00202802,v1.03_RF3084
