AREA,SRC_TYPE,CATEGORY,SUBCATEGORY,POLLUTANT,SEASON,CONTROL_TYPE,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,v1.03_RF3084
SACRAMENTO,STATIONARY,FUEL COMBUSTION,ELECTRIC UTILITIES,SOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,.0220274,.02309589,.02029277,.02147748,.02258058,.02164012,.03837651,.04574367,.05570015,.04390347,.0613355,.05679013,.05545233,.0532089,.04335796,.04508586,.04114683,.04206425,.04459067,.04257877,.04608979,.04527677,v1.03_RF3084
SACRAMENTO,STATIONARY,FUEL COMBUSTION,COGENERATION,SOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,.00117571,.00082145,.00002866,.00003163,.00003173,.00003136,.00003211,.00003224,.00003477,.00003373,.00003387,.00003439,.00003366,.00003286,.00004242,.00004237,.00004305,.00004427,.0000425,.00004257,.00004266,.00004273,v1.03_RF3084
SACRAMENTO,STATIONARY,FUEL COMBUSTION,OIL AND GAS PRODUCTION (COMBUSTION),SOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,.00000959,.00000917,.00000903,.00000869,.00000836,.00000799,.00000779,.0000076,.00000746,.00000717,.00000695,.00000676,.00000672,.00000681,.00000699,.00000665,.00000602,.00000585,.00000567,.00000551,.00000535,.00000519,v1.03_RF3084
SACRAMENTO,STATIONARY,FUEL COMBUSTION,MANUFACTURING AND INDUSTRIAL,SOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,.0077158,.01138147,.00154721,.00128827,.00275962,.00402951,.00447767,.00395948,.00148071,.00133825,.00145246,.00165385,.00169775,.00148173,.00153196,.00157306,.0016334,.00146706,.0015163,.0015227,.00152296,.00152738,v1.03_RF3084
SACRAMENTO,STATIONARY,FUEL COMBUSTION,FOOD AND AGRICULTURAL PROCESSING,SOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,.00081346,.00084319,.00085604,.0008199,.00082208,.0008695,.0008538,.00077421,.0007476,.00079506,.00090712,.00097096,.00096782,.00097012,.00101349,.00100506,.00098683,.00109026,.00110283,.00109052,.00091676,.00093258,v1.03_RF3084
SACRAMENTO,STATIONARY,FUEL COMBUSTION,SERVICE AND COMMERCIAL,SOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,.10274318,.00651125,.00646914,.00661954,.0070848,.00752473,.00705879,.00724728,.00774604,.00748294,.0071936,.00707536,.00709732,.00716049,.00615531,.00618482,.00637037,.00645513,.00667224,.00681999,.00682596,.00681903,v1.03_RF3084
SACRAMENTO,STATIONARY,FUEL COMBUSTION,OTHER (FUEL COMBUSTION),SOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,.00045027,.00045027,.00045027,.00045027,.00045027,.00045027,.00045027,.00069685,.00069685,.00076814,.0007163,.00075608,.00084503,.0008535,.0008535,.00078917,.00079548,.00079101,.00079183,.00079486,.00079711,.00080004,v1.03_RF3084
SACRAMENTO,STATIONARY,WASTE DISPOSAL,SEWAGE TREATMENT,SOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,v1.03_RF3084
SACRAMENTO,STATIONARY,WASTE DISPOSAL,LANDFILLS,SOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,.00131507,.00235616,.00302378,.00445931,.00541079,.00519174,.00393021,.00419593,.0017488,.00246575,.00398358,.00596754,.0041442,.01479452,.00443918,.0053515,.00563585,.00778914,.00779083,.00779255,.00779402,.00779612,v1.03_RF3084
SACRAMENTO,STATIONARY,WASTE DISPOSAL,INCINERATORS,SOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,.00005479,.00016438,.00016438,.00006996,.00006996,.00007539,.00007539,.00007539,.00054262,.00244697,.00109808,.00066119,.00056969,.00179535,.00105205,.00171479,.00082274,.00135446,.00136759,.00138026,.00139091,.00140696,v1.03_RF3084
