AREA,SRC_TYPE,CATEGORY,SUBCATEGORY,POLLUTANT,SEASON,CONTROL_TYPE,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,v1.03_RF3084
SACRAMENTO,STATIONARY,FUEL COMBUSTION,ELECTRIC UTILITIES,TOG,ANNUAL AVERAGE,GROWN AND CONTROLLED,.12390321,.14745206,5.722818,5.74840745,6.06610158,5.77994309,8.31348406,12.096236,12.36369082,5.47020705,4.29299836,4.56307576,5.91700744,5.95465314,6.08544329,5.47395744,3.89179564,3.50857597,3.39958868,3.29755417,3.35951561,3.34522182,v1.03_RF3084
SACRAMENTO,STATIONARY,FUEL COMBUSTION,COGENERATION,TOG,ANNUAL AVERAGE,GROWN AND CONTROLLED,.05638343,.03664617,.00106663,.00117719,.00118097,.00116695,.0011952,.00119988,.00129419,.00125527,.00126038,.00127996,.0012526,.00122279,.00157892,.00157692,.00160206,.00164744,.00158182,.00158449,.0015876,.00159027,v1.03_RF3084
SACRAMENTO,STATIONARY,FUEL COMBUSTION,OIL AND GAS PRODUCTION (COMBUSTION),TOG,ANNUAL AVERAGE,GROWN AND CONTROLLED,.00503736,.00481314,.00474301,.00455864,.00438473,.0041911,.00408517,.00398468,.00390969,.00376484,.00364739,.00354907,.00352779,.00357692,.0036687,.00349173,.00315911,.0030675,.00297855,.00289216,.00280829,.00272684,v1.03_RF3084
SACRAMENTO,STATIONARY,FUEL COMBUSTION,MANUFACTURING AND INDUSTRIAL,TOG,ANNUAL AVERAGE,GROWN AND CONTROLLED,.12478056,.12640072,.1079834,.11430286,.14783499,.13694123,.13502027,.10803165,.1101919,.10289106,.09804823,.10360335,.11132911,.11001328,.11222942,.11039771,.11068359,.1013088,.10585032,.10475711,.10438557,.1044794,v1.03_RF3084
SACRAMENTO,STATIONARY,FUEL COMBUSTION,FOOD AND AGRICULTURAL PROCESSING,TOG,ANNUAL AVERAGE,GROWN AND CONTROLLED,.07618072,.07596044,.07542795,.07354612,.07136099,.07265371,.07112807,.06573824,.06078861,.06418689,.07073642,.06506184,.06977311,.06764936,.064501,.05819428,.05473347,.05633599,.05562153,.05423725,.0520782,.05224987,v1.03_RF3084
SACRAMENTO,STATIONARY,FUEL COMBUSTION,SERVICE AND COMMERCIAL,TOG,ANNUAL AVERAGE,GROWN AND CONTROLLED,2.80811965,5.10354729,.30913057,.22340034,.13654443,.13000563,.13151704,.12807189,.13114714,.1290503,.12726042,.13226543,.13258024,.14011904,.12314577,.12193839,.12728575,.12796207,.13314398,.13632784,.13652988,.13651525,v1.03_RF3084
SACRAMENTO,STATIONARY,FUEL COMBUSTION,OTHER (FUEL COMBUSTION),TOG,ANNUAL AVERAGE,GROWN AND CONTROLLED,.05350811,.05554243,.05827422,.06030853,.06304033,.05414747,.05141568,.2461801,.24339017,.30353827,.25794995,.29073147,.36371095,.37081198,.37081198,.30255696,.31044948,.3050003,.30566502,.30811486,.30307033,.30543965,v1.03_RF3084
SACRAMENTO,STATIONARY,WASTE DISPOSAL,SEWAGE TREATMENT,TOG,ANNUAL AVERAGE,GROWN AND CONTROLLED,.02191781,.01950685,.01950685,.02561846,.02561846,.02392624,.02392624,.02392624,.02972603,.07272877,.06761507,.0665,.06343561,.03667671,.03777397,.04008082,.03476712,.03918219,.0395569,.03993542,.04026172,.04072414,v1.03_RF3084
SACRAMENTO,STATIONARY,WASTE DISPOSAL,LANDFILLS,TOG,ANNUAL AVERAGE,GROWN AND CONTROLLED,70.28344835,69.80159922,71.88095881,71.65806185,75.08897571,75.67670677,75.07710872,73.23196121,71.73136789,70.26224993,79.85827559,86.28962523,83.79211469,85.41269376,83.70940676,82.04458249,78.88086598,82.89227866,83.73325262,84.52794294,85.24618171,85.50279566,v1.03_RF3084
SACRAMENTO,STATIONARY,WASTE DISPOSAL,INCINERATORS,TOG,ANNUAL AVERAGE,GROWN AND CONTROLLED,.00015069,.00780822,.00781705,.00043396,.000418,.00036547,.00036235,.00035979,.0013224,.00495395,.00266539,.00176693,.00140301,.00281368,.0033075,.0032185,.00233124,.0029966,.0030367,.00303274,.00302381,.00307181,v1.03_RF3084
