AREA,SRC_TYPE,CATEGORY,SUBCATEGORY,POLLUTANT,SEASON,CONTROL_TYPE,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,v1.03_RF3084
SAN DIEGO,STATIONARY,FUEL COMBUSTION,ELECTRIC UTILITIES,COT,ANNUAL AVERAGE,GROWN AND CONTROLLED,18.50676435,18.16276591,12.07378623,4.90595981,7.56486577,7.58240941,3.30176446,2.69523179,2.30954003,1.5965246,1.54525991,.57424654,.92202738,.56156167,.76310236,.8827736,.8827736,.8827736,.5502994,.43301292,.7282504,.70230769,v1.03_RF3084
SAN DIEGO,STATIONARY,FUEL COMBUSTION,COGENERATION,COT,ANNUAL AVERAGE,GROWN AND CONTROLLED,.76121396,.86336988,,.83346522,,,,.99084934,1.19111173,1.05479455,1.0379884,.78750688,.78750682,.72819179,.59706849,.58605479,.58605479,.58605479,.54495482,.5487604,.55180483,.55408819,v1.03_RF3084
SAN DIEGO,STATIONARY,FUEL COMBUSTION,MANUFACTURING AND INDUSTRIAL,COT,ANNUAL AVERAGE,GROWN AND CONTROLLED,1.09596717,1.11267225,.95302182,1.0107933,.96857145,.9666292,1.05300383,.65866247,.48481605,.54517703,.65624812,.84286294,.73239202,.67886849,.5321714,.53190081,.53156947,.53059547,.53332972,.5315769,.5319786,.55254212,v1.03_RF3084
SAN DIEGO,STATIONARY,FUEL COMBUSTION,FOOD AND AGRICULTURAL PROCESSING,COT,ANNUAL AVERAGE,GROWN AND CONTROLLED,7.61708466,7.61397358,8.97462095,7.61339528,7.07779191,6.4032579,5.4448131,5.74528765,4.98056974,7.73432332,6.68190658,6.601282,6.86108335,8.18187947,7.51011749,7.6030721,9.09788459,9.33915925,9.49106227,9.32176821,9.14195647,9.24426212,v1.03_RF3084
SAN DIEGO,STATIONARY,FUEL COMBUSTION,SERVICE AND COMMERCIAL,COT,ANNUAL AVERAGE,GROWN AND CONTROLLED,2.21167723,2.13738763,2.2128528,2.33792819,1.34278023,1.84027174,1.92867858,1.85183971,1.7410027,1.75181876,1.81842586,1.93242541,2.15388198,2.16368518,2.35312193,2.37527653,2.40332033,2.42134461,2.45524622,2.49250284,2.49790926,2.50999939,v1.03_RF3084
SAN DIEGO,STATIONARY,FUEL COMBUSTION,OTHER (FUEL COMBUSTION),COT,ANNUAL AVERAGE,GROWN AND CONTROLLED,.4344963,.44734888,.53249626,.33187492,.34679208,.2707338,.24891966,.23550018,.23229225,.23472094,.21859822,.21861763,.21803039,.21803039,.21803069,.17431631,.17431631,.17431631,.17431932,.17432026,.14745483,.14745392,v1.03_RF3084
SAN DIEGO,STATIONARY,WASTE DISPOSAL,SEWAGE TREATMENT,COT,ANNUAL AVERAGE,GROWN AND CONTROLLED,.03690156,.03591782,.06466713,.06474984,.00008219,.04720496,.0474663,.05346006,.05221665,.05342466,.04875514,.04879453,.05334247,.05312329,.05071724,.05071724,.05071724,.05071724,.05111032,.0515127,.05172398,.05197645,v1.03_RF3084
SAN DIEGO,STATIONARY,WASTE DISPOSAL,LANDFILLS,COT,ANNUAL AVERAGE,GROWN AND CONTROLLED,.05441961,.04375343,.04555508,.04559486,.05341455,.05986968,.05384227,.05038628,.0572338,.06495889,.0519504,.05224658,.06465753,.06443836,.15307941,.15307941,.15307941,.15307941,.15355072,.15346807,.15213264,.15055697,v1.03_RF3084
SAN DIEGO,STATIONARY,WASTE DISPOSAL,INCINERATORS,COT,ANNUAL AVERAGE,GROWN AND CONTROLLED,.00089845,.00082192,.00083617,.00083966,.00062086,.00062086,.00062086,.00015581,.00039724,.00073973,.00045203,.00073973,.00076712,.00065754,.00083547,.00083547,.00083547,.00083547,.00084149,.00084405,.00084567,.00084429,v1.03_RF3084
SAN DIEGO,STATIONARY,WASTE DISPOSAL,SOIL REMEDIATION,COT,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,v1.03_RF3084
SAN DIEGO,STATIONARY,WASTE DISPOSAL,OTHER (WASTE DISPOSAL),COT,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,v1.03_RF3084
SAN DIEGO,STATIONARY,CLEANING AND SURFACE COATINGS,LAUNDERING,COT,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,v1.03_RF3084
SAN DIEGO,STATIONARY,CLEANING AND SURFACE COATINGS,DEGREASING,COT,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,v1.03_RF3084
SAN DIEGO,STATIONARY,CLEANING AND SURFACE COATINGS,COATINGS AND RELATED PROCESS SOLVENTS,COT,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,v1.03_RF3084
SAN DIEGO,STATIONARY,CLEANING AND SURFACE COATINGS,PRINTING,COT,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,v1.03_RF3084
SAN DIEGO,STATIONARY,CLEANING AND SURFACE COATINGS,ADHESIVES AND SEALANTS,COT,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,v1.03_RF3084
SAN DIEGO,STATIONARY,CLEANING AND SURFACE COATINGS,OTHER (CLEANING AND SURFACE COATINGS),COT,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,v1.03_RF3084
SAN DIEGO,STATIONARY,PETROLEUM PRODUCTION AND MARKETING,PETROLEUM MARKETING,COT,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,.00580822,.00580822,.00550685,.01493151,.01465753,.01389041,.00816438,.00819178,.00819178,.00819178,.00632877,.00632877,.00632877,.00632877,.00620626,.0060792,.00596229,.00584836,v1.03_RF3084
SAN DIEGO,STATIONARY,INDUSTRIAL PROCESSES,CHEMICAL,COT,ANNUAL AVERAGE,GROWN AND CONTROLLED,.00100287,0,.00100287,.00092422,.00065753,.00065753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,v1.03_RF3084
SAN DIEGO,STATIONARY,INDUSTRIAL PROCESSES,FOOD AND AGRICULTURE,COT,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,v1.03_RF3084
SAN DIEGO,STATIONARY,INDUSTRIAL PROCESSES,MINERAL PROCESSES,COT,ANNUAL AVERAGE,GROWN AND CONTROLLED,.44979753,.49376779,.52127741,.52060733,.38582936,.44818888,.36101194,.32122259,.3032889,.26632605,.29286997,.28443892,.24307391,.24501223,.20769407,.20611197,.21055596,.2116116,.21350847,.21171703,.20303731,.21280816,v1.03_RF3084
SAN DIEGO,STATIONARY,INDUSTRIAL PROCESSES,METAL PROCESSES,COT,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,v1.03_RF3084
SAN DIEGO,STATIONARY,INDUSTRIAL PROCESSES,GLASS AND RELATED PRODUCTS,COT,ANNUAL AVERAGE,GROWN AND CONTROLLED,,,,,,,0,,0,0,,,,,,,,,,,,,v1.03_RF3084
SAN DIEGO,STATIONARY,INDUSTRIAL PROCESSES,ELECTRONICS,COT,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,v1.03_RF3084
SAN DIEGO,STATIONARY,INDUSTRIAL PROCESSES,OTHER (INDUSTRIAL PROCESSES),COT,ANNUAL AVERAGE,GROWN AND CONTROLLED,.03898137,0,.03898137,.0393177,.0710959,.0710959,.07090412,.01375343,.08534247,.08539726,.08531507,.08547945,.06010959,.04767123,.07999999,.07999999,.07999999,.07999999,.0818514,.08405813,.08570882,.0845536,v1.03_RF3084
SAN DIEGO,AREAWIDE,SOLVENT EVAPORATION,CONSUMER PRODUCTS,COT,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,v1.03_RF3084
